/////////////////////////////////////////////////////////
// Map name       Ennepe Dam B1                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    10-12-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1888 -1323 -95 "^1Allied Command Post"
2852 -1674 544 "^1Axis Radio"
5386 -460 376 "^1East Anti-Aircraft Gun"
388 -460 376 "^1West Anti-Aircraft Gun"
-43 391 -567 "^3Allied Lower Dam Spawn"
885 -1220 -95 "^3Command Post Hallway"
1725 -1303 -95 @
1367 -1199 -45 @
1727 -1018 158 "^3Dam Catwalk"
898 -850 158 @
1380 -1022 158 @
5960 -2505 350 "^3Dam Exit Gate"
4828 -855 -95 "^3Dam Walkway"
4038 -969 -95 @
1727 -1018 -95 @
898 -850 -95 @
2878 -981 -95 @
1380 -1022 -67 @
5319 -1312 376 "^3East Gun Bunker"
5788 -767 376 @
5282 -2161 348 "^3East Stairwell"
597 -879 -95 "^3Lower Dam Tunnels"
610 -365 -283 @
5160 -186 -367 @
5149 -876 -95 @
373 387 -567 "^3Lower Dam Walkway"
1987 -547 -567 @
941 -337 -567 @
3827 -525 -567 @
5166 24 -567 @
4855 -181 -567 @
4337 -464 -567 @
4683 673 -567 @
1310 -406 -567 @
2020 -132 -670 "^3North Reservoir"
2263 -560 -657 @
697 1429 -636 @
3542 -512 -632 @
3824 -141 -650 @
4341 -118 -651 @
4456 677 -666 @
4707 842 -651 @
1336 -185 -671 @
2852 -1674 336 "^3Radio Bunker"
3103 -1600 336 @
2860 -1411 544 @
2859 -1896 544 @
2620 -1684 544 @
3122 -1647 544 @
3841 -1830 531 "^3Rotating Antenna"
4022 -2280 51 "^3South Reservoir"
1746 -2270 48 @
2874 -2367 31 @
3409 -2382 27 @
1154 -2783 69 @
5108 -3033 32 @
2096 -2301 32 @
4253 -2281 104 "^3South Reservoir Tunnels"
1558 -2269 104 @
1701 -1227 376 "^3Upper Dam Area"
4253 -2281 471 @
1558 -2269 376 @
1097 -2084 376 @
2251 -1665 376 @
2883 -2146 336 @
3269 -1597 336 @
3370 -2260 336 @
4423 -1823 376 @
4624 -1325 376 @
2874 -1193 376 @
1156 -2532 376 @
5142 -2550 358 @
3868 -1212 376 @
2049 -2103 376 @
1090 -1282 376 @
1367 -1199 376 @
4051 -1204 -95 "^3Upper Dam Tunnels"
5156 -1196 -95 @
4843 -1232 -95 @
611 -1211 -95 @
490 -1260 376 "^3West Gun Bunker"
-53 -785 376 @
490 -2188 383 "^3West Stairwell"
