/////////////////////////////////////////////////////////
// Map name       Erdenberg B2                         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    01-12-2010                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
5553 -2207 -431 "^1Command Post"
6835 -1021 -191 "^1East Flak88"
7211 -1009 -191 @
3562 -649 -375 "^1Main Entrance"
5873 32 -319 "^1West Flak88"
1321 1243 -127 "^2Allied Garage"
957 515 -127 @
6926 520 -359 "^2Axis Backspawn"
6867 141 -359 @
7519 -109 -351 @
3562 -649 -175 "^2Forward Flag"
3789 -651 -175 @
5235 615 -423 "^3Alley"
5730 699 -423 @
6493 274 -423 "^3Axis Backspawn"
6464 568 -423 "^3Axis Sideway"
5968 814 -423 @
6867 -44 -359 "^3Axis Teamdoors"
6035 -2157 -423 "^3CP Route"
7000 -2125 -359 @
6603 -1842 -359 @
2325 821 -79 "^3Caves"
1908 483 -79 @
3547 560 -213 @
1479 1247 -127 @
3117 47 -215 @
2159 -204 -62 @
6712 -1022 -191 "^3Center Building"
6694 -627 -279 @
6370 -714 -359 @
6594 -1397 -359 @
6594 -1397 -191 @
2172 -412 -60 "^3Cliff"
4878 -630 -399 "^3Dirt Pile"
7061 -1622 -359 "^3East Flak88"
7144 -425 -359 @
7376 -1007 -351 @
7517 -229 -359 @
6852 -627 -279 @
6878 -1428 -351 @
3226 -646 -375 "^3Forward Bunker"
3460 -126 -223 @
3518 -1132 -223 @
3140 -1265 -219 @
2933 -1170 -223 @
3402 -1272 -211 @
3120 -87 -223 @
2738 -745 -359 @
2919 -1050 -375 @
691 -50 -135 "^3Garage Exit"
955 143 -135 @
4878 162 -399 "^3Left Exit"
4267 -184 -399 "^3Left Route"
4663 145 -399 @
2157 -627 -273 "^3Lower Road"
959 -363 -185 @
1089 -780 -266 @
1404 -901 -258 @
1706 -904 -255 @
2052 -981 -276 @
2391 -1296 -287 @
2671 -1307 -354 @
2655 -744 -345 @
4355 -683 -399 "^3Main Entrance"
3890 -652 -175 @
4556 -674 -399 @
4913 -1054 -419 "^3Right Exit"
4364 -1109 -399 "^3Right Route"
4639 -1117 -415 @
5686 -812 -415 "^3Ruins"
5340 -476 -415 @
5342 -835 -369 @
5348 -455 -247 @
5737 -503 -247 @
5736 -513 -415 @
6301 -713 -421 "^3Ruins Area"
5577 -1304 -409 @
5199 -1348 -423 @
6129 -669 -417 @
5504 -189 -397 @
6022 -1253 -423 @
3276 -1328 -375 "^3Side Door"
5550 -1706 -431 "^3Side Route"
4913 -2225 -431 @
4360 -1570 -407 @
2929 -1582 -243 "^3Trench"
2934 -1425 -237 @
1405 -987 -183 "^3Upper Bunker"
1405 -1214 -183 @
3141 -1391 -183 "^3Upper Road"
2931 -1863 -183 @
3165 -1583 -183 @
3403 -1386 -183 @
792 -429 -126 @
1060 -802 -104 @
1072 -1133 -122 @
1713 -1045 -177 @
2052 -1059 -183 @
2364 -1328 -183 @
2720 -1430 -183 @
2763 -1533 -183 @
6255 164 -423 "^3West Flak88"
5968 666 -423 @
5570 285 -327 @
6382 -36 -417 @
5285 -177 -423 "^3Wooden Fence"
