/////////////////////////////////////////////////////////
// Map name       Escape                               //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-3318 -1378 -176 "Allied Barrack"
-3302 -1063 -167 @
-2694 -1372 -167 @
-2759 -1060 -167 @
-2953 -1059 -167 @
-3004 -806 -175 "Allied Barrack Outhouse"
754 3458 -223 "Ammo Bunker"
912 3362 -191 @
927 3530 -63 @
642 3059 -63 @
858 2898 -63 @
409 2898 -63 @
642 2829 -63 @
228 3216 96 @
597 3506 96 @
258 3474 256 @
638 2930 109 @
669 2893 97 @
725 2717 -223 @
243 3467 -63 @
1105 3175 256 @
-574 2649 -143 "Ammo Cabinet"
229 3469 96 "Ammo Cache"
2654 -3531 -153 "Assault Ramp"
2923 -3624 160 @
-1787 1720 -196 "Axis Base"
-2107 1671 -232 @
-2616 1123 -182 @
-1552 1693 -208 @
-967 1094 -193 @
-1037 1220 -218 @
-2884 2004 -226 @
-2961 2092 -237 @
-3177 1996 -207 @
-2977 1817 -189 @
-1122 2252 -231 @
-1193 2348 -227 @
-1199 2749 -217 @
-1202 3299 -202 @
-3241 2294 -241 @
-3497 2055 -167 @
-3509 2561 -154 @
-978 1082 -47 @
-287 1093 -47 @
-305 1630 -198 @
-183 1628 -194 @
-1004 3379 -143 "Axis Base Main Bunker"
-1109 3478 -143 @
-770 3075 144 @
-925 3209 144 @
-918 2991 144 @
-988 3067 144 @
-1129 3415 144 @
-1116 2838 144 @
-921 3082 296 @
-833 2318 146 @
-1121 2356 0 @
-1121 2791 0 @
-1102 3385 0 @
-871 3037 0 @
-654 2566 -143 @
-563 2570 -145 @
-840 2793 -261 @
-213 1091 63 "Axis Base Wall"
-190 1571 62 @
-1072 1092 -47 "Axis Fallback Bunker"
-1548 1625 -47 @
-2067 1602 -47 @
-2525 1115 -47 @
-1802 1612 -191 @
-1095 1126 -191 @
-828 2926 -265 "Cellar"
-1024 3298 -299 @
-831 3421 -302 @
-1022 3467 -303 "Cellar Grate"
-976 3649 -303 "Cellar Tunnel"
-233 3903 -303 @
238 3606 -306 @
-893 3073 146 "Codebook"
2842 2802 -53 "Command Post"
3130 -2774 -233 "East Fence"
1902 -2407 -176 "Electric Fence"
1483 -2456 -106 @
1489 -2283 -205 @
2843 2638 -53 "Feldkommandantur"
2626 2829 -59 @
3041 2781 -53 @
2838 2824 -189 @
2454 2712 -189 @
2385 2516 -211 @
2200 2695 -211 @
2397 2883 -211 @
3196 2106 -211 @
2572 2113 -211 @
1978 2106 -211 @
1252 -1265 -193 "Fences Area"
1498 -1744 -218 @
1572 -1837 -213 @
1573 -2182 -185 @
2062 -2096 -200 @
3151 -2464 -236 @
2919 -432 -208 @
2359 -734 -237 @
1697 -422 -170 @
2386 2714 -211 "Forward Spawn Flag"
-3565 2303 -191 "Front Gate"
-2968 2004 -207 "Gate Control"
949 3509 -223 "Gun Ammo"
1829 876 -201 "Gun Control"
4401 910 -175 "Health Cabinet"
-1097 3380 -143 @
638 2931 -63 "Health and Ammo Cabinets"
1338 -2015 -159 @
3346 -2910 0 "Lookout"
3069 -3653 176 @
3538 -3215 177 @
3330 -3431 176 @
3351 -3205 0 @
4279 -3001 0 @
4635 -2908 0 @
3337 -3203 176 "Lookout MG42"
2367 -361 -194 "Main Gate"
708 2605 -220 "Main Gate Area"
-74 1608 -201 @
-71 1134 -190 @
1839 1099 -234 @
1480 871 -211 @
1783 594 -225 @
2057 815 -222 @
1569 -180 128 @
2011 34 171 @
2009 -159 171 @
2907 -180 164 @
2383 86 -208 @
3166 982 -201 @
3284 424 -175 @
3250 -204 128 @
1964 -77 -79 @
2004 1988 -219 @
1837 2115 -190 @
2575 1997 -226 @
3191 2009 -214 @
1574 -327 160 "Main Gate Walls"
2370 -311 160 @
2905 -296 164 @
3240 -277 160 @
2013 -299 160 @
-3314 -1442 -241 "Outside Allied Barrack"
-3398 -1373 -195 @
-3402 -1069 -149 @
-3322 -991 -193 @
-3006 -884 -185 @
-3088 -784 -208 @
-3005 -717 -190 @
-2939 -789 -212 @
-2766 -975 -204 @
-2968 -982 -186 @
-2576 -1059 -206 @
-2624 -1369 -233 @
-2709 -1439 -239 @
-1705 -1740 -210 @
-2506 -2636 -200 @
-2718 -3373 -229 @
3286 -2957 -217 "Outside The Lookout"
3279 -3244 -200 @
3261 -3557 -146 @
2668 -3191 -186 @
2286 -3425 -178 "Path to East Fence"
1349 -3249 -89 @
783 -3247 -97 @
-392 -3364 -193 @
-1344 -3338 -224 @
-2093 -2894 -179 @
1613 -2813 -78 "Path to Electric Fence"
1384 -3024 -98 @
587 -1390 -227 "Path to West Fence"
-52 -2019 -202 @
-770 -2245 -209 @
-1517 -1926 -213 @
195 -808 -220 @
2002 2964 -179 "Pile of Crates"
1734 3134 84 @
4205 -2913 -175 "Service Tunnel"
4349 -1555 -175 @
4360 -1255 -175 @
4146 -1417 -175 @
4515 -1412 -159 @
3951 716 -175 @
4619 886 -175 @
4408 813 -175 @
4269 902 -175 @
4405 1052 -175 @
4355 -1439 -175 "Service Tunnel MG42"
185 -363 -303 "Side Bunker"
1090 -449 -31 @
1415 -328 160 @
197 -644 -303 "Side Bunker Entrance"
1509 -2181 -159 "Supplies Hut"
1500 -1818 -159 @
1383 3130 282 "Upper Path"
937 -1251 -199 "West Fence"
3504 785 -174 "Wooden Barrier"
