/////////////////////////////////////////////////////////
// Map name       Marrakech Streets 2                  //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2662 -403 80 "Allied Command Post"
-1649 -63 72 "Axis Command Post"
-307 -1953 104 "Back Door"
765 -2042 64 "Back Door Corridor"
-90 -2051 64 @
-1342 -1746 193 "Back Door Hallways"
-977 -2014 64 @
-1027 -1486 16 @
-449 -1607 208 @
-653 -1757 120 @
-603 -2045 144 "Barricade Materials"
7350 27 619 "Bridge"
7159 -199 600 @
6977 198 580 @
6590 351 600 @
6858 519 354 @
7368 8 264 "Bridge Ladder"
6202 416 387 "Caves"
5703 1437 49 @
6284 2082 -39 @
6350 2927 -39 @
4309 1961 88 @
5139 2308 32 @
5555 2916 -8 @
8214 3054 -199 @
7533 3535 -187 @
6355 387 366 "Caves Bluff"
8308 2963 -191 "Caves Entrance"
4171 1946 108 "Caves Exit"
1506 -131 160 "Central Street"
1396 -931 64 @
1811 -507 64 @
1601 -1088 62 @
1524 -1354 64 @
1545 -291 80 @
957 483 0 "Central Town Buildings"
701 -222 24 @
1265 -927 64 @
52 -1270 -95 @
455 -951 -63 @
1911 0 368 @
435 -743 360 @
1108 -621 432 @
739 -158 432 @
1180 176 368 @
960 129 176 @
1507 -17 176 @
-461 -944 184 @
-867 -539 72 @
3645 -504 72 "Church"
3651 -829 72 @
3634 -586 192 @
3656 -582 344 "Church Tower"
9485 2235 -252 "Desert Camp"
-2392 -1659 64 "Documents Case"
3865 1003 68 "Escape Truck"
1514 1027 72 "Gate House"
2047 646 72 @
2171 639 72 "Gate House Courtyard"
2567 694 72 @
2377 501 72 @
983 -2053 120 "Health and Ammo Cabinets"
-49 1538 80 @
-2150 -1244 90 "Lab Barricade Materials"
-2142 -1404 112 "Laboratory"
-2003 -1238 113 @
-2173 -1654 80 @
-1789 -1345 112 "Laboratory Entrance"
4156 588 59 "MG2"
2761 -74 65 "Main Street"
2347 23 66 @
2445 -445 65 @
2531 -207 69 @
1755 -1100 58 @
2036 -514 62 @
2376 234 72 "Main Street Arch"
1924 -513 56 "Main Street House"
1702 -127 144 @
1914 -518 240 @
1736 -296 240 @
2364 152 368 "Main Street Overlook"
874 1622 72 "North Hallway"
2321 1633 72 @
1566 1686 72 @
-72 1389 80 "North Market"
-230 1519 80 @
-769 1377 64 @
201 1109 64 @
837 1320 88 @
155 1537 80 @
157 1452 400 @
489 1263 400 @
837 486 0 @
829 141 176 @
584 -217 56 @
712 -45 64 @
681 -368 64 @
-49 -550 64 @
-634 -223 64 @
-851 789 64 @
224 1240 400 "North Market MG Nest"
-1243 1505 72 "North Market Spawn"
3429 -513 64 "Outside Town Walls"
3430 -846 64 @
3648 -945 75 @
3866 -852 67 @
3865 -504 64 @
3652 -397 64 @
3940 416 64 @
4273 396 48 @
4305 727 50 @
4033 683 64 @
3559 1057 64 @
4027 1228 64 @
4018 1950 99 @
3276 1057 64 @
3110 839 64 @
3096 1298 64 @
5080 -475 0 @
3284 337 64 @
1522 -1506 64 "South Street"
999 -1873 120 @
1202 -2036 120 @
643 -1675 64 @
406 -1916 64 @
772 -1933 64 @
150 -1672 64 @
43 -1295 64 @
-44 -784 64 @
38 -1766 384 "South Street Balcony"
504 -1920 64 "South Street House"
481 -1948 276 @
-215 -2051 408 @
-230 -1532 408 @
-117 -1771 408 @
5830 -238 90 "Tank Defences"
5815 -810 87 @
6220 -358 -78 "Tank Defences Bridge"
5526 -509 -6 @
5842 -499 80 @
8443 2832 -191 "Tank Path"
7269 68 -40 @
6885 491 -82 @
7670 1652 -127 @
6673 -388 -85 @
-450 -1114 208 "Town Bridge"
-454 -1463 208 @
3046 -97 63 "Town Gate"
3241 -120 64 "Town Gate Barriers"
3102 1056 64 "Town Side Door"
2816 1070 80 "Town Side Door Hallways"
2703 681 80 @
2751 321 656 @
2695 350 368 @
2366 277 368 "Upper Gate House"
2006 252 368 @
2015 1 368 @
-1871 -776 72 "Villa"
-1806 -80 72 @
-1427 292 72 @
-1781 275 72 @
-1699 -344 280 @
-1411 510 304 @
-1823 1033 216 @
-1667 1090 72 @
-1314 1095 64 @
-1061 949 64 @
-1285 283 64 "Villa Alley"
-1055 843 64 @
-1405 388 304 "Villa Balcony"
-1404 177 304 @
-1155 -1488 14 "Villa Courtyard"
-1327 -1147 1 @
-1175 -822 12 @
-1599 -1357 64 @
-1884 -894 64 @
-1193 -478 64 @
-1622 -363 74 @
-859 -1181 -23 "Villa Courtyard Alley"
-446 -1155 -55 @
-116 -1268 -82 @
-446 -1411 -59 @
-1346 -1608 192 "Villa Courtyard Balcony"
-1112 -1161 9 "Villa Courtyard Gate"
2434 1630 72 "Warehouse"
2816 1173 80 @
-1019 -249 59 "Wire Swing Gate"
-1180 -63 64 @
1568 1805 72 "h4x0r"
