/////////////////////////////////////////////////////////
// Map name       Foo Fighter                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 22                //
// Last edited    10-10-2010                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1897 -3143 992 "^1Command Post"
-285 347 836 "^1Main Gate"
-801 -2880 840 "^1South Gate"
-1476 1430 1420 "^1Transmitter"
-2266 -2123 1268 "^1UFO Documents"
2196 312 835 "^3Allied Drop Point"
2352 1145 836 "^3Base Road"
1735 2258 836 @
436 2087 836 @
378 699 836 @
73 339 836 @
381 1275 836 @
-12 2500 835 @
-954 1397 840 "^3Base Yard"
-2240 2283 922 @
-1234 2143 1045 @
-924 1883 872 @
-588 775 857 @
-633 356 840 @
-1500 1028 968 @
-1925 819 840 @
-2214 820 840 @
-2490 437 840 @
-2577 -1028 840 @
-1919 -1324 840 @
-2599 -2059 840 @
-697 -331 840 @
-737 -1170 840 @
-1214 -1821 968 @
-1147 -2637 968 @
-1405 -3076 968 @
-1925 -2947 840 @
-2303 -3125 840 @
-2487 -2656 968 @
-1535 -2054 1032 @
-1589 -1604 968 @
-2217 -1654 1121 @
-1909 -1006 1424 "^3Hanger Building"
-1904 479 1168 @
-1237 352 1168 @
-1267 -737 1424 @
-1367 -1015 1296 @
-1909 -1006 1168 "^3Hanger Controls"
-1783 -608 1168 @
-2186 -310 1168 @
-1909 -900 1168 @
-1777 27 1168 @
-1367 -296 1155 @
-1240 228 1168 @
-1267 -737 1168 @
1325 218 1284 "^3Hill Path"
-2228 -2113 1168 "^3Laboratory"
-1899 -1800 1168 @
-2057 -2061 1422 @
-2185 -1822 1273 @
-2266 -2400 1280 @
-2052 -1947 1440 "^3Laboratory Roof"
-1909 -1767 1440 @
-1737 -1788 1440 @
-1742 -2025 1440 @
-302 766 1108 "^3Main Gate MG Nest"
-1906 612 1168 "^3North Catwalk"
-1907 1162 1168 @
-1900 1155 1360 @
-1902 617 1360 @
-287 1197 1092 "^3North Fence"
-365 1754 1092 @
-907 2153 1092 @
-1260 2459 1092 @
1398 743 1643 "^3North Hill"
-2735 -267 840 "^3Runway"
-3769 -258 840 @
-2444 -309 840 @
-1897 -3143 840 "^3South Bunker"
-1914 -3397 992 @
-2217 -3209 840 @
-1900 -1145 1360 "^3South Catwalk"
-1913 -1667 1360 @
-1913 -1667 1168 @
-1909 -1141 1168 @
-328 -328 1092 "^3South Fence"
-328 -1256 1092 @
-916 -1857 1092 @
1453 -615 1805 "^3South Hill"
2424 -366 835 "^3South Path"
2341 -1971 835 @
1186 -2376 835 @
-446 -2883 835 @
412 -1628 835 @
303 -562 835 @
-1907 1288 1168 "^3Transmitter Building"
-1544 1448 1168 @
-1763 1744 1420 @
-1097 1393 840 @
-1902 1256 1416 @
-1217 1916 1096 @
-1089 1556 1096 @
-2259 1903 1096 @
-2219 1115 968 @
-1910 -909 934 "^3UFO Hanger"
-1783 -608 840 @
-2186 -310 840 @
-1777 27 858 @
-1367 -296 840 @
-1480 -285 840 @
-1283 -730 840 @
-1903 -1002 964 "^3Ventilation"
-1908 -1177 1056 @
-1899 -1805 1048 @
-1733 -1819 1306 @
-2350 -1821 1075 @
-2352 -2114 1168 @
