/////////////////////////////////////////////////////////
// Map name       Village                              //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
219 -1434 -171 "Allied Spawn"
661 -1434 -111 @
655 -2068 -111 @
373 -2042 -111 @
221 -1920 -111 @
761 -1439 -111 "Allied Spawn Alley"
1083 -1209 -111 @
200 -1321 -46 "Allied Spawn Overlook"
1309 1855 64 "Axis Barracks"
1330 2322 64 @
1444 2215 64 @
1565 1931 64 @
-129 73 -15 "Bridge"
-125 480 -15 @
-141 191 -15 @
-840 -490 -111 "Bridge Alley"
-961 149 -127 @
-847 159 -127 "Bridge Area"
-300 200 -135 @
291 -272 -127 @
516 539 -15 @
250 424 -135 @
-769 280 -119 @
-128 -171 -47 "Bridge Stairs"
-135 -499 -127 "Bridge Stairs Alley"
-1313 3386 -175 "Cellar Stairs"
-1316 3182 -247 "Cellars"
-1138 3360 -247 @
-977 4157 -247 @
-1165 3007 -247 @
-1152 3663 -239 @
534 3196 -81 "Cemetary"
65 3199 -120 @
-703 3216 -41 @
-723 3763 -57 @
-532 4116 -41 @
238 4007 -101 @
-121 4075 -88 @
-9 4408 -39 @
-842 4132 6 @
-129 4891 -11 @
-671 4909 -10 @
-661 4171 -23 @
-748 4544 9 @
-399 3038 -36 @
102 4203 -87 "Cemetary MG42"
-709 2956 200 "Cemetary Rooftop"
-138 2951 200 @
-128 2589 200 @
-1279 3240 -103 "Command Post"
-1445 3205 -103 @
-1570 3522 -111 "Command Post Area"
-1421 3328 -103 @
-1209 3376 -103 @
-1317 3550 -111 @
-1142 3501 -103 @
-1106 3819 -71 @
-1263 3719 -103 @
515 692 -15 "Cottage Alley"
521 1286 -53 @
1155 1294 -127 @
892 1654 -95 @
900 2224 -127 @
259 2367 -121 @
901 1909 -95 @
747 2381 -127 @
43 2373 -108 @
12 2734 -123 @
1187 2390 -112 @
1176 1946 -127 @
1175 1630 -127 @
300 767 -15 @
506 1047 -63 @
-37 2102 -99 "Cottage Alley MG42"
258 2228 72 "Cottage Alley Roofs"
484 2450 72 @
631 2280 72 @
805 2265 72 @
830 2057 72 @
828 1784 72 @
951 1646 40 @
945 1842 40 @
1246 1626 72 @
1236 1861 72 @
1369 2100 72 @
1234 2319 72 @
1107 2459 72 @
853 2464 72 @
-137 -636 -127 "Crossroads"
-237 -641 -111 "Crossroads Alley"
-507 -445 -127 @
-504 -630 -111 @
-823 -702 -111 @
-621 -476 72 "Crossroads Tower"
-733 -498 72 @
-670 -455 -127 @
594 1483 72 "Destroyed Cottage"
627 2180 72 @
751 1798 80 @
363 1689 139 @
729 2043 72 @
708 2157 72 @
-1857 -66 -119 "East Corridors"
-1547 290 -119 @
1265 -876 -127 "Escape Truck"
644 -624 -111 "Escape Truck Alley"
0 -638 -127 @
290 -371 -127 @
1018 -880 -127 "Escape Truck Square"
752 -624 -111 @
1082 -1068 -111 @
-381 4544 -23 "Gold Storage Crypt"
-2268 3460 -111 "Northwest Courtyard"
-1800 3384 -111 @
-1741 3517 -111 @
-1836 4045 -111 @
-1678 -955 -119 "South Alley"
-832 -973 -127 @
-833 -827 -127 @
-1774 -958 -119 "South Courtyard"
-1650 -1155 -119 @
-2570 -1105 -119 @
-2518 -224 -119 @
-2432 67 -119 @
-2244 72 -119 @
-2018 79 -119 @
-1855 -179 -119 @
-126 -756 -140 "Spawn Overlook Alley"
-110 -1139 -175 @
-9 -1160 -177 @
-342 -837 -111 "Supply Cabinets"
-1115 3312 -103 @
-318 -1120 -159 @
-2257 1874 -95 "Town Hall"
-2270 3323 -111 @
-1784 3250 -111 @
-1454 3043 -95 @
-1297 3023 -95 @
201 773 -15 "Village Square"
-122 606 -15 @
-600 889 -15 @
-408 969 -15 @
-402 1197 -15 @
385 1066 -15 @
-1316 831 -119 @
-778 825 -119 @
-709 1321 -15 @
-751 1138 -127 @
-777 710 -119 "Village Square Alley"
-752 414 -79 @
-1307 650 -119 "Village Square Entrance"
-1126 165 -127 @
-1410 290 -119 @
-601 1142 -15 "Village Square MG42"
-1455 642 -119 "Village Square Storage"
-2239 694 -111 "West Corridors"
-2553 513 -119 @
-2241 203 -119 @
-2377 699 -111 "West Courtyard"
-2234 812 -111 @
-1866 818 -111 @
-2258 1713 -111 @
-2605 1415 -87 @
-2368 1236 -127 @
-2546 1037 -111 @
-2621 1233 -111 "West Courtyard MG42"
-2803 -223 -127 "h4x0r"
