/////////////////////////////////////////////////////////
// Map name       ET Center Final                      //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    23-08-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1484 -2301 276 "Allied Barracks"
1496 -2157 276 @
1891 -2154 268 @
1901 -2442 276 @
1496 -2450 276 @
1741 -561 360 "Allied MG Nest"
-5568 -726 424 "Axis Barracks"
-5568 -487 424 @
-5710 -422 424 @
-6512 -560 416 @
-6212 -544 424 @
-33 -1219 176 "Caves"
815 -1559 208 @
475 -1368 197 @
-2193 -1799 286 @
-2895 -3005 424 @
977 -1568 208 "Caves Entrance"
-26 -1043 176 "Caves Exit"
-2959 -4015 400 "Command Post"
-654 -169 344 "Controls Room"
-506 -287 344 @
-642 -614 344 @
-499 -475 344 @
-964 -464 344 @
-961 -259 344 @
-802 -458 344 @
-988 -611 344 @
-6004 -2233 352 "Depot Radio"
-6336 -1998 181 "Depot Yard"
-6915 -2286 212 @
-6258 -729 286 @
-5871 -905 277 @
-5460 -708 264 @
-5449 -419 279 @
-5583 -129 296 @
-5115 185 296 @
-5116 -645 416 @
-5280 -1977 256 @
-5505 -2276 241 @
-5784 -2284 233 @
-5127 -913 286 @
-5112 -1315 272 @
-5087 -1760 278 @
-5119 -486 348 @
-6648 -705 283 @
-6713 -458 281 @
-7036 -1074 296 @
-6686 -1536 252 @
-6233 -1139 263 @
-5456 -225 277 @
-6357 -2697 137 "East Base Courtyard"
-5981 -2582 155 @
-6088 -3321 152 @
-6934 -2600 174 @
-6371 -2329 163 "East Base Fortification"
-5918 -3348 177 "East Base Tunnel"
-5469 -3347 257 @
-3113 -4034 400 "East Bunker"
-3091 -3732 400 @
-2911 -3734 400 @
-3782 -2109 408 "East Bunker Road"
-3776 -2638 408 @
-3775 -3067 408 @
-3757 -3493 408 @
-3753 -3946 408 @
-3767 -4576 408 @
-3753 -4318 408 @
-3512 -4288 408 "East Bunker Shed"
-3217 -4280 408 @
-3556 -4545 408 @
-6106 -2411 352 "East Walls"
-5764 -2394 352 @
-5563 -2402 352 @
-5829 -2671 352 @
-6627 -2424 352 @
-7003 -2410 352 @
-794 -595 344 "Facility Controls"
-2140 -13 184 "First Aid Barracks"
-10 -517 141 "Forward Bunker Entrance"
-59 -869 176 @
90 -131 176 @
-87 -268 176 @
-161 -112 176 @
-143 -745 224 @
-1212 -532 133 "Forward Bunker Road"
-1753 -538 158 @
-2361 -523 215 @
-2914 -526 267 @
-1111 -949 132 @
-1300 -1116 132 @
-1307 -1549 132 @
-1699 -1108 144 @
-1853 -951 155 @
-2131 -946 164 @
-2262 -1071 168 @
-2897 -1023 257 @
-2894 -182 256 @
-2908 231 258 @
-1868 -29 158 @
-2137 -431 194 @
-2413 -2 192 @
-1134 -42 188 @
-1062 -222 129 @
-552 -129 512 "Forward Bunker Spawn"
-540 -638 512 @
-902 -838 512 @
-837 -575 512 @
-811 213 512 @
-871 -151 512 @
-944 -375 512 @
-596 -353 512 @
-768 -323 512 @
-691 -119 512 @
-507 -303 512 @
-525 -503 512 @
152 299 344 "Forward Bunker Terrace"
-285 210 344 @
154 -37 344 @
-134 -45 344 @
-225 -266 344 @
-225 -619 344 @
-234 -961 344 @
-415 -969 344 @
-405 -490 344 @
-404 -265 344 @
-409 -31 344 @
-270 -858 176 "Loading Bay"
-555 -982 176 @
-948 -925 188 @
-959 -222 176 @
-285 197 176 @
-260 105 176 @
-269 -268 176 @
-679 -524 136 @
-585 -780 176 @
-587 -130 176 @
-297 -523 136 @
-360 -374 136 @
-827 185 176 @
-932 -800 176 "Loading Door Switch"
-991 -526 136 "Loading Doors"
-1057 -1152 176 "Lower Service Area"
-1152 -1135 176 @
-1158 -1553 176 @
-1102 -1089 357 "Lower Service Area Roof"
-1112 -1471 356 @
1562 -1127 228 "Main Attack Path"
1483 -588 208 @
1343 -223 208 @
1004 15 196 @
658 85 184 @
256 99 184 @
280 -850 156 @
821 -935 208 @
320 -211 149 @
-5023 -1742 472 "Main Entrance Catwalk"
-5111 -1334 472 @
-5114 -969 413 @
-4815 -1931 472 "Main Entrance Towers"
-5399 -2483 472 @
-5172 -2191 472 "Main Entrance Walls"
-5877 -494 296 "Main Facility"
-6214 -546 296 @
-6511 -562 296 @
-5588 -228 296 @
-5143 -2170 298 "Main Facility Entrance"
-273 314 344 "North Stairwell"
-839 317 344 @
-283 306 176 @
-271 523 176 @
-665 329 176 @
-514 311 344 @
-647 -59 344 "North Storage"
-844 196 344 @
-510 190 344 @
2019 -2314 256 "Outside Allied Barracks"
2020 -2137 256 @
1885 -2041 256 @
1475 -2059 256 @
1381 -2147 264 @
1387 -2310 264 @
1155 -1670 247 @
1494 -1491 272 @
1901 -1489 284 @
1905 -2534 264 @
1487 -2548 261 @
2014 -2431 264 @
-3516 -4119 396 "Outside East Bunker"
-3236 -4128 396 @
-3082 -3614 396 @
-3213 -3723 396 @
-3226 -3999 396 @
-2813 -4045 405 @
-2801 -3733 413 @
-2911 -3613 396 @
-3480 -3258 396 @
-3490 -3517 396 @
-2894 -3194 411 @
-2999 -4185 396 @
-5691 -461 296 "Radar Parts"
94 -8 160 "Radio Room"
-154 113 160 @
-164 350 212 @
-902 -1121 512 "Service Area"
-768 -1057 512 @
-936 -1363 512 @
-885 -991 512 "Service Door"
-6742 -4232 452 "South MG Nest"
-563 -1086 176 "South Stairwell"
-941 -1098 344 @
-967 -1106 176 @
-930 -990 344 "South Storage"
-656 -718 344 @
-506 -982 344 @
-742 -952 344 @
-988 -760 344 @
-4357 -262 296 "Storage"
-4370 -986 299 @
-4807 -217 416 @
-4991 -800 413 @
-4603 -337 296 @
-4552 -971 296 @
-4960 -1005 416 @
-4365 -933 428 @
-4976 -518 413 @
-5122 -793 416 @
-4608 -165 416 @
-4488 -729 296 @
-5110 290 296 "Storage Corridor"
-4606 -45 416 @
-4309 -499 292 "Storage Wall"
-3777 -1500 388 "Storage Yard"
-4253 -236 296 @
-4430 -1127 280 @
-4199 -972 280 @
-4095 -516 296 @
-3339 -1000 306 @
-3375 -520 296 @
-3317 -145 285 @
-3332 175 286 @
-3333 -1519 326 @
-4378 0 547 "Storage Yard Balcony"
-4378 -226 547 @
-4368 -635 547 @
-4374 -961 547 @
-4114 335 547 "Storage Yard Generators"
-4193 126 547 @
-2880 -1522 312 "Storage Yard Path"
-2294 -1493 312 @
-1839 -1462 312 @
-1619 -1505 312 @
-3771 -1611 401 "Storage Yard Tunnel"
-3778 -1976 408 @
-5430 -490 445 "Storage-Facility Hallway"
-5125 -489 529 @
-4940 -473 547 @
-1821 -1073 176 "Supplies Bunker"
-2142 -1070 176 @
-2127 -1110 384 "Supplies Bunker Roof"
-1834 -1105 383 @
-5741 -3571 186 "The Valley"
-5574 -4047 160 @
-5076 -4083 142 @
-4590 -4032 156 @
-4134 -3985 156 @
-4475 -3423 158 @
-4229 -2843 201 @
-4209 -2213 259 @
-4665 -2133 231 @
-4946 -2391 238 @
-5181 -2568 314 @
-4499 -4432 369 @
-5282 -3373 269 @
1767 -955 340 "Upper Forward Bunker Path"
1675 -455 340 @
1067 217 340 @
654 266 340 @
270 300 340 @
1974 -566 360 @
1958 189 360 @
-4533 -207 547 "Upper Storage"
-4521 -623 547 @
-4528 -958 547 @
-4969 -923 547 @
-4978 -631 547 @
-4876 -808 547 @
-4753 -301 547 @
-4565 19 547 @
