/////////////////////////////////////////////////////////
// Map name       Secret Bay                           //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 30                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1307 4319 349 "Axis Depot Small Office"
1098 4344 349 @
254 6145 317 "Axis Depot Yard"
556 6135 334 @
931 6158 327 @
1286 5977 313 @
1494 6003 289 @
1681 6104 261 @
2020 6113 255 @
2240 5955 349 @
2233 5605 349 @
2208 5321 349 @
2201 4992 349 @
1513 5685 289 @
1509 5410 289 @
1507 5110 289 @
1497 4612 289 @
1485 4271 289 @
1653 4116 289 @
1914 4332 284 @
2227 4519 451 @
1727 3795 289 @
1721 3498 396 @
1464 4006 347 @
1286 4530 317 @
1001 4532 289 @
938 4271 289 @
945 3971 289 @
1146 3973 289 @
1163 3508 289 @
816 3778 289 @
1016 3641 289 @
501 3815 289 @
146 3688 289 @
124 3476 289 @
-90 3994 289 @
-116 4469 330 @
35 4686 289 @
12 5203 289 @
15 5470 289 @
135 5745 289 @
1152 5500 289 @
857 5495 289 @
571 5480 324 @
262 4368 289 @
-173 3497 429 @
264 3566 608 @
686 3551 608 @
1539 2740 800 "Axis Bunker MG 1"
353 2750 800 "Axis Bunker MG 2"
1935 5257 508 "Axis Command Bunker MG"
809 5694 348 "Axis Depot"
577 5681 348 @
825 5850 348 @
1084 5970 348 @
1262 5628 548 "Axis Depot Catwalk"
1278 5990 548 @
1261 6161 548 @
934 6158 548 @
652 6156 548 @
333 6154 548 @
61 6152 548 @
56 5672 548 @
807 5980 348 "Axis Depot Hallway"
376 5971 348 @
319 5749 348 "Axis Depot Storage"
296 5694 588 "Axis Depot Supplies"
551 5698 588 "Axis Depot Upper Hallway"
776 5707 588 @
1066 5693 575 @
1012 2726 136 "Axis Planning Room"
1384 2741 136 @
1364 2348 136 @
1171 2342 136 @
916 2339 136 @
858 2750 136 @
1363 3064 136 "Axis Planning Room Lobby"
1209 3177 136 @
1016 2998 136 @
689 2418 136 "Axis Radio Room"
423 2414 136 @
714 2151 136 @
689 1928 136 @
536 1671 136 @
423 2090 146 @
262 1793 216 "Axis Storage"
320 2060 216 @
310 2363 216 @
287 2614 216 @
84 2549 285 "Axis Storage Tunnel"
84 2819 285 @
82 2927 609 @
77 3412 609 @
-56 4475 136 "Axis Underground Tunnels"
701 4478 136 @
1224 4472 136 @
1216 3936 136 @
1226 3359 136 @
1078 4332 136 @
1077 3897 136 @
704 5020 136 @
697 5592 136 @
715 1662 136 "Bank Door"
927 1638 136 "Bank Vault"
891 1953 136 @
873 2192 136 @
1070 2154 136 @
1361 2002 136 @
1209 1877 136 @
1217 2135 136 @
29 620 520 "Bay Area"
293 386 520 @
474 545 529 @
824 644 520 @
1160 613 520 @
1377 647 520 @
1882 652 550 @
160 -2054 568 @
727 -2732 603 @
1390 -3125 344 @
717 -2053 528 @
787 -1794 528 @
275 591 520 "Bay Area Supplies"
779 -1896 880 "Bay Area Tower"
1357 814 520 "Bay Area Trenches"
1379 1130 520 @
1368 1498 520 @
1592 1495 558 @
1364 1644 520 @
1398 1952 556 @
1039 1941 524 @
824 1942 523 @
835 2099 520 @
396 1937 520 @
391 1671 520 @
397 1353 520 @
426 1107 540 @
701 1077 520 @
834 777 520 @
13 789 520 @
33 1132 520 @
-158 1251 554 @
-235 1916 551 @
-258 2090 520 @
1401 1001 520 @
175 -2453 543 "Bridge"
476 -2817 567 @
-19 2417 520 "Bunker Entrance Area"
184 2238 520 @
179 2604 520 @
764 2572 520 @
817 2233 520 @
1017 2489 520 @
1280 2570 520 @
1444 2236 520 @
1019 2635 520 "Bunker Entrance Door"
1753 5146 312 "Command Bunker"
1904 5489 226 @
2088 5351 328 @
1941 5345 376 @
1670 4262 141 "Command Bunker Trenches"
1992 4476 141 @
2083 4681 141 @
1909 5090 141 @
1906 5400 141 @
1655 5228 141 @
1579 5572 141 @
1828 5588 141 @
2123 5586 141 @
2133 5980 220 @
1754 5969 141 @
1626 5806 141 @
1977 5212 312 "Command Post"
1695 2480 520 "East Ramp"
1756 2750 792 @
1964 2695 792 @
2014 2917 792 "East Ramp Supplies"
1334 1877 136 "First Gold Bars"
668 2888 528 "Forward Bunker"
528 2758 528 @
345 2909 528 @
323 3189 528 @
621 3202 528 @
752 2849 528 @
1013 2928 528 @
1282 2915 528 @
1207 2951 800 @
588 2933 800 @
1130 3348 528 @
1614 3285 503 @
1632 3306 800 @
140 3337 800 @
1046 3457 692 "Forward Bunker Back Catwalk"
1337 3455 692 @
1581 3464 692 @
1797 3473 692 @
1190 3529 528 "Forward Bunker Back Ramp"
798 3604 368 @
979 3494 336 @
1467 3848 368 @
1213 3706 528 @
1435 3489 528 @
644 3636 344 "Forward Bunker Barracks"
322 3494 344 @
309 3160 259 @
1758 3295 511 "Forward Bunker Elevator"
1751 3304 800 @
472 3095 528 "Forward Bunker Flag"
306 2754 216 "Forward Bunker Supplies"
1231 2702 792 "Forward Bunker Terrace"
918 2710 792 @
592 2716 792 @
-502 2847 792 @
-49 2885 792 "Main Entrance"
1350 2121 136 "Second Gold Bars"
727 -3295 568 "Secret Area"
545 2886 225 "Service Elevator"
542 2894 528 @
1770 2892 528 "Side Entrance"
1510 2909 528 @
1784 1226 520 "Water Pump"
1719 792 528 @
1542 1206 520 @
1518 873 520 @
1621 1063 4 "Water Pump Tunnels"
1630 1870 -17 @
1628 2420 -18 @
1626 3122 -62 @
1912 3459 -62 @
1902 4074 -62 @
1896 4713 -62 @
1909 5216 -62 @
-365 2467 520 "West Ramp"
-232 2249 520 @
