/////////////////////////////////////////////////////////
// Map name       Exhumed                              //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    29-04-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1171 4252 367 "Allied Spawn"
-56 5675 328 "Allied West Door"
1874 -2235 387 "Axis Desert Spawn #1"
6546 -2216 387 "Axis Desert Spawn #2"
4034 -1108 328 "Axis South Door"
2008 3157 329 "Charge Booster"
2689 1261 -1471 "Dungeon"
2240 1666 -1471 @
2267 2335 -1471 @
2687 3460 -1471 @
2247 3007 -1471 @
3030 2314 -1471 @
3413 1875 -1471 @
3825 2290 -1471 @
3427 2691 -1471 @
3424 3451 -1471 @
4157 3447 -1471 @
4625 3006 -1471 @
4587 2333 -1471 @
4587 1662 -1471 @
4166 1231 -1471 @
3422 1238 -1471 @
-218 2307 -1150 "Dungeon Corridors"
3437 6636 -1492 @
7783 2324 -1471 @
3426 -1912 -1471 @
1250 2330 -1150 @
1237 519 -1150 @
2685 1017 -1471 @
2685 -3 -1471 @
1021 10 -1471 @
1024 1677 -1471 @
2077 1665 -1471 @
2066 2334 -1471 @
966 2330 -1471 @
955 4703 -1471 @
2693 4687 -1471 @
2686 3632 -1471 @
2073 3009 -1471 @
1218 3016 -1471 @
1251 4449 -1150 @
2695 4449 -1150 @
2695 6973 -1150 @
-783 6981 -915 @
3427 3620 -1471 @
4158 3614 -1471 @
4154 4699 -1471 @
5833 4669 -1471 @
5829 3013 -1471 @
4774 3007 -1471 @
4785 2334 -1471 @
7361 2342 -1471 @
4768 1659 -1471 @
5597 1657 -1471 @
5604 1216 -1150 @
5599 4440 -1150 @
2908 4459 -1150 @
3433 4447 -1492 @
4162 1033 -1471 @
4151 226 -1471 @
1250 190 -1150 @
4125 221 -1126 @
5577 224 -1150 @
6049 1051 -1150 @
6053 6793 -1150 @
6710 6808 -1150 @
6074 4417 -1150 @
3426 1045 -1471 @
3418 -1344 -1471 @
-562 2315 -1150 @
3428 2329 -1471 "Dungeon Flag"
7021 1999 -908 "East Tomb"
6755 2326 -908 @
7021 2651 -908 @
4688 2311 -823 @
7076 2327 -908 "East Tomb Door"
6848 7154 329 "Health and Ammo Cabinets"
6854 6402 329 "Inside The Pyramid"
6853 6808 337 @
7251 6790 329 @
6418 6765 329 @
3418 2301 -732 "Mummy"
2344 2327 -823 "Mummy Tomb"
3431 3349 -823 @
3427 2610 -823 @
3085 2303 -823 @
3419 1998 -823 @
3761 2303 -823 @
4546 2316 -823 @
3431 1320 -823 @
4154 -2201 339 "Mummy Truck"
3761 5850 -908 "North Tomb"
3418 5591 -908 @
3069 5850 -908 @
3435 3527 -823 @
3424 5904 -908 "North Tomb Door"
3984 5013 329 "Obelisk Courtyard"
5368 5075 344 @
5364 2558 344 @
4049 2489 329 @
2677 3836 329 @
3178 2526 344 @
2671 3182 344 @
3433 792 329 "Palace Courtyard"
2591 13 329 @
1775 795 329 @
2590 1548 329 @
6854 6402 886 "Pyramid"
6853 6808 1196 @
7251 6790 824 @
6418 6765 824 @
6848 7154 948 @
6824 7698 390 @
5997 6775 390 @
6861 6125 576 @
7634 6787 452 @
3976 5322 329 "Pyramid Courtyard"
2674 6382 344 @
5299 6797 344 @
5368 5278 329 @
5544 5074 344 @
6840 5454 329 @
6795 2594 344 @
5555 2547 344 @
6848 6092 329 "Pyramid Door"
6850 6818 -1150 "Pyramid Rope"
6850 6818 57 @
4028 -1586 328 "South Desert"
4628 -1131 328 @
3347 -1159 328 @
2466 -2227 328 @
1921 -1364 328 @
1267 -2236 328 @
1874 -2999 328 @
5987 -2197 328 @
6529 -1479 328 @
7165 -2203 328 @
6532 -2971 328 @
4069 -2725 328 @
4585 -2180 328 @
3767 -2193 328 @
5583 240 344 "South East Courtyard"
5565 2338 339 @
6794 2379 344 @
3087 -1197 -908 "South Tomb"
3443 -939 -908 @
3816 -1197 -908 @
3433 1114 -823 @
3442 -1249 -908 "South Tomb Door"
5364 2359 344 "Sphinx Courtyard"
5401 239 344 @
4026 -743 329 @
4461 -905 344 @
3610 791 329 @
4054 2267 329 @
3573 2059 344 @
4731 980 -908 "Tomb Level Corridors"
7427 950 -908 @
7405 2320 -908 @
7460 3646 -908 @
4773 3635 -908 @
4792 6271 -908 @
3426 6237 -908 @
2106 6260 -908 @
2132 3668 -908 @
-545 3663 -908 @
-562 2315 -908 @
-568 997 -908 @
2080 1000 -908 @
2073 -1619 -908 @
3437 -1572 -908 @
4764 -1630 -908 @
2403 6386 344 "West Courtyard"
2351 3824 329 @
1439 3527 329 @
357 5692 329 @
212 5155 344 @
212 6315 344 @
1980 3597 329 @
-89 5074 328 "West Desert"
-153 4344 328 @
-1200 3500 328 @
-1715 4249 328 @
-1131 4897 328 @
-579 5745 328 @
-102 6372 328 @
-783 6981 336 @
-783 6981 -164 "West Desert Rope"
2593 -147 329 "West Houses Area"
3353 -931 344 @
1573 791 329 @
2592 1748 329 @
3439 2053 329 @
3180 2287 329 @
1441 3280 329 @
2013 2555 329 @
2421 3183 344 @
2184 2320 -823 "West Tomb"
75 2310 -908 @
-155 2661 -908 @
-155 1921 -908 @
-218 2307 -908 "West Tomb Door"
