/////////////////////////////////////////////////////////
// Map name       Facility31 B1                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 30                //
// Last edited    27-06-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-2344 4818 -215 "^1Allied Command Post"
1083 4734 -279 "^1Central Circulation Port"
1729 -14 480 "^1Chemical Counter-Agent"
6047 3297 272 @
-1998 8504 64 @
1189 2800 140 "^1Warehouse Wall"
-3042 -1240 104 "^2Allied Spawn"
4417 8632 448 "^2Axis Spawn"
4156 8892 448 @
1600 2815 105 "^2Forward Spawn"
5759 5406 400 "^3Allied Supplies"
-1926 4869 -263 @
671 4377 -239 "^3Central Lab"
746 4736 -255 @
743 5037 -255 @
1346 3998 42 "^3Central Lab Chemical Vent"
1179 4000 0 @
287 4005 0 @
677 3932 -63 @
742 5108 -119 "^3Central Lab Controls"
610 5598 -119 @
1731 4142 -223 "^3Central Lab Hallways"
2227 4145 -223 @
669 4261 -223 @
-1147 4541 -183 @
-264 6332 -127 @
-127 5393 -239 @
609 5729 -127 @
1245 5820 -127 @
1317 5408 164 @
1182 4061 -223 @
287 4071 -223 @
658 4065 -72 @
2546 5217 64 "^3Central Lab Office"
2242 4585 -255 "^3Central Lab Tanks Room"
1471 5823 -127 @
1490 5405 146 @
2545 5366 64 @
2422 6054 -255 @
-2330 4572 -215 "^3Command Post Room"
-1310 4533 -199 "^3Disinfection Room"
-1490 4432 -215 @
6338 3295 -61 "^3East Chemical Pit"
6046 3596 -63 @
5763 3651 -67 @
5809 3297 -63 @
6049 2991 -63 @
5309 3654 -67 @
5470 3794 0 @
6046 3802 0 @
6338 3295 316 "^3East Lab"
6046 3596 362 @
6049 2991 363 @
5809 3297 316 @
5309 3654 320 @
5763 3651 320 @
5762 3854 320 "^3East Lab Hallway"
5756 6207 320 @
6266 4635 384 "^3East Tram Station"
5761 5192 448 @
6162 5362 384 @
5267 5016 430 @
6265 4463 384 "^3East Tram Station Hallways"
6278 4039 384 @
6257 5652 384 @
6226 6386 388 @
4917 7525 388 @
95 6770 -127 "^3Gamblor's Ledge"
7 7874 -127 @
3449 6210 -319 "^3Large Pipe"
3951 6208 0 @
5004 6210 0 @
5264 6204 13 "^3Ledge"
5303 5021 96 @
5310 3876 -63 @
-3042 -858 104 "^3Main Gutter"
-1931 473 104 @
-907 1024 82 @
769 2779 104 @
469 2779 104 @
-1135 2994 81 @
469 2779 448 "^3Main Gutter Bridge"
3075 8930 224 "^3North Courtyard"
1947 9171 192 @
1734 9176 192 "^3North Generator Room"
1346 9000 224 @
4700 7495 222 "^3North-East Chemical Pit Area"
4419 8502 448 @
3966 8886 446 @
3247 8932 224 @
4774 7518 384 @
-1119 8575 168 "^3North-West Ventilation Shaft"
-1123 8283 168 @
-1118 7976 168 @
5759 6342 320 "^3Pillar Room"
4702 7311 224 @
6093 6379 352 @
-1942 4554 -207 "^3Plank Room"
949 8393 72 "^3Power House"
1194 8391 328 @
718 8837 328 @
688 8839 128 @
808 8997 319 @
1189 8273 328 "^3Power House Ladder"
946 8262 78 "^3Power House Stairs"
1677 8322 -89 @
1178 8262 22 @
1524 2075 512 "^3South Chemical Pit Area"
454 413 512 @
641 1157 448 @
-269 987 480 @
777 2203 448 @
491 2207 448 @
1535 2433 528 @
2080 -15 516 "^3South Lab"
1731 354 516 @
1346 -11 516 @
858 -58 516 @
596 415 516 @
1961 355 516 @
1960 648 468 "^3South Lab Hallway"
2122 1406 388 @
1890 2076 448 @
2080 -15 252 "^3South Lab Sewers"
1731 354 272 @
1346 -11 272 @
858 -58 272 @
1717 967 105 @
1961 355 272 @
2122 1406 112 @
1596 976 93 "^3South Sewers"
-748 1022 81 @
109 1260 129 @
2962 6061 -223 "^3Tanks Room Exit"
3824 5020 -751 "^3The Pit"
4863 5018 -739 @
3449 6210 -750 @
3951 6208 -691 @
5004 6210 -737 @
5138 3882 -746 @
2396 6702 -765 @
95 6770 -713 @
946 8262 -673 @
139 7884 -760 @
2190 6698 -754 @
1918 8332 -770 @
1677 8322 -712 @
1178 8262 -657 @
2102 7554 -707 @
2396 6702 -257 "^3The Pit Catwalk"
2947 6418 -255 "^3The Pit Terrace"
3243 6498 -255 @
4875 5021 487 "^3Tram"
3823 5028 474 @
2870 4829 64 "^3Tram Power Room"
2563 4886 64 @
2190 6698 -255 "^3Truck Bridge"
1918 8332 -255 @
2102 7554 -255 @
1948 9693 -255 "^3Truck Bridge Tunnel"
1921 8925 -255 @
1421 9692 -37 "^3Truck Bridge Tunnel Ramp"
808 8997 192 "^3Truck Loading Courtyard"
581 8837 128 @
771 9437 200 @
-603 8696 192 @
-1121 8700 192 @
-830 9485 192 @
-606 8514 192 "^3Truck Loading Grease Trap"
-1123 8283 -111 @
-991 8050 -111 @
770 9551 200 "^3Truck Loading House"
2262 2078 452 "^3Upper Warehouse Access"
-1935 4213 132 "^3Upper West Hallway"
-1926 4869 132 @
1891 2822 64 "^3Warehouse"
1607 2500 64 @
1608 3117 64 @
1727 3888 64 @
2138 2536 448 @
2313 3041 477 @
2884 4651 413 @
1438 3999 64 @
1727 3888 -223 "^3Warehouse Hallways"
1608 3117 -223 @
1617 2308 57 @
436 4004 448 "^3Warehouse Loading Area"
-658 3739 448 @
-74 3363 448 @
983 3447 244 "^3Warehouse Loading Ramp"
466 3560 407 @
-67 3284 448 "^3Warehouse Loading Small Room"
-1152 3546 448 "^3Warehouse Loading Storage"
-859 3734 448 @
1928 2548 528 "^3Warehouse Vent Exit"
1532 2563 528 @
1918 3028 528 @
2005 2538 528 "^3Warehouse Ventilation Shaft"
2017 3032 528 @
-1384 5419 -313 "^3West Chemical Pit"
-2497 7635 -254 @
-2494 7431 -303 @
-2081 5434 -318 @
-2001 8278 -286 @
-2344 4818 -497 @
-1490 4432 -504 @
-1942 4554 -402 @
-2330 4572 -472 @
-2334 4184 -488 @
-1492 4307 -493 @
-1566 8158 -265 @
-2402 7929 -378 @
-1349 3547 -324 @
-1923 3854 -300 @
-1935 4213 -459 @
-1926 4869 -527 @
-1384 5419 48 "^3West Chemical Pit Area"
-2494 7431 18 @
-2081 5434 112 @
-1349 3547 56 "^3West Chemical Pit Catwalk"
-1923 3854 109 @
-265 6564 -127 "^3West Chemical Pit Drainage"
-916 7102 -111 @
-1104 6810 44 @
-1120 6514 44 @
-1114 7364 44 @
-1169 7659 44 @
-991 7908 -111 @
-1117 7858 150 @
-1128 5427 48 "^3West Chemical Pit Hallways"
-1118 6367 48 @
-1376 7649 48 @
-2497 7635 48 @
-1086 7107 52 "^3West Chemical Pit Wheel"
-2334 4184 -215 "^3West Hallway"
-1492 4307 -215 @
-1935 4213 -237 @
-2001 8278 80 "^3West Lab"
-2338 8505 72 @
-1987 8760 72 @
-1726 8506 64 @
-1480 9088 80 @
-1566 8158 515 @
-2402 7929 71 @
-2329 8032 80 @
-2329 8032 -145 "^3West Lab Drainage"
-1357 9087 80 "^3West Lab Hallway"
-860 9133 80 @
-1566 8158 67 "^3West Lab Ladder"
-1152 3546 -361 "^3West Sewer Chemical Pit"
-859 3734 -345 @
-1152 3546 54 "^3West Sewer Exit"
-859 3734 54 @
-749 3744 48 "^3West Sewers"
-1133 3229 72 @
3432 5022 475 "^3West Tram Station"
2883 4831 448 @
98 6377 -127 "^fGamblor's Room"
