/////////////////////////////////////////////////////////
// Map name       Falkenstein SW2                      //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 26                //
// Last edited    01-07-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1157 -1762 440 "^1Checkpoint"
7152 215 360 "^1Command Post"
6234 -2455 104 "^1Escape Train"
6710 -3502 128 "^1Fence Doors"
4998 594 112 "^1Generator"
7390 -1321 80 "^1Lower Entrance"
9261 -2351 62 "^1Objective"
7816 -1401 352 "^1Upper Entrance"
2290 -4134 821 "^2Allied Spawn"
2038 -4938 848 @
7356 -3810 352 "^2Base Spawn"
7711 -3675 352 @
7458 -4115 355 @
1293 -1661 460 "^2Checkpoint Spawn"
1809 -1357 432 @
1739 -805 432 @
7409 28 360 "^2Command Post Spawn"
7124 18 360 @
3565 -708 112 "^2Station Spawn"
3034 -998 112 @
3043 -1410 112 @
2476 -3512 720 "^3Allied Corridors"
2291 -3854 848 @
8339 -2218 432 "^3Base Generators Room"
8467 -3053 432 @
7429 -1761 208 "^3Base Main Hall"
7068 -2858 80 @
8002 -2347 80 @
6845 -2332 352 @
7320 -2478 352 @
7161 -2330 352 @
6666 -2546 328 "^3Base Office Balcony"
9042 -3436 144 "^3Base South Stairwell"
8724 -3048 432 @
7010 -3759 352 "^3Base Spawn Hallway"
7344 -3395 352 @
7089 -3243 352 @
7713 -3423 352 @
7325 -2771 352 @
7715 -3206 332 "^3Base Spawn Stairwell"
7692 -3230 80 @
8492 -1513 184 "^3Base Ventilation Shaft"
8626 -1506 184 @
247 -2079 432 "^3Checkpoint Courtyard"
1194 -2079 432 @
1750 -2513 480 @
895 -1744 432 @
690 -2187 432 @
1351 -801 436 @
652 -562 432 @
1339 -700 432 @
1050 -333 432 @
43 -438 432 @
-113 -1101 432 @
243 -1803 640 @
686 -1756 640 @
967 -1169 432 @
1731 -2069 496 "^3Checkpoint Loading Bay"
2473 -2089 496 "^3Checkpoint Office"
-94 -433 292 "^3Checkpoint Ramp"
1339 -700 288 "^3Checkpoint Stairs"
1050 -333 112 @
232 -1804 432 "^3Checkpoint Storage"
681 -1748 432 @
2483 -2676 496 "^3Checkpoint Warehouse"
2497 -2870 688 @
4673 584 112 "^3Generator Hallway"
582 -735 59 "^3Health and Ammo Cabinets"
6664 -2361 80 @
7394 -1610 80 "^3Lower Base Corridors"
6673 -1974 80 @
6809 -1457 80 @
7277 -3497 80 @
7691 -3424 80 @
8189 -3218 80 @
9033 -3110 144 @
8234 -1511 88 @
7356 -3810 80 @
7458 -4115 108 @
7002 -3503 128 @
6969 -2489 80 "^3Lower Base Office"
6861 -2857 80 @
6773 -811 80 "^3Lower Tunnel"
5229 170 88 @
6003 -845 80 @
6021 160 80 @
7377 -972 80 @
5768 -852 80 "^3Lower Tunnel Corridor"
5226 -274 80 @
4677 187 88 "^3Lower Tunnel Door"
6372 -1974 82 "^3Lower Tunnel Train Bay"
6226 -2876 95 @
6702 -3187 128 @
6333 -3519 88 @
564 -4234 721 "^3Mountain Path"
1532 -4235 791 @
1410 -5051 792 "^3Mountain Road"
428 -4938 720 @
64 -4259 672 @
109 -2721 513 @
8251 -2345 96 "^3Prototype Room"
9017 -2753 144 @
9003 -2342 64 @
9494 -2358 96 @
9235 -2627 64 @
9252 -2079 64 @
9044 -1734 144 @
8627 -1891 144 @
9035 -1512 128 "^3Prototype Room Storage"
2667 -1411 112 "^3Station Corridors"
2676 -992 112 @
1556 -963 64 @
2645 -517 112 @
3575 -490 112 @
5223 -510 80 @
2255 -1238 64 "^3Station Storage"
2049 -956 64 @
2003 227 96 "^3Trainyard"
2266 511 112 @
1986 779 152 @
1715 496 112 @
-7 47 80 @
4120 990 80 @
4177 181 88 @
1455 1442 96 @
2648 -172 112 @
3572 -89 112 @
702 522 195 @
852 524 194 @
1033 -147 112 @
927 103 142 @
919 1075 174 @
2473 1443 80 @
1948 1109 80 @
1430 1154 80 @
3352 1603 118 @
2856 1612 122 @
3128 1339 80 @
2353 -74 316 @
852 524 496 "^3Trainyard Bridge"
927 103 458 @
919 1075 444 @
919 1287 432 "^3Trainyard Bridge Road"
1953 1442 176 @
1416 1419 355 @
702 522 496 "^3Trainyard Bridge Tower"
1736 -662 432 "^3Trainyard Controls Room"
2355 -467 432 @
3122 1606 118 "^3Trainyard Hut"
2036 -520 112 "^3Trainyard Loading Bay"
2473 -471 432 "^3Trainyard Overlook"
3575 -490 432 @
4145 -687 690 @
2817 -502 432 @
2005 515 416 "^3Trainyard Tower"
2005 515 152 @
8364 -1926 432 "^3Upper Base Corridors"
7814 -1750 352 @
7412 -1581 352 @
6837 -2549 328 "^3Upper Base Office"
7082 -2799 352 @
7158 -2477 352 @
7798 -1060 352 "^3Upper Tunnel"
6773 -811 360 @
5606 1001 88 @
6904 195 360 @
7402 248 360 @
6946 18 360 @
7720 94 352 @
4668 989 80 "^3Upper Tunnel Door"
