/////////////////////////////////////////////////////////
// Map name       Fata Morgana                         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 15                //
// Last edited    07-08-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-195 0 136 "^1Axis Flag"
-657 3 128 "^1Axis Spawn"
3892 456 0 "^1Red Hallways"
3917 -425 0 @
3870 -1036 256 @
3325 -466 256 @
3855 1062 256 @
3293 479 256 @
3253 -20 0 @
3253 -20 256 @
1889 -506 0 @
1890 -254 0 @
1895 -15 0 @
1880 259 0 @
1875 497 0 @
2107 265 0 @
2104 -2 0 @
2129 -259 0 @
1901 5 256 @
1902 260 256 @
1899 -262 256 @
1114 -244 256 @
1118 10 256 @
1123 251 256 @
1129 1 0 @
1133 259 0 @
1124 -250 0 @
-248 -488 128 @
-210 488 128 @
107 -19 128 @
4352 -3 256 "^2Central Area"
4747 -438 259 @
5197 -7 256 @
5258 476 256 @
4835 -934 256 @
5292 -467 256 @
3873 -890 256 @
3459 -468 256 @
3864 928 256 @
4840 928 256 @
3437 481 256 @
3481 -19 256 @
4352 -3 4 "^2Rotating Room"
8901 0 136 "^4Allied Flag"
9378 -5 128 "^4Allied Spawn"
8919 460 128 "^4Blue Hallways"
8926 -489 128 @
8520 27 142 @
7584 4 256 @
7584 4 0 @
7573 256 256 @
7580 -264 256 @
6813 -260 256 @
6820 3 256 @
6829 273 256 @
7588 -254 0 @
6835 -254 0 @
6828 -510 0 @
6813 8 0 @
6812 262 0 @
6817 527 0 @
6616 255 0 @
6614 -263 0 @
6590 6 0 @
4747 -438 0 @
5491 -13 0 @
5491 -13 256 @
5441 475 256 @
4835 -1090 256 @
4779 407 0 @
5438 -477 256 @
4840 1105 256 @
7581 250 0 @
