/////////////////////////////////////////////////////////
// Map name       Fatal Mill Beta                      //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
476 3398 768 "Allied Board"
478 3575 801 @
481 3321 976 @
3474 2598 768 "Allied Bridge"
3488 1959 776 @
3398 2992 768 "Allied Bridge Gate"
1298 3314 768 "Allied Camper Tower"
1187 3236 1092 @
384 3414 989 "Allied Fan"
388 3307 998 @
267 3289 768 "Allied Fan Area"
272 3593 768 @
624 3573 768 "Allied Fan Gate"
829 2888 603 "Allied Grinder"
3537 3546 800 "Allied Healing"
3413 3548 768 "Allied Side"
3547 3384 768 @
3564 2995 768 @
3392 3178 768 @
3114 2999 768 @
2921 3457 768 @
3200 3365 768 @
2131 3464 768 @
2329 3042 768 @
2589 2898 768 @
2433 2901 768 @
3391 2778 768 @
3632 2755 768 @
3179 2513 768 @
2513 2513 768 @
1763 2513 768 @
952 2512 768 @
230 2589 768 @
363 2784 764 @
273 3121 768 @
558 3111 768 @
668 3351 768 @
931 3577 768 @
1195 3524 768 @
1475 3205 768 @
1178 3067 768 @
979 3219 768 @
789 3240 768 @
669 2890 768 @
820 2715 768 @
986 2880 768 @
1895 2720 768 @
1780 3103 1024 @
2717 3110 776 "Allied Spawn"
2596 3001 776 @
2436 3039 776 @
3197 3278 1088 "Allied Tower"
2730 3439 768 "Allies Barrier A"
2334 3447 768 "Allies Barrier B"
2535 3350 768 "Allies Fatal Machine"
836 3090 768 "Allies LoL"
840 2863 994 @
2728 380 768 "Axis Barrier A"
2323 397 768 "Axis Barrier B"
485 446 768 "Axis Board"
476 249 791 @
475 487 962 @
3474 1226 768 "Axis Bridge"
3492 1870 776 @
3385 834 768 "Axis Bridge Gate"
1246 509 768 "Axis Camper Tower"
1176 608 1092 @
388 436 986 "Axis Fan"
387 571 1004 @
252 551 768 "Axis Fan Area"
252 278 768 @
621 256 768 "Axis Fan Gate"
2519 452 768 "Axis Fatal Machine"
839 968 604 "Axis Grinder"
3543 274 800 "Axis Healing"
836 748 768 "Axis LoL"
860 944 972 @
360 1025 768 "Axis Side"
3549 435 768 @
3385 289 768 @
2594 931 768 @
2322 808 768 @
2420 948 768 @
3149 1249 768 @
2631 1330 768 @
1856 1328 768 @
1099 1326 768 @
3169 495 768 @
2960 380 768 @
2825 718 768 @
2074 401 768 @
646 971 768 @
834 1154 768 @
1012 973 768 @
842 255 768 @
3485 1048 768 @
3630 835 768 @
3382 633 768 @
3054 850 768 @
1178 304 768 @
1026 604 768 @
1334 686 768 @
1510 331 768 @
543 715 768 @
249 721 768 @
645 548 768 @
1800 654 1024 @
220 1228 768 @
2440 800 776 "Axis Spawn"
2587 820 776 @
2723 723 776 @
3178 565 1088 "Axis Tower"
347 2789 594 "Lower Ventilation"
350 2781 1 @
351 2282 -22 @
347 1911 -22 @
351 1466 -22 @
358 1050 1 @
358 1050 593 @
3501 1662 262 "Moat"
2782 1685 271 @
1885 1682 277 @
1099 1690 319 @
337 1678 277 @
316 2149 263 @
989 2186 280 @
1792 2180 310 @
2487 2203 272 @
3159 2213 283 @
3553 2207 259 @
2846 1872 206 @
1430 1941 289 @
2846 1872 471 "Moat Water Vent"
2846 1872 927 @
2846 1872 1282 @
230 1657 767 @
227 1677 414 @
244 2182 423 @
244 2182 785 @
1430 1941 547 @
1430 1941 882 @
3136 1877 670 "Pendulum"
3143 1472 770 @
3143 2322 775 @
1858 2039 1599 "Rotating Logo"
1900 2680 1064 "Upper Ventilation"
1905 2344 1064 @
2330 2333 1064 @
2332 1636 1088 @
1898 1503 1064 @
1894 1151 1064 @
2718 765 1264 @
2716 1242 1264 @
2713 1637 1264 @
2756 1891 1264 @
2712 2208 1264 @
2716 2659 1264 @
2716 3074 1264 @
