/////////////////////////////////////////////////////////
// Map name       Field HQ B4                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 22                //
// Last edited    18-10-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-170 964 8 "^1Command Post"
2634 -74 388 "^1Keycard"
2197 -671 192 "^1Main Entrance"
2129 -1033 192 @
4442 1163 184 "^1Secret Documents"
2861 813 76 "^1Security Controls"
383 555 2 "^1Side Entrance"
-1044 -1394 336 "^1Transmitter"
1403 -2265 512 "^3Allied Barracks"
1851 -2504 512 @
1021 -2471 512 @
1374 -2202 320 "^3Allied Bunker"
1851 -2504 320 @
1021 -2471 320 @
117 -2010 336 @
3006 2947 344 "^3Axis Barracks"
3601 2621 350 @
2525 2002 52 "^3Bunker Courtyard"
2816 1163 40 @
3289 749 107 @
3431 -94 240 @
3997 839 153 @
3344 1827 116 @
2942 2002 131 @
3142 1441 78 @
2699 2428 64 "^3Bunker Equipment"
1984 440 147 "^3Bunker Hallway"
2630 -88 192 @
2852 2947 344 "^3Bunker Stairwell"
2523 3029 64 @
-514 -1312 336 "^3Command Center Field"
-938 -1958 336 @
-1074 -896 336 @
1199 742 96 "^3Forward Bunker"
1572 1393 32 @
2550 1137 48 @
2131 1183 48 @
1959 657 110 @
2768 1437 56 @
1579 1604 6 "^3Forward Bunker Path"
1752 2386 42 @
1563 1996 8 @
2325 973 48 "^3Health and Ammo"
2307 -986 400 "^3Main Bunker"
2325 -654 400 @
2686 -374 400 @
2308 -1033 192 @
3061 -199 400 @
2904 -129 240 @
3272 -98 240 @
1824 -679 193 "^3Main Entrance Path"
935 -646 127 @
1364 -1957 312 @
3601 2621 160 "^3Rear Bunker"
3347 2000 128 @
1891 2537 64 @
2358 3024 64 @
2526 2214 64 @
2549 2682 64 @
3825 2648 344 @
4180 2584 200 @
373 950 8 "^3Side Bunker"
-21 620 8 @
111 1312 8 @
1018 737 96 @
111 1694 4 "^3Side Bunker Path"
730 1977 4 @
350 222 12 "^3Side Entrance Path"
-108 -1159 253 @
721 -534 105 @
103 105 16 @
1157 1957 10 "^3Truck"
4175 834 160 "^3War Room"
4438 982 160 @
4699 1410 200 @
4279 1460 200 @
4184 2418 200 "^3War Room Hallway"
4277 1628 200 @
