/////////////////////////////////////////////////////////
// Map name       Flag in the Middle                   //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 15                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-6 2165 16 "Allied Base"
-646 2041 16 @
3 1921 16 @
625 2049 16 @
1664 1279 160 "Allied East"
1415 1395 160 @
1324 1639 160 @
1426 1872 160 @
1666 1980 160 @
1907 1865 160 @
2006 1637 160 @
1892 1404 160 @
1683 1530 352 @
2704 1339 68 "Allied Supplies"
-2683 888 68 @
-1590 1447 80 "Allied West"
-2228 1466 80 @
-2231 837 80 @
-1613 840 80 @
-2240 1172 80 @
-1923 1154 320 @
629 -2048 16 "Axis Base"
0 -2186 16 @
-632 -2053 16 @
1 -1920 16 @
1596 -1444 80 "Axis East"
1997 -833 80 @
2244 -1181 80 @
2246 -1485 80 @
1949 -1136 320 @
-2687 -1339 68 "Axis Supplies"
2687 -902 68 @
-1663 -1977 160 "Axis West"
-2008 -1637 160 @
-1671 -1279 160 @
-1309 -1620 160 @
-1666 -1715 352 @
-1881 -1881 160 @
-1912 -1388 160 @
-1440 -1361 160 @
-1419 -1866 160 @
243 17 128 "Command Post"
261 -115 128 @
-162 27 132 "Flag"
-165 317 64 "North Side"
255 318 64 @
852 294 64 @
1461 323 64 @
2311 327 64 @
-767 313 64 @
-1647 327 64 @
-2483 321 64 @
-2672 663 64 @
-2521 879 64 @
-2677 1134 64 @
797 2044 0 @
632 2415 25 @
6 2304 0 @
-612 2415 25 @
-782 2054 0 @
-630 1666 0 @
-4 1795 1 @
634 1711 0 @
1229 1637 128 @
1338 1313 128 @
1658 1161 146 @
1978 1279 128 @
2132 1607 125 @
2019 1950 128 @
1668 2118 141 @
1331 1975 128 @
2681 1535 64 @
2487 1351 65 @
2690 1164 64 @
-2360 1476 64 @
-2254 1589 64 @
-1591 1590 64 @
-1487 1476 68 @
-1482 815 64 @
-1577 723 64 @
-2238 717 64 @
-2357 818 64 @
-2360 1175 66 @
5 -1728 0 "South Side"
-808 -2043 0 @
-647 -1621 23 @
875 -2057 0 @
629 -1624 21 @
586 -2394 15 @
7 -2338 0 @
-618 -2423 29 @
1453 -1441 64 @
1592 -1590 64 @
2239 -1588 64 @
2354 -1481 64 @
2360 -1195 66 @
2539 -888 64 @
2692 -1132 64 @
2687 -664 64 @
2005 -710 66 @
-165 -327 64 @
247 -317 64 @
864 -305 64 @
1483 -326 64 @
2316 -320 64 @
-740 -327 64 @
-1629 -340 64 @
-2471 -344 64 @
-2684 -1183 64 @
-2477 -1336 67 @
-2678 -1498 64 @
-1172 -1640 114 @
-1654 -1153 144 @
-2133 -1610 124 @
-1662 -2103 145 @
-1330 -1963 128 @
-1351 -1278 128 @
-1989 -1297 128 @
-1980 -1957 128 @
-1609 -23 -472 "^1R.I.P."
-2558 12 -443 @
-570 -51 -421 @
87 -27 -428 @
1034 -29 -431 @
2525 -17 -406 @
1517 -19 -436 @
