/////////////////////////////////////////////////////////
// Map name       FlakTower                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1108 3446 944 "1st Flak Cannon"
-1099 901 944 "2nd Flak Cannon"
1459 906 944 "3rd Flak Cannon"
1454 3452 944 "4th Flak Cannon"
-288 1037 688 "Above Bunker Platform"
-114 1061 670 @
-415 1072 670 @
-2466 -1364 -147 "Allied Spawn"
-298 856 360 "Bunker Platform"
-125 1025 360 @
754 108 360 @
1457 554 360 @
1419 3 360 @
-299 111 360 @
34 103 360 @
149 181 360 @
-1159 1312 785 "Bunker Platform Corridor"
-499 1146 670 @
-293 1035 434 "Bunker Platform MG42"
-1390 2118 804 "Bunker Side Platform"
-1249 1597 782 @
-1250 1317 782 @
-1259 1605 635 "Bunker Yard"
-1240 1313 643 @
-1976 1278 556 @
-1612 1222 591 @
-1817 1660 555 @
-1939 1938 543 @
-1344 3581 284 @
-1342 3031 290 @
-1371 2543 378 @
-265 4323 284 "Command Post"
1275 1832 656 "Contingency Quarters"
989 1846 656 @
689 2286 674 @
1131 2513 656 @
317 2968 674 @
286 2574 657 @
672 3110 656 @
422 3104 656 @
190 2167 613 @
241 1845 656 @
-871 1630 656 @
-843 2008 656 @
-861 2543 656 @
-766 2995 648 @
-404 2723 656 @
-131 2302 674 @
-19 1849 656 @
-492 2740 656 @
1 3103 656 @
1557 537 107 "Escape Hatch"
-2547 978 495 "Fence"
-2024 929 513 @
-1443 907 586 @
-2041 1101 548 @
132 1698 816 "Flak Tower Bunker"
-296 2154 816 @
115 2625 816 @
549 2166 816 @
128 2167 1053 @
183 2173 816 @
119 2485 816 @
263 1842 816 @
4 1861 816 @
1456 3132 928 "Flak Tower Roof"
1138 3465 928 @
1445 1231 928 @
1133 863 928 @
-764 864 928 @
-1159 1228 928 @
-1015 3123 936 @
-771 3459 928 @
839 2149 928 @
126 2932 928 @
-601 2170 928 @
121 1389 928 @
-269 994 930 @
1282 1839 928 @
551 2154 1042 @
124 2652 1038 @
-315 2157 1040 @
128 1689 1042 @
-1965 -1369 -166 "Forest Area"
-2468 -1909 -120 @
-2924 -1367 -46 @
-2434 -790 -3 @
-1477 -654 0 @
-750 -1089 9 @
-1379 -14 12 @
-2670 694 461 @
-2139 612 267 @
-1492 629 395 @
1049 544 40 "Forward Bunker"
1010 1091 40 @
539 783 40 @
755 116 40 @
0 616 40 @
-6 89 144 @
421 539 40 @
122 557 40 @
-286 1028 40 "Forward Bunker Ladder"
-292 1107 322 @
428 786 40 "Forward Bunker Machinery"
57 673 40 @
-289 888 40 @
171 1094 40 @
1007 1210 40 "Forward Bunker Stairs"
996 2288 264 @
995 2026 208 @
-366 3284 284 "Health and Ammo Cabinets"
5 3209 284 "Main Bunker"
-48 4337 284 @
-494 4337 284 @
-273 4160 300 @
-398 3475 284 @
-638 3274 284 @
-1046 3226 284 @
-1334 3673 284 @
-1052 3084 284 "Main Bunker Stairs"
-1059 2532 396 @
-1058 2014 508 @
-1054 1616 656 @
-1399 2055 564 @
-667 1831 284 "Main Hall"
-922 1843 284 @
-793 2363 284 @
-15 3086 284 @
-776 3000 530 @
433 3008 284 @
673 3048 395 @
711 2297 284 @
805 1992 284 @
806 2581 284 @
-121 2284 329 @
236 2577 284 @
-380 2723 284 @
134 2212 284 @
677 3210 656 "Narrow Corridors"
-14 3761 654 @
-600 4060 656 @
-264 4098 556 @
677 3161 520 @
-421 887 247 "Outside the Bunker"
-403 83 174 @
-299 -17 137 @
-19 -27 143 @
144 91 144 @
605 31 40 @
787 -112 64 @
1532 -15 135 @
1431 -129 139 @
-681 1713 284 "Security Doors"
871 2290 284 @
-1008 1855 264 "Security Doors Switch"
-1051 1665 264 "Security Sidewall"
5 1261 264 "Storage Area"
-689 1558 264 @
-1056 1525 265 @
-415 1673 264 @
-1032 1648 408 @
-676 1665 408 @
996 1075 208 @
553 1516 208 @
53 1549 410 @
1251 1228 208 @
-1127 1313 408 @
1244 1455 256 "Storage Area Stairs"
1221 2499 464 @
137 1313 48 "Storage Stairs"
267 1323 112 @
141 1353 184 @
259 1234 264 @
-2069 1669 564 "Weapons Storage Facility"
-2490 1589 564 @
-2098 1253 564 @
-2139 1927 564 @
