/////////////////////////////////////////////////////////
// Map name       Flakstuff                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    10-12-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-944 1910 1100 "Allies Bunker Spawn"
-721 1858 1093 @
-546 2073 1100 @
-840 2123 1102 @
-349 1926 1096 @
-1923 -2648 771 "Ammo Cabinet"
1964 -1580 264 "Axis Bunker"
1404 -1571 264 @
1406 -2129 264 @
2120 -1838 273 @
1659 -1579 264 @
2117 -2132 283 @
2103 -1646 418 "Axis Bunker Roof"
1964 -1580 418 @
1406 -2129 418 @
2120 -1838 418 @
1659 -1579 418 @
2117 -2132 418 @
1404 -1571 456 "Axis Bunker Roof MG42"
-1806 -2583 1030 "Big Flak"
-1923 -2648 962 @
-1867 -2522 947 @
-481 2359 640 "Big Shells"
-630 2459 640 @
-1475 82 598 "Command Post"
-1803 15 454 "Command Post Bunker"
-1420 270 414 @
-1759 470 430 @
-1752 62 598 @
-1518 234 598 @
-1652 486 598 @
-1759 470 724 "Command Post Bunker Roof"
-1475 82 722 @
-1752 62 722 @
-1518 234 724 @
-1652 486 724 @
-736 -805 322 "First Aid Hut"
-461 -854 353 @
-1860 -2513 520 "Flak Artillery Cannon"
-1867 -2522 771 "Flak Cannon MG42"
1942 943 310 "Fuel Tanks"
1940 1156 269 @
1926 812 228 @
1942 943 465 "Fuel Tanks Attic"
1940 1156 456 @
1950 941 616 "Fuel Tanks Roof"
1948 1143 632 @
1767 1131 529 @
1765 928 526 @
2136 943 489 @
2142 1155 483 @
1926 812 457 @
-2094 2351 1159 "Health Cabinet"
-359 -750 322 @
2103 -1646 264 "Health and Ammo Cabinets"
-1759 470 598 @
-373 2081 1100 @
1634 -828 252 "Ladder Constructible"
-711 793 310 "Ladder To Main Bunker"
-691 851 753 @
-695 1245 753 @
-2487 -2675 1117 "Large Crane"
-2530 -2677 696 @
-560 2453 876 "Main Bunker Barracks"
-1076 2438 876 @
-1051 2054 876 @
-368 2047 876 @
-722 2082 876 @
-630 2568 640 @
-724 2452 876 @
-478 2236 876 @
-313 2565 859 @
-1052 1958 876 "Main Bunker Entrance"
-714 1856 876 @
-352 1865 876 @
-368 1970 873 @
-723 1965 875 @
-2092 2452 1112 "Main Bunker Fence"
-939 2456 1478 "Main Bunker Hilltop"
-1325 2331 1607 @
-406 2460 1528 @
-111 2470 1476 @
136 2583 1587 @
-950 1915 1232 "Main Bunker Roof"
-840 2123 1232 @
-382 2079 1231 @
-349 1926 1221 @
-546 2073 1232 @
-724 1880 1234 @
185 1923 1338 @
13 2059 1371 @
6 2087 1650 "Main Bunker Roof Antenna"
-873 2222 1350 "Main Bunker Roof Rope"
-152 1965 667 "Main Bunker Stairwell"
172 2013 667 @
185 1923 1200 @
-627 1923 640 "Main Bunker Storage"
-478 2240 640 @
-369 1970 666 @
-560 2453 1095 "Main Bunker Vent"
-1076 2438 1112 @
-1992 2453 1108 @
-1792 2449 1106 @
-1992 2453 1198 "Main Bunker Vent Roof"
-1792 2449 1198 @
-1076 2438 713 "Main Bunker Wine Cellar"
-727 2569 640 @
-731 1927 640 @
-1054 1961 640 @
-726 2454 640 @
583 1753 595 "North Bunker"
578 1276 635 @
1283 1284 595 @
1279 1803 592 @
913 1463 592 @
1283 1284 746 @
1279 1803 746 @
583 1753 746 @
-173 1423 880 "North Bunker Catwalk"
438 1413 880 @
907 1284 592 "North Bunker MG42"
578 1276 746 "North Bunker Roof"
913 1463 746 @
638 1418 898 @
909 1272 898 @
1283 1802 898 @
588 1751 898 @
2044 2566 889 "North Corridor"
1438 2559 889 @
706 2565 889 @
-203 2560 889 @
2160 2562 888 "North Corridor Entrance"
2584 1890 597 "North East Hut"
2326 2545 893 "North East Valley"
2616 2236 589 @
691 2376 1222 "North Hilltop"
1368 2445 1210 @
1824 2461 1301 @
-1996 2347 1145 "Observatory"
-1942 2271 1159 @
-2063 2056 1020 "Observatory Cliff"
-2702 1868 965 @
-2094 2351 1245 @
-1996 2347 1249 @
-1785 2342 1249 @
-1940 2208 1155 @
-1939 2277 1249 @
-2335 2330 1247 @
-2238 2201 1192 @
-702 1442 743 "Outside Main Bunker"
-716 1769 864 @
-352 1779 871 @
-1343 1715 1067 @
-970 1780 1112 @
-334 1430 764 @
-1945 1538 911 "Overhead Line"
-1941 1356 911 @
-1942 460 915 @
-1948 55 916 @
-1941 -1253 921 @
-1940 -2334 926 @
-1957 1633 1127 @
-1948 1907 911 @
-2010 1551 563 "Radio Hut"
-639 1959 1325 "Rotating Antenna"
-1941 1355 519 "Valley"
-1942 460 420 @
-1948 55 368 @
-1941 -1253 459 @
-1940 -2334 506 @
-1864 -2411 501 @
