/////////////////////////////////////////////////////////
// Map name       -|FG|- War Zone                      //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    16-10-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1778 4480 -39 "Allied Basement"
-1 5729 -383 @
339 5729 -183 @
624 6055 -383 @
32 5130 -183 @
-649 5407 144 @
-1305 5346 182 @
-349 5665 -183 @
3 5979 -183 @
-2202 6042 -183 @
-1852 5906 -183 @
-1465 6185 -183 @
-1543 4484 -55 @
-1696 5762 163 @
-1365 5680 -183 @
-2013 5738 160 @
-1381 6753 -31 @
-1409 5344 184 "Allied Basement Vent"
-1694 5658 184 @
-2011 5651 184 @
-3921 2872 -255 "Axis Spawn"
-4282 3299 -127 "Axis Spawn Storage"
-4052 2871 -255 @
2973 3090 200 "Barricade"
-4576 496 128 "Basement"
-4576 496 -247 @
-4359 -1341 144 @
-3985 484 144 @
-3070 1258 128 @
-3315 -222 164 @
-3316 -813 448 @
-5176 -1368 -259 "Basement Dropdown"
-5033 -1382 -15 @
-2881 1272 536 "Basement Exit Corridor"
-2012 1947 536 @
-4997 6429 -251 "Basement Gate"
-4703 -1520 128 @
-3985 484 448 "Basement Spawn"
-3070 1258 484 @
-3320 -222 448 @
2121 4475 -39 "Blast Door"
-1 5729 -187 "Command Post"
1188 1330 248 "Courtyard"
1536 1638 232 @
610 490 87 @
908 776 96 @
851 -49 64 @
-1901 737 64 @
-1428 -14 64 @
-897 780 64 @
-1500 1439 80 @
-1855 1953 64 @
-1354 1751 81 @
-1160 2373 64 @
-1855 1194 64 @
-1176 1390 64 @
-1899 1492 64 @
-2395 1240 64 "Courtyard Corridors"
-2334 751 64 @
-2175 -764 96 @
1574 1307 232 "Courtyard Exit"
938 505 362 "Courtyard Office"
-1855 1953 522 "Courtyard Overlook"
-1354 1751 498 @
-2078 1901 64 "Courtyard Storage"
-2396 1690 112 @
-2396 1610 120 "Courtyard Storage Vent"
-2395 1323 120 @
-4697 7477 -183 "Detonator"
-2914 5616 -255 "Explosives"
-5407 6064 -271 "Explosives Storage Key"
-2152 -983 64 "Forward Spawn"
-6177 -198 -639 "Fraggers Tomb"
-6461 -22 -639 @
-1867 6305 -244 "Generator"
-1716 6520 -49 @
-1861 6149 -183 "Generator Protection Net"
-1633 6523 -39 "Generator Vent"
-1453 6749 -39 @
-1437 747 288 "Gun"
889 502 70 "Gun Ammo"
-1437 747 85 "Gun Bunker"
-1476 1126 320 @
-1346 2368 64 "Gun Parts"
624 6055 -183 "Health and Ammo Cabinets"
-5430 3265 -639 "Lower Fans Room"
-4969 3253 -639 @
-5089 3599 -639 @
-3090 6273 -191 "Rocket Area Barracks"
-2711 6477 -191 @
-2363 6041 -188 "Rocket Area Corridors"
-2909 5788 -239 @
-3080 6160 -191 @
-2712 6585 -191 @
-3642 7012 0 @
-3595 6559 -140 @
-4156 5865 -191 @
-5432 5707 -255 @
-4886 5495 -191 @
-3844 7489 -191 @
-5433 5796 -255 "Rocket Area Office"
-5199 6433 -255 @
-5381 6620 -207 @
-5677 6295 -255 @
-4950 6848 -191 "Rocket Room"
-3765 7011 0 @
-3872 6267 -155 @
-3867 6355 0 @
-4158 6004 -191 @
-4934 6065 -191 @
-4706 6418 -191 @
-5377 7189 -191 @
-4694 7811 -191 @
-3971 7485 -191 @
-4701 7186 -191 @
-4974 7471 -191 @
-4426 7473 -175 @
-4380 7837 -191 @
-3987 7813 -191 @
-3846 6610 0 @
-4695 7917 -215 "Rocket Room Blue Vent"
-4383 7906 -215 @
-3999 7908 -215 @
-5060 6851 -191 "Rocket Room Spawn"
-5383 6707 -191 @
-5377 7086 -191 @
-3867 6355 -151 "Rocket Room Vent"
-3695 6560 -151 @
-5176 -1368 -575 "Sewer Exit"
-5512 -1347 -575 @
-5152 -933 -571 "Sewer Exit Gate"
-4709 -1744 16 "Sewer Exit Stairs"
-4991 -2086 -191 @
-5460 -1642 -511 @
-4971 3110 -639 "Sewer Tunnels"
-5430 3140 -639 @
-6462 96 -639 @
-5981 -199 -642 @
-5141 -660 -639 @
-4904 313 -639 @
-4575 397 -607 @
-5028 2016 -639 @
-5176 1315 -639 @
-5682 -1347 -575 @
-6030 -1026 -639 @
-4935 2013 -639 "Sewer Tunnels Stairs"
-4575 397 136 "Sewer Tunnels Vent"
-4575 397 -386 @
2542 3922 232 "Side Gate"
2405 2072 232 "Train Depot Corridors"
2194 3931 232 @
4482 1669 8 "Train Depot Garage"
4446 2302 8 @
2775 3918 232 "Train Depot Loading Area"
2616 4458 72 @
2570 3526 232 @
2650 3090 232 @
2961 3442 252 @
3493 3115 200 @
4258 3363 332 @
2542 3922 487 @
4446 2302 336 "Train Depot Office"
4482 1669 352 @
4469 3358 336 "Train Depot Storage"
2574 671 232 "Train Station"
4295 1670 8 "Trainyard"
4291 2303 8 @
2983 2482 200 @
2575 2083 232 @
2587 1016 232 @
2916 667 251 @
2572 -403 232 @
3736 1957 232 @
2435 674 232 "Trainyard Access Tunnel"
1742 1327 232 @
2199 4306 320 "Trainyard Vent"
-4289 3456 -127 "Upper Fans Room"
-5089 3599 -127 @
