/////////////////////////////////////////////////////////
// Map name       Fliegerhorst 2                       //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 26                //
// Last edited    21-06-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
265 -1271 845 "^1Breakable Fence"
-181 369 864 "^1Command Post"
2602 2230 923 "^1Gas Tanks"
810 -348 864 "^1Gastank Dropoff"
-1630 -199 864 "^1Tank Barrier #1"
-691 -645 864 "^1Tank Barrier #2"
957 1926 867 "^1Town Barbed Wires"
2335 2572 867 "^1Town MG"
2599 2062 872 "^1Truck Door"
170 292 864 "^3Airfield"
-1614 161 864 @
-1844 1367 864 @
-1790 1913 864 @
-276 -43 864 @
155 -239 864 @
-136 -737 864 @
-196 201 864 @
-29 203 864 @
-343 164 864 @
-987 179 864 @
-674 164 864 @
-1150 350 853 @
-1150 1129 845 @
183 -687 864 @
226 -992 821 @
4 -1256 821 @
-1050 -1084 864 @
-1176 -411 849 @
-2053 -151 776 @
-2200 -489 802 @
-2185 -5 764 @
-2499 251 896 @
-2707 518 879 @
-2703 1109 867 @
-2289 805 903 @
-1403 1882 864 @
-968 1270 849 @
-1679 -1866 864 @
-1618 -909 864 @
-2179 -757 763 @
-2346 -878 796 @
-2233 -875 716 @
-1053 -2517 799 @
-476 -2146 880 @
-1150 -285 853 @
-2305 1181 1073 "^3Airfield Antenna Ladder"
-2305 1181 672 @
-2306 1015 1072 "^3Airfield Antenna MG"
-2290 -781 720 "^3Airfield Bunker"
-2346 -583 720 @
-2520 -489 720 @
-2395 -386 720 @
-2163 -142 720 @
-2271 -199 664 @
-2428 -180 736 @
-2515 129 896 @
-2743 -262 1128 @
-2730 -54 992 @
-2537 -325 896 @
-2449 -92 976 @
-2581 -12 720 @
-2427 329 720 @
-3075 314 896 @
-2557 -56 1128 "^3Airfield Bunker MG"
-2560 -192 1128 @
-2572 136 1120 "^3Airfield Bunker Roof"
-2820 374 1120 @
-2440 367 1120 @
-2614 -377 1120 @
-2444 -378 1120 @
-2442 -223 1120 @
-2227 -181 896 "^3Airfield Bunker Terrace"
-2239 -347 896 @
-2406 -711 896 @
-2357 -521 896 @
-2307 1056 584 "^3Airfield Bunker Tunnel"
-2413 -201 584 @
-513 1559 1206 "^3Airfield Hill"
-482 1320 945 @
-1096 -314 1256 "^3Airfield MG Tower"
-1263 -308 1256 @
-1288 -488 1256 @
-1081 -504 1256 @
-2260 1339 1203 "^3Airfield Radio Antenna"
190 431 842 "^3Airfield Road"
164 1151 867 @
472 1521 867 @
789 1527 893 @
-30 1292 874 @
-1805 -2555 871 "^3Airfield Spawn"
321 214 864 "^3Airplane Hangar"
1148 193 864 @
1135 -714 864 @
322 -688 864 @
327 -241 864 @
505 -382 864 @
804 -606 864 @
1078 -327 864 @
757 -68 864 @
1071 71 864 @
1108 -2993 1128 "^3Allied Bridge Spawn"
1362 -2737 1128 @
-1854 2500 872 "^3Axis Barracks"
-2244 2476 872 @
-2619 2107 872 @
-2870 1734 872 @
17 1856 867 "^3Axis Barracks Path"
-1353 2232 842 @
2074 -1950 1147 "^3Bridge"
2482 -1178 1149 @
2219 -1682 1199 @
2610 676 891 "^3Bridge Road"
2517 -1022 1127 @
2569 290 1108 @
2010 -2080 1122 @
1490 -2609 1119 @
2479 -530 1130 @
1710 -1849 1288 "^3Bridge Road MG"
2304 -1748 876 "^3Bridge Rope"
2306 -1745 748 @
2306 -1745 1097 @
-7 307 864 "^3Command Post Hangar"
-173 481 864 @
-409 305 864 @
-981 329 864 @
-742 393 864 @
-962 1155 864 @
-46 1122 864 @
-426 1147 900 @
-2355 -511 720 "^3Health and Ammo Cabinets"
1111 2676 1168 @
355 406 842 "^3Outside Airfield"
384 1123 867 @
1159 407 902 @
1280 219 867 @
1272 -682 863 @
1281 -902 867 @
1271 -276 865 @
1268 56 870 @
1503 417 1019 @
1836 -141 922 @
2213 -877 888 @
558 -1195 813 @
355 -937 835 @
823 -876 858 @
1137 -870 862 @
857 -1089 805 @
334 -1524 975 @
-1847 2216 867 "^3Outside Axis Barracks"
-2236 2184 867 @
-2338 2113 867 @
-2588 1825 869 @
-2827 1457 868 @
-2841 1965 870 @
-2576 2374 871 @
-2483 2440 870 @
-2048 2469 867 @
-1640 2483 865 @
1364 -1081 734 "^3River"
2045 -1164 726 @
2209 -1704 726 @
943 -1198 733 @
653 -1463 728 @
452 -1857 721 @
1143 -2914 772 @
-900 -2735 732 @
-619 -2450 722 @
-26 -2210 717 @
2413 -1773 732 @
2378 -1585 731 @
3501 -1106 676 @
937 -3226 721 @
2607 832 867 "^3Town"
2562 1765 906 @
2386 2040 867 @
2835 2038 880 @
2007 1295 880 @
1956 1705 867 @
2489 2243 867 @
2717 2272 867 @
2582 2517 867 @
2063 2580 867 @
2228 2336 867 @
1033 2223 868 @
1248 1911 872 @
1977 1999 1168 @
1920 1964 1004 @
1317 2725 1168 @
1120 2593 1168 @
896 2725 1168 @
1089 2711 868 @
1917 1154 1216 "^3Town Hills"
2019 895 1339 @
1764 893 1427 @
1149 744 1202 @
902 1207 1238 @
1730 511 1179 @
2209 398 1234 @
1949 1615 1168 "^3Town Rope Bridge"
1950 1853 1168 @
1960 1496 1168 "^3Town Spawn"
2005 1343 1168 @
1097 -3330 888 "^3Waterfall"
