/////////////////////////////////////////////////////////
// Map name       Frost Summer Edition B4              //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 26                //
// Last edited    21-06-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
762 -158 1088 "^1Command Post"
-2010 -1322 797 "^1Door Controls"
-514 524 726 "^1North Tower"
-4948 -625 752 "^1Radar Prototype"
-5218 733 516 @
-840 -1088 723 "^1South Tower"
4314 758 768 "^1Truck Barrier #2"
6862 -2114 768 "^3Allied Spawn"
6895 -1404 768 @
3740 3090 768 "^3Axis CP Spawn"
4514 3476 768 @
4673 3478 768 "^3Axis CP Spawn Corridor"
5461 2792 768 @
-5472 333 800 "^3Axis Spawn"
-5530 38 800 @
-5888 262 808 @
-5530 -146 896 "^3Axis Spawn Stairs"
1900 -175 768 "^3Bridge"
1179 -185 768 @
763 -524 768 @
748 -173 768 @
756 214 768 @
411 -148 768 @
-128 -162 768 @
-582 -160 768 @
768 122 1088 "^3Bridge Tower"
776 -400 1088 @
-921 -162 768 "^3Castle Gate"
-849 -740 768 "^3Castle Gate Switch"
-5344 329 800 "^3Castle Storage"
-4922 453 800 @
-4923 55 800 @
-4690 429 800 @
-4488 70 800 @
-5266 56 800 @
-4918 -137 880 "^3Castle Storage Stairs"
-1406 -1412 768 "^3Castle Team Door"
-1030 790 1152 "^3Castle Walls"
-1234 1101 1152 @
-1568 1100 1152 @
-1010 -1120 1152 @
-1168 -1389 1152 @
-1592 -1420 1152 @
-3377 1149 864 "^3Chapel"
-3486 596 864 @
-4316 601 864 @
-4377 1080 864 @
-3995 631 864 @
-4012 495 864 "^3Chapel Balcony"
-3496 482 864 @
-3208 496 864 @
-4478 1085 832 "^3Chapel Hallway"
-4935 564 800 @
-4940 1054 800 @
-1829 -1313 784 "^3Door Controls Room"
-2926 487 928 "^3Health and Ammo Cabinets"
-4181 28 512 "^3Inner Courtyard"
-3949 414 512 @
-3477 408 546 @
-2808 42 512 @
-3310 -443 512 @
-3596 -764 512 @
-3909 -498 512 @
-3460 -722 816 "^3Inner Courtyard Balcony"
-3928 -652 800 @
-4281 -337 800 @
-4348 57 800 @
-4314 460 864 @
-3790 -1082 912 @
-3030 -285 896 "^3Inner Courtyard Terrace"
-3226 -334 896 @
-3205 -714 896 @
-2160 531 992 "^3Library"
-2370 781 992 @
-2510 746 992 "^3Library Hallway"
-3239 1146 864 @
-2167 46 992 "^3Library Terrace"
-2165 409 992 @
-1702 374 992 @
-1898 30 992 @
-2207 -919 768 "^3Lower Castle Hallways"
-2627 -975 704 @
-3144 -449 528 @
451 1529 628 "^3North Hills"
-1028 582 768 "^3North Tower"
-753 647 768 @
-661 429 768 @
-1018 447 976 @
-959 527 1152 @
-742 516 976 @
-1148 -770 976 "^3Outer Courtyard"
-1146 -1070 976 @
-1243 -1273 992 @
-1146 -416 832 @
-1144 94 832 @
-1137 453 976 @
-1129 733 976 @
-1217 960 976 @
-1597 967 768 @
-1299 963 768 @
-1169 590 768 @
-1145 -911 768 @
-1184 -1258 768 @
-1601 -1271 768 @
-1896 -1151 784 @
-2058 -937 768 @
-1600 706 976 @
-1608 368 976 @
-2078 -511 768 @
-2038 -187 768 @
-1628 -115 768 @
-2244 -900 992 "^3Outer Courtyard Balcony"
-2224 -483 992 @
-2171 -117 992 @
-2090 -1127 1000 @
-604 132 743 "^3Outside The Castle"
-529 400 719 @
-589 762 759 @
-1266 1201 752 @
-1487 2010 761 @
-700 1610 709 @
-289 1183 757 @
-782 220 731 @
-765 -565 733 @
-468 -819 727 @
-583 -1089 711 @
-866 -1212 703 @
-1111 -1486 720 @
-1606 -1543 730 @
-512 -1576 541 @
-816 764 737 @
-1406 -1567 728 @
1945 -616 767 "^3Outside The Village"
2289 -148 775 @
1879 319 748 @
1834 1192 766 @
2978 139 768 @
2823 -248 884 @
1613 -2220 752 @
2619 -1504 884 @
2443 -1022 884 @
2496 -1677 884 @
2186 -1833 884 @
1544 1554 773 @
2454 -1002 1047 @
-4864 -589 944 "^3Radar Bunker"
-4676 -414 768 @
-4884 -450 768 @
-4500 -439 944 "^3Radar Bunker Courtyard"
-4224 -776 944 @
-3995 -764 944 @
-4752 -602 944 @
-4951 -841 944 @
-5151 -633 944 @
-4931 -304 944 @
-5532 -307 944 @
-5167 -973 1152 @
-5391 -836 944 @
-4471 -864 944 @
-4481 -958 1104 @
-4671 -313 629 "^3Radar Bunker Ladder"
-4348 34 516 "^3Radar Storage"
-4671 -180 516 @
-4447 254 516 @
-5237 312 516 @
-3894 -1068 944 "^3Radio Tower"
-4228 -882 944 @
-3980 -949 944 @
-4340 -953 1104 @
-4002 -905 1104 @
-4929 -588 1078 "^3Rotating Antenna"
2494 -2012 1080 "^3South Balcony Room"
476 -1709 611 "^3South Hills"
-1015 -769 976 "^3South Tower"
-648 -830 976 @
-1038 -901 769 @
-735 -946 768 @
-748 -715 768 @
-914 -859 1152 @
-889 -881 768 @
-1023 -719 768 @
-831 -690 976 @
-5392 -973 976 "^3South-West Tower"
-5285 -975 1152 @
62 -729 61 "^3Under The Bridge"
23 -193 138 @
339 642 83 @
1199 530 53 @
1461 -203 133 @
798 -680 88 @
816 -174 48 @
-2635 -678 992 "^3Upper Castle Barracks"
-2545 -889 992 @
-2657 -1163 992 @
-2658 -1312 992 "^3Upper Castle Corridor"
-2010 -1322 992 @
-1829 -1313 992 @
-2910 -295 944 "^3Upper Castle Hallways"
-2627 -570 992 @
-2359 -892 992 @
-5052 1055 808 "^3Vent"
-5279 905 616 @
3969 -227 928 "^3Village Catwalk"
3963 446 964 @
2995 929 964 @
2834 1134 1039 @
4029 925 964 @
5479 -1575 772 "^3Village East Building"
5117 1330 980 "^3Village East Overlook"
5398 1330 980 @
5107 924 782 "^3Village East Streets"
5653 1298 768 @
5435 -133 768 @
2995 700 775 "^3Village Entrance"
2996 929 771 @
2995 700 980 "^3Village Entrance House"
6907 -691 768 "^3Village Exit"
6887 -1210 768 @
4328 563 768 "^3Village Main Street"
2996 1133 771 @
3266 1407 768 @
3862 1321 768 @
4032 1007 768 @
4100 917 768 @
5436 -363 768 "^3Village Market Square"
6308 -985 768 @
4758 -2306 884 @
4593 -1782 768 @
3855 -1070 884 @
4143 -233 768 @
4877 -110 772 @
4326 334 768 @
5497 -1020 768 @
5840 -1584 768 @
5515 -2081 768 @
4862 -1557 768 @
6400 -1231 768 @
1807 1558 964 "^3Village North Balcony"
3019 1688 768 "^3Village North Building"
2027 1192 768 @
2995 2723 768 @
2038 1592 768 @
5030 1607 931 "^3Village North Corridors"
4465 2140 768 @
5465 2573 768 @
3731 2821 768 "^3Village North Streets"
3181 2716 768 @
3862 1968 768 @
4232 2150 768 @
4380 1655 768 @
3341 1665 768 @
2825 -1500 1060 "^3Village South Balcony"
2495 -1836 1060 @
4593 -2306 884 "^3Village Warehouses"
2816 -429 884 @
3966 -417 884 @
3860 -915 884 @
2824 -1502 886 @
2623 -1012 924 @
2827 -1270 924 @
3863 1449 772 "^3Village West Building"
3860 1859 827 @
