/////////////////////////////////////////////////////////
// Map name       Frost B3                             //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
4696 943 570 "Allied Spawn"
4378 257 588 @
4650 1376 528 @
5132 202 678 @
-2551 -1070 528 "Ammo Cabinets"
5306 -2245 581 "Are You Lost N00b?!?"
-5472 333 800 "Axis Spawn"
-5530 38 800 @
-5530 -146 896 "Axis Spawn Stairs"
1900 -175 768 "Bridge"
1179 -185 768 @
763 -524 768 @
748 -173 768 @
756 214 768 @
411 -148 768 @
-128 -162 768 @
-582 -160 768 @
768 122 1088 "Bridge Tower"
776 -400 1088 @
-921 -162 768 "Castle Gate"
-849 -740 768 "Castle Gate Switch"
-1030 790 1152 "Castle Walls"
-1234 1101 1152 @
-1568 1100 1152 @
-1010 -1120 1152 @
-1168 -1389 1152 @
-1592 -1420 1152 @
-3377 1149 864 "Chapel"
-3486 596 864 @
-4316 601 864 @
-4377 1080 864 @
-3995 631 864 @
-4012 495 864 "Chapel Balcony"
-3496 482 864 @
-3208 496 864 @
-4478 1085 832 "Chapel Hallway"
-4935 564 800 @
-880 422 768 "Command Post"
1750 -654 745 "Don't Jump Down!"
1562 341 777 @
-4181 28 512 "Inner Courtyard"
-3949 414 512 @
-3477 408 546 @
-2808 42 512 @
-3310 -443 512 @
-3596 -764 512 @
-3909 -498 512 @
-3460 -722 816 "Inner Courtyard Balcony"
-3928 -652 800 @
-4281 -337 800 @
-4348 57 800 @
-4314 460 864 @
-3790 -1082 912 @
-3026 303 928 "Inner Courtyard MG42"
-3030 -285 896 "Inner Courtyard Terrace"
-3226 -334 896 @
-3205 -714 896 @
-2160 531 992 "Library"
-2370 781 992 @
-2510 746 992 "Library Hallway"
-3239 1146 864 @
-2167 46 992 "Library Terrace"
-2165 409 992 @
-1702 374 992 @
-1898 30 992 @
-2207 -919 768 "Lower Castle Hallways"
-2627 -975 704 @
-2691 -1093 528 @
-3144 -449 528 @
2752 962 1077 "North Hills"
3135 802 1134 @
3752 1151 1065 @
4129 1107 918 @
3760 587 1033 @
1596 885 715 @
2101 503 865 @
4409 1616 512 "North Path To Castle"
4990 1799 423 @
3388 1736 586 @
2292 1517 666 @
1138 1651 717 @
778 1306 783 @
24 1655 838 @
-1028 582 768 "North Tower"
-753 647 768 @
-661 429 768 @
-1018 447 976 @
-816 441 976 @
-959 527 1152 @
-816 764 737 "North Tower Wall"
-1882 2043 736 "Nothing To See Here!"
-1148 -770 976 "Outer Courtyard"
-1146 -1070 976 @
-1243 -1273 992 @
-1146 -416 832 @
-1144 94 832 @
-1137 453 976 @
-1129 733 976 @
-1217 960 976 @
-1597 967 768 @
-1299 963 768 @
-1169 590 768 @
-1145 -911 768 @
-1184 -1258 768 @
-1601 -1271 768 @
-1896 -1151 784 @
-2058 -937 768 @
-1600 706 976 @
-1608 368 976 @
-2078 -511 768 @
-2038 -187 768 @
-1628 -115 768 @
-2244 -900 992 "Outer Courtyard Balcony"
-2224 -483 992 @
-2171 -117 992 @
-2090 -1127 1000 "Outer Courtyard MG42"
-604 132 743 "Outside The Castle"
-529 400 719 @
-589 762 759 @
-828 952 760 @
-1266 1201 752 @
-1487 2010 761 @
-700 1610 709 @
-289 1183 757 @
-782 220 731 @
-765 -565 733 @
-468 -819 727 @
-583 -1089 711 @
-866 -1212 703 @
-1111 -1486 720 @
-1606 -1543 730 @
-512 -1576 541 @
-4864 -589 944 "Radar Bunker"
-4676 -414 768 @
-4500 -439 944 "Radar Bunker Courtyard"
-4224 -776 944 @
-3995 -764 944 @
-4752 -602 944 @
-4951 -841 944 @
-5151 -633 944 @
-4931 -304 944 @
-5532 -307 944 @
-4671 -313 629 "Radar Bunker Ladder"
-4705 264 496 "Radar Prototype"
-4348 34 516 "Radar Storage"
-4671 -180 516 @
-4729 4 516 @
-4447 254 516 @
-3894 -1068 944 "Radio Tower"
-4228 -882 944 @
-3980 -949 944 @
2366 -148 775 "Road To Bridge"
3009 -148 785 @
3676 -148 783 @
4330 -148 776 @
-4929 -588 1078 "Rotating Antenna"
1329 -1179 917 "South Hills"
1993 -1181 975 @
2466 -1117 985 @
3119 -990 985 @
3801 -1102 999 @
3801 -1481 928 @
2217 -830 841 @
4467 -766 537 "South Path To Castle"
4325 -1847 523 @
3469 -2182 612 @
2516 -1753 691 @
1358 -2161 596 @
479 -1853 661 @
-49 -1333 460 @
-1015 -769 976 "South Tower"
-648 -830 976 @
-1038 -901 769 @
-735 -946 768 @
-748 -715 768 @
-914 -859 1152 @
-889 -881 768 @
-1023 -719 768 @
-840 -1088 723 "South Tower Wall"
-4923 55 800 "Storage"
-5344 329 800 @
-5266 56 800 @
-4922 453 800 @
-4488 70 800 @
-4918 -137 880 "Storage Stairs"
4598 -162 768 "Truck Escape"
62 -729 61 "Under The Bridge"
23 -193 138 @
339 642 83 @
1199 530 53 @
1461 -203 133 @
798 -680 88 @
816 -174 48 @
-2635 -678 992 "Upper Castle Barracks"
-2545 -889 992 @
-2910 -295 944 "Upper Castle Hallways"
-2627 -570 992 @
-2359 -892 992 @
-813 -173 1192 "What Am I Doing Here?"
