/////////////////////////////////////////////////////////
// Map name       Frost Competition Edition B6         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    15-10-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-862 454 768 "^1Command Post"
-2010 -1322 797 "^1Door Controls"
-514 524 726 "^1North Tower Wall"
-4948 -625 752 "^1Radar Prototype"
-5218 733 516 @
-840 -1088 723 "^1South Tower Wall"
3408 -1100 948 "^3Allied Spawn #1"
3135 802 1134 "^3Allied Spawn #2"
-2551 -1070 528 "^3Ammo Cabinets"
5306 -2245 581 "^3Are You Lost N00b?!?"
-4922 453 800 "^3Axis Spawn"
-4923 55 800 @
-5266 56 800 @
-5344 329 800 @
-4918 -137 880 "^3Axis Spawn Stairs"
-5285 -975 1152 "^3Axis Tower Spawn"
-5392 -973 976 @
1900 -175 768 "^3Bridge"
1179 -185 768 @
763 -524 768 @
748 -173 768 @
756 214 768 @
411 -148 768 @
-128 -162 768 @
-582 -160 768 @
768 122 1088 "^3Bridge Tower"
776 -400 1088 @
-5472 333 800 "^3Castle Backyard"
-5530 38 800 @
-5888 262 808 @
-5530 -146 896 "^3Castle Backyard Stairs"
-921 -162 768 "^3Castle Gate"
-849 -740 768 "^3Castle Gate Switch"
-1406 -1412 768 "^3Castle Team Door"
-1030 790 1152 "^3Castle Walls"
-1234 1101 1152 @
-1568 1100 1152 @
-1010 -1120 1152 @
-1168 -1389 1152 @
-1592 -1420 1152 @
-3377 1149 864 "^3Chapel"
-3486 596 864 @
-4316 601 864 @
-4377 1080 864 @
-3995 631 864 @
-4012 495 864 "^3Chapel Balcony"
-3496 482 864 @
-3208 496 864 @
-4478 1085 832 "^3Chapel Hallway"
-4935 564 800 @
1750 -654 745 "^3Don't Jump Down!"
1562 341 777 @
-1829 -1313 784 "^3Door Controls Room"
-4181 28 512 "^3Inner Courtyard"
-3949 414 512 @
-3477 408 546 @
-2808 42 512 @
-3310 -443 512 @
-3596 -764 512 @
-3909 -498 512 @
-3460 -722 816 "^3Inner Courtyard Balcony"
-3928 -652 800 @
-4281 -337 800 @
-4348 57 800 @
-4314 460 864 @
-3790 -1082 912 @
-3030 -285 896 "^3Inner Courtyard Terrace"
-3226 -334 896 @
-3205 -714 896 @
-3026 303 928 "^3Inner Courtyard Tower"
-2160 531 992 "^3Library"
-2370 781 992 @
-2510 746 992 "^3Library Hallway"
-3239 1146 864 @
-2167 46 992 "^3Library Terrace"
