/////////////////////////////////////////////////////////
// Map name       Frosty                               //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    10-08-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1755 1203 172 "Allied Attack Path"
1323 743 64 @
408 2543 64 @
1713 2142 64 @
316 1407 64 @
-2350 -2358 252 "Axis Spawn"
-2156 -3102 252 @
-1311 -3105 62 @
-2351 -2364 62 @
-2007 -3058 62 @
-2140 -2368 252 @
-745 -3167 66 "Barracks"
317 -2415 66 @
-113 -3135 66 @
-69 -2740 66 @
-1264 -1881 64 "Base Courtyard"
-1718 -1875 64 @
-2312 -1710 79 @
-2346 -2226 64 @
-2000 -2362 64 @
-1301 -2706 64 @
-1194 -3105 64 @
-886 -3161 64 @
-765 -2751 64 @
-686 -2112 64 @
-1140 -2108 64 @
-584 -1878 64 @
-12 -1762 64 @
313 -2291 64 @
276 -1507 64 @
1012 -1372 64 @
1363 -1982 64 @
1108 -2684 64 @
1293 -2426 64 @
480 -2428 64 @
484 -2671 64 @
-234 -2766 64 @
-2016 -3094 252 "Base Roofs"
-1283 -2805 252 @
-2352 -2233 252 @
-2346 -1682 252 @
-231 -1490 252 @
-1401 -1538 252 @
-1130 -1992 252 @
-712 -1983 252 @
-11 -1733 252 @
-142 -3219 252 @
1108 -2674 252 @
-775 -3118 252 @
358 -2393 252 @
487 -2633 252 @
-156 -2758 252 @
-246 -2858 252 @
-779 -2861 309 @
-1281 -3109 252 @
-615 -1480 252 @
-2127 -2220 252 @
1277 -2678 252 "CP Bunker"
1749 -2607 252 @
169 -2961 242 "Code Book"
20 -3224 252 @
1595 -3363 252 "Command Post"
2122 -1578 60 "Flag"
2129 -1587 252 "Front Bunker"
2365 -1300 252 @
1747 -1995 60 @
1259 -2679 60 @
1754 -1821 252 @
1931 -1333 252 @
2352 -1212 64 "Front Bunker Door"
1754 -1929 252 "Front Bunker Roofs"
1746 -2482 252 @
992 -1194 252 @
1922 -1177 252 @
1880 -663 252 @
1023 -649 252 @
-429 1364 64 "Fuel Depot"
-1070 1640 64 @
235 2555 65 @
163 1411 64 @
-1777 1680 64 @
-2213 1670 64 @
-2225 2121 64 @
-1498 2560 64 @
-1151 2251 64 @
-1972 1355 64 @
-1040 1402 64 @
-1620 1678 252 "Fuel Depot Bunker"
-1204 1643 68 @
-1231 1358 68 @
1718 -691 60 "Garage"
1201 -679 61 @
-45 -724 60 @
74 -1194 60 @
-1720 -1535 64 "Gate"
-2352 -1545 252 "Gate Bunker"
-2261 -1101 252 @
1662 511 252 "Guard Tower Bunker"
1438 755 252 @
1747 944 252 @
520 -714 276 "Health & Ammo"
844 -1192 276 "Office"
-6 -1599 276 @
-75 -1490 276 @
-89 -711 276 @
511 -1005 276 @
1875 -548 64 "Outside Axis Base"
1999 -1134 64 @
1024 -562 64 @
-45 -552 64 @
-269 -1022 64 @
-1374 -1025 64 @
-766 -981 64 @
-2252 -964 64 @
-417 1210 64 @
1663 405 64 @
1241 230 64 @
168 1003 64 @
-1231 1234 64 @
-1974 1179 64 @
-1042 1227 64 @
-2268 2598 252 "Transmitter"
-2207 2265 252 @
-2209 2092 252 "Transmitter Catwalk"
-2213 1676 252 @
-1777 1680 252 @
2145 2645 64 "Trucks"
126 -1510 60 "Warehouse"
-247 -1512 60 @
-720 -1887 60 @
-1142 -1875 60 @
-1382 -1473 60 @
-619 -1463 60 @
