/////////////////////////////////////////////////////////
// Map name       FUN Beach Final                      //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 27                //
// Last edited    29-08-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3305 -1633 1102 "^1Assault Ramp"
3364 -1578 1272 @
2927 703 1208 "^1Command Post"
81 3017 768 "^1Front Bunker Door"
3325 298 576 "^1Generator Protection Net"
3678 256 576 @
178 -3079 768 "^1Lower Bunker Door"
2370 2416 1123 "^1Main Base Wall Breach"
6683 -226 384 "^1Metal Staircase"
7585 4285 1384 "^1Radar Base MG Nest"
6321 3854 1296 "^1Radar Equipment"
6111 831 384 "^1Staircase Access Doors"
6896 316 1112 "^1Staircase MG Nest"
3345 494 536 "^1Ventilation Generator"
3621 655 672 @
3661 457 515 @
-3433 -1450 184 "^2Allied Side"
-4188 -1459 200 @
4480 -2016 728 "^2Basement Spawn"
6517 1648 1248 "^2Battery Spawn"
6842 1685 1248 @
1853 -63 1112 "^2Beach Bunker Spawn"
2114 -401 1112 @
1527 -290 1112 @
2932 1012 1208 "^2Main Base Spawn"
2665 1045 1208 @
2667 670 1208 @
2538 827 1208 @
3083 802 1208 @
2784 840 1208 @
9149 4000 1424 "^2Radar Base Spawn"
9160 4000 1296 @
4405 69 384 "^2Ventilation Access Spawn"
-3567 1589 184 "^3Allied Boat"
-4233 1579 184 @
5250 891 384 "^3Ammo Cabinets"
4108 -870 728 "^3Basement"
4603 -573 728 @
4615 -1181 728 @
4609 -453 728 "^3Basement Storage"
4130 -356 728 @
4137 316 728 @
4363 161 944 @
4230 -261 936 @
7270 1673 1232 "^3Battery Corridors"
7288 1313 1232 @
7504 898 1232 @
7864 53 1216 @
7631 198 1216 @
7000 1198 1232 @
6695 940 1232 @
7335 921 905 "^3Battery Ladder"
7446 198 1216 "^3Battery Office"
7622 -231 1216 @
7578 -354 1015 "^3Battery Office Ladder"
7609 -371 512 @
444 -2444 721 "^3Beach"
1140 -1177 709 @
1233 -311 594 @
1170 549 570 @
992 1070 598 @
476 2128 563 @
113 2768 622 @
-88 3013 658 @
-268 3238 618 @
-2693 2427 212 @
-2184 -1033 196 @
-2381 -1604 190 @
-2684 -2162 211 @
-2971 -2775 236 @
-3108 3025 318 @
199 -2825 734 @
-120 -3004 771 @
496 2577 625 @
630 1656 585 @
1425 1025 1011 @
-1853 792 208 @
-2034 1515 202 @
-2310 2058 212 @
-1996 71 204 @
-2084 -442 197 @
1159 -1470 946 @
1905 755 1112 "^3Beach Bunker"
1547 991 1112 @
1838 1223 1008 @
2021 1220 800 @
1856 55 1128 "^3Beach Bunker Trenches"
2287 -389 1072 @
2282 -617 1064 @
2390 90 1048 @
1928 323 1048 @
1900 656 1112 @
2098 883 1112 "^3Beach Bunkers"
222 3833 800 "^3Bunker Service Corridor"
1457 3838 800 @
1990 3154 800 @
2006 1376 800 @
2021 2048 800 @
893 2490 1012 "^3Bunker Yard"
930 2826 1015 @
789 3261 970 @
1218 1942 1076 @
2392 2805 1105 @
2076 2421 1061 @
2384 1992 1157 @
2230 880 1104 @
1887 1348 1058 @
1514 1480 1069 @
2436 857 1092 @
2623 1193 1165 @
2664 534 1208 @
2313 -838 1089 @
2704 -542 1087 @
2697 168 1104 @
2372 374 1120 @
3230 -1172 1064 @
1945 -646 1086 @
1594 -641 1120 @
1320 -1109 1120 @
1605 -1571 1120 @
2429 -2601 1176 @
2112 -2593 1176 @
1834 -2039 1101 @
3078 -2551 1176 @
2930 -1502 1077 @
3266 -1936 1115 @
3286 -821 1063 @
3053 -194 1095 @
2419 1591 1117 @
1168 2300 1082 @
1387 2614 1096 @
1266 -1464 1120 @
1052 2658 1078 "^3Bunker Yard MG Nest"
8025 43 1204 "^3Elevator Shaft"
8051 56 512 @
-67 3125 768 "^3Front Bunker"
-169 3258 768 @
109 3833 768 @
103 3219 768 @
-141 3275 912 "^3Front Bunker Roof"
-74 3132 912 @
109 3140 912 @
56 3242 912 @
209 2992 954 "^3Front Bunker Walls"
362 2816 950 @
632 2679 988 @
884 2655 1036 @
272 3199 800 "^3Front Bunker Yard"
319 2977 800 @
568 2819 800 @
3142 293 576 "^3Generator Bunker"
3210 974 576 @
2872 803 576 @
3229 398 576 @
3751 59 576 @
3989 -879 728 @
3487 -347 800 @
3481 -1003 800 @
3809 -1058 728 @
3357 43 576 @
2714 1832 1208 "^3Health Cabinets"
1825 -2913 768 "^3Health and Ammo Cabinets"
7596 4316 1232 @
7104 909 512 "^3Large Generators"
7813 68 512 @
7622 -230 512 @
7294 -123 512 @
7117 138 728 @
7662 880 512 @
340 -2851 768 "^3Lower Bunker"
457 -2602 768 @
1156 -3160 768 @
1077 -2876 768 @
1301 -3153 768 "^3Lower Bunker Barracks"
1363 -2877 768 @
1674 -2912 768 @
1849 -3136 768 @
1368 -2371 768 "^3Lower Bunker Hallway"
1369 -2748 768 @
1585 -1567 880 "^3Lower Bunker Ramp"
1984 -2985 768 "^3Lower Bunker Stairwell"
1960 -3175 824 @
2173 -2936 1176 @
1559 -1933 768 "^3Lower Bunker Storage"
1367 -2250 768 @
3605 2075 872 "^3Lower Main Base"
3507 1709 728 @
3998 898 728 @
3785 967 728 @
3995 785 728 "^3Lower Main Base Corridor"
4002 326 728 @
4005 -347 728 @
2532 2824 1184 "^3Main Base"
2855 2428 1173 @
2737 1982 1180 @
2547 1996 1184 @
2858 1838 1176 @
2596 1626 1208 @
2934 1149 1193 @
3453 1759 1264 @
3589 2255 1280 @
3413 2446 1280 @
3602 2424 1280 "^3Main Base Stairwell"
3788 2432 872 @
-3492 1091 69 "^3Ocean"
-3828 2878 109 @
-3434 -1126 112 @
-3465 -1800 112 @
-3433 -1450 73 @
-4188 -1459 88 @
-4178 -1158 110 @
-4200 -1782 110 @
-4437 -1431 109 @
-2829 -2119 136 @
-3261 -2624 123 @
-2524 -1591 124 @
-2372 -1034 140 @
-2211 45 136 @
-2155 798 124 @
-3567 1589 71 @
-4236 1579 79 @
-4833 1590 119 @
-2393 1479 122 @
-2598 1977 121 @
-2947 2302 119 @
-2277 -418 133 @
6307 3492 1248 "^3Radar Base"
6065 3814 1296 @
6284 4027 1296 @
6584 3844 1296 @
7585 4118 1232 @
7461 4245 1232 @
7574 4518 1286 @
7854 4294 1286 @
8560 1180 1288 @
7266 1816 1242 @
7491 1615 1277 @
6381 1662 1280 @
5323 2188 1224 @
6788 1985 1249 @
8414 3974 1421 @
8239 76 1216 "^3Radar Base Corridor"
8571 1030 1270 @
3376 -1997 1272 "^3South Bunker"
3486 -1597 1272 @
3361 -1189 1272 @
3867 -1317 1282 @
6690 367 1112 "^3Staircase"
6684 755 1232 @
6248 719 872 @
6704 291 632 @
6287 829 384 @
6201 322 384 @
6812 -471 384 "^3Truck Garage"
6172 -61 384 @
5961 -596 384 @
6413 -585 384 @
6248 -461 384 @
5949 -428 384 "^3Truck Garage Office"
5797 -68 384 @
6092 -104 384 @
2194 -2786 1176 "^3Upper Bunker"
2436 -2787 1176 @
3067 -2711 1176 @
3827 68 384 "^3Ventilation Access"
5027 882 384 @
5253 703 384 @
5478 862 384 @
5753 827 384 @
5615 -57 384 @
3357 43 384 @
4714 371 384 @
2656 988 1024 "^3Ventilation Shaft"
2766 800 632 @
6699 455 1464 @
7006 477 1464 @
7008 898 1464 @
7009 1178 1328 @
3876 -1437 1280 @
3873 -1566 1080 @
3864 -941 944 @
3995 -1028 1056 @
3971 -415 1056 @
3493 -356 1056 @
4214 -168 928 @
4263 158 928 @
3679 290 928 @
3817 673 744 @
2928 290 928 @
