/////////////////////////////////////////////////////////
// Map name       Glider 3                             //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
5789 11454 80 "Allied Command Post"
8783 10698 148 "Assault Ramp"
9051 10699 100 @
1711 1409 -303 "Axis Command Post"
3238 5272 -271 "Central Hills"
4574 5645 -26 @
5862 5299 123 @
5962 4479 -339 @
7733 4619 344 @
8267 4403 -10 @
8678 3333 -51 @
8939 2830 428 @
9423 3458 -369 @
6744 4120 100 @
8598 5261 -347 @
5538 3339 -260 @
8823 9422 -735 "Compound"
8678 9030 -735 @
8663 9795 -712 @
9099 9265 -735 @
9560 9006 -735 @
8073 9020 -735 @
7987 9689 -735 @
9873 10581 -735 @
9486 9943 -735 @
9467 10866 -693 @
9086 10598 -632 @
10225 10190 -471 @
10556 9935 -471 @
9030 11607 -362 @
10046 9893 -703 @
10208 9617 -735 @
10837 9008 -673 @
7264 6595 -665 "East Lake Area"
8375 6155 -737 @
8610 7205 -667 @
7296 5983 -741 @
10338 7237 -287 "East Hills"
11410 8031 -9 @
10129 6166 -120 @
1855 3389 587 "Flying With Glider"
1856 5359 614 @
1870 7475 614 @
1927 10497 614 @
5180 11230 575 @
5790 11231 520 @
4248 11070 467 @
2909 10828 603 @
2006 8939 463 @
1841 2867 412 @
1844 2350 316 @
1868 4547 603 @
6474 11173 594 @
7022 11200 522 @
9474 10581 -735 "Generator"
9474 10581 -487 "Generator Roof"
9429 10658 40 "Generator Tower"
1225 993 216 "Glider Crates"
8148 11701 366 "Glider Landing Spot"
9542 4661 -559 "Guardpost"
9632 4203 -783 @
9327 4642 -559 @
9542 4661 -415 "Guardpost MG42"
2335 3723 -751 "Hopper Pump"
2335 3723 -575 "Hopper Pump Roof"
5986 6718 -735 "Island"
5986 6718 -367 @
6016 7814 -835 "Lake"
5744 9274 -862 @
7883 8438 -854 @
8589 7948 -846 @
4103 9559 -842 @
4742 9430 -842 @
4224 7716 -844 @
3314 8761 -858 @
3354 7734 -840 @
7251 7324 -868 @
4402 8603 -565 "Lake Island"
4036 8721 -479 "Lake Island MG42"
1935 10483 -563 "North Lake Area"
4248 11070 -563 @
2908 10829 -623 @
1711 1409 -47 "Outpost"
1720 1650 -47 @
1469 1392 -303 @
1725 1155 -303 @
1926 1420 -303 @
1914 1655 -303 @
1225 993 -39 @
1225 993 528 @
1208 1288 528 @
1208 1288 -47 @
1524 1304 208 @
1447 996 208 @
1250 722 208 @
2248 1460 -103 @
2060 1809 -303 @
1189 1418 -47 @
1720 1650 -303 "Outpost MG42"
1208 1288 208 "Outpost Radio"
9552 8885 -755 "Outside Compound"
8696 8874 -771 @
8085 8870 -784 @
7677 9006 -752 @
7852 9683 -725 @
9119 8607 -796 @
10822 8862 -638 @
10999 9028 -552 @
3343 1803 -576 "Outside Outpost"
4285 696 -1 @
2254 1450 -562 @
2060 1809 -550 @
1691 1836 -532 @
1189 1418 -582 @
1817 2426 -644 @
1830 3380 -604 "Outside Tram Station"
2343 4067 -742 @
2866 3713 -748 @
2331 3394 -687 @
4806 3361 -36 "Parachute Landing"
2980 2639 -759 "Photo Spot"
10220 9917 -471 "Rocket Launcher"
5172 11234 227 "Ruins"
5791 11190 116 @
5794 11700 80 @
5566 11457 80 @
5959 11462 94 @
8576 10695 180 "Ruins Hill"
8124 11151 250 @
7597 11646 271 @
6410 11213 135 @
7022 11200 283 @
9107 8993 -735 "Tank Barrier #1"
5273 1680 -748 "Tank Barrier #2"
8929 1694 -750 "Tank Escape Route"
10411 2187 -765 @
10351 3521 -648 @
5823 1667 -819 @
4595 1909 -758 @
3526 2464 -758 @
8695 9422 -735 "Tank Garage"
8672 9170 -735 @
8097 9430 -744 @
8695 9422 -407 "Tank Garage Roof"
8672 9170 -423 @
8097 9430 -407 @
1845 3374 -293 "Tram Cart"
1817 2426 22 @
1997 3722 -575 "Tram Station"
1997 4089 -575 @
1997 3722 -294 "Tram Station Roof"
1997 4089 -287 @
1824 2902 -379 "Tram Support"
1821 2855 240 @
9113 7968 -732 "Truck Escape Route"
9197 7157 -623 @
9126 6168 -488 @
9566 5234 -536 @
10068 4561 -747 @
9862 4201 -742 @
7127 1872 -781 "Trucks Convoy"
8056 1809 -749 @
4104 4550 -748 "Valley"
4526 4159 -718 @
3651 4196 -802 @
4091 3852 -657 @
4095 4177 -731 "Valley Bunker"
4095 4177 -559 "Valley Bunker Roof"
1879 7466 -631 "West Lake Area"
2006 8939 -694 @
3413 6867 -698 @
4286 7053 -678 @
1732 5367 -374 "West Hills"
918 3913 -36 @
2466 5028 228 @
1500 4431 -79 @
