/////////////////////////////////////////////////////////
// Map name       golddays v3                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1271 1995 242 "Allied Base"
-887 2010 242 @
-421 2020 242 @
-1140 1566 249 @
-1139 1789 242 @
-703 1567 242 @
-410 1599 242 @
-149 1623 202 @
174 1552 202 @
158 2001 202 @
68 2041 -53 @
-1123 1573 54 @
-1147 1825 54 @
-1657 2232 -182 "Allied Base Cellars"
-1449 2442 -155 @
-1794 2756 -162 @
-1816 2386 -155 @
1111 2400 -153 "Allied Base Courtyard"
1090 2718 -150 @
1103 3117 -156 @
662 3094 -162 @
570 2960 -149 @
308 2942 -126 @
792 2308 -144 @
780 1883 -130 @
293 1954 -62 @
70 2150 -53 @
-171 1765 -165 @
-354 1777 -165 @
-422 2144 -99 @
-745 2151 4 @
-756 2312 4 @
-834 2390 4 @
-999 2396 4 @
-931 2729 4 @
-691 2822 4 @
-702 3263 4 @
201 3272 -19 @
218 3026 -33 @
-967 1546 -182 "Allied Base Red Tunnel"
-937 1834 -182 @
-1004 2207 -182 @
-1837 1873 610 "Allied Base Roofs"
-1280 1875 618 @
-1098 1644 570 @
-769 1505 602 @
-395 1505 442 @
-152 1504 500 @
217 1503 506 @
197 2061 506 @
-97 2039 506 @
-387 2082 442 @
-778 2111 442 @
-803 2166 242 @
-835 2328 242 @
-1026 2640 234 @
-1032 2414 234 @
-786 2827 234 @
-766 3287 234 @
-1267 2818 234 @
-1806 2816 234 @
-1508 3096 247 @
-1316 2742 442 @
-1810 2743 442 @
-1815 2235 442 @
-1284 2229 442 @
-1558 2187 602 @
-381 1773 442 @
-735 1781 442 @
-1015 2111 442 @
-1498 2512 415 @
-678 1551 -157 "Allied Basement"
-469 1842 -45 @
-662 2024 71 @
-430 1588 71 @
-861 2087 4 @
-886 2307 4 @
-1033 2304 4 @
-1124 2408 4 @
-1113 2763 4 @
-835 2891 4 @
-846 3232 4 @
-1495 3047 4 @
-1833 3035 4 @
-1364 2626 4 @
-1139 1988 4 @
-1807 2413 4 @
-1489 2472 4 @
-1484 2938 4 @
-1795 2826 4 @
-1683 2675 4 @
-461 1739 -125 @
-394 1596 -157 "Allied Basement Access"
-1414 2114 1 "Allied Basement Barrier"
1373 2434 -149 "Allied Garage"
1648 2397 -149 @
1650 2850 -149 @
1651 3143 -149 @
1202 3147 -149 @
1208 2785 -149 @
1215 2407 -149 @
1186 2393 124 "Allied Garage Roof"
1184 2750 124 @
1192 3147 124 @
1663 3141 124 @
1663 2677 124 @
1659 2430 124 @
1649 1858 124 @
881 1849 124 @
890 2319 124 @
1400 2118 124 @
-1827 2116 4 "Allied Gold"
1261 1966 124 "Allied MG"
-1283 2130 242 "Allied Spawn Barracks"
-1266 2727 242 @
-1800 2724 242 @
-1781 2117 242 @
-1493 2511 242 @
306 3258 -3 "Allied Supply Station"
560 3044 -3 @
290 3036 -3 @
-1269 2202 -182 "Allied Wall"
-1631 -525 -162 "Axis Gold Storage"
1329 -135 63 "Command Post"
-1185 -1933 20 "Fields"
-931 -2085 -10 @
-529 -2086 -23 @
-37 -2058 -51 @
302 -2330 -8 @
666 -2110 170 @
607 -1796 125 @
372 -1482 -32 @
480 -1035 -68 @
112 -957 -81 @
-165 -1127 -9 @
-228 -1569 -18 @
-575 -1678 4 @
-988 -1651 63 @
-1544 691 51 "Forest"
-1410 308 71 @
-1065 186 30 @
-933 -11 12 @
-1274 -46 84 @
-1618 -32 160 @
-487 -168 -42 @
-435 -527 -8 @
-269 -371 55 @
-90 -543 54 @
67 -309 44 @
278 -211 55 @
549 84 130 @
799 312 187 @
1190 496 110 @
1624 625 125 @
1345 180 45 @
1583 79 77 @
1567 -212 72 @
1622 -502 71 @
1629 -810 99 @
1610 -1086 127 @
1524 -1528 111 @
1028 -1771 10 @
635 -1665 54 @
740 -1259 -15 @
595 -714 12 @
251 -633 83 @
-286 -864 -11 @
-449 -1353 43 @
-795 -1363 11 @
-1454 -1673 -57 @
-1523 -820 -133 @
-1231 -936 -101 @
1025 -69 63 @
1085 -383 118 @
-94 -315 70 "Forward Bunker"
-818 -523 -175 "Getaway Trucks"
-1243 -518 -138 @
-1852 -422 -175 @
-1792 -626 -175 @
553 3265 -3 "Health and Ammo Cabinets"
1317 48 63 @
-1342 1515 44 "Ladder"
-1259 1635 190 @
-1259 1635 451 @
-1259 1635 558 @
453 -2743 -70 "Lake"
216 -2545 -67 @
-79 -2259 -73 @
-544 -2291 -71 @
-986 -2287 -64 @
-1373 -2000 -69 @
-1261 1839 50 "Outside Allied Base"
-1648 1856 29 @
-1591 1591 32 @
-1295 1326 47 @
-1107 1435 50 @
-761 1422 34 @
-287 1447 -67 @
181 1415 -9 @
301 1652 6 @
777 1655 -119 @
947 1782 -123 @
1625 1771 -116 @
1173 1456 -96 @
1198 1049 -34 @
1214 840 25 @
1615 924 43 @
650 783 12 @
409 354 44 @
178 15 16 @
-83 -137 52 @
-414 130 -19 @
-647 163 -78 @
-963 448 38 @
-1243 818 53 @
640 -2883 4 "South East Hut"
1028 -2875 76 @
1119 -2653 49 @
1525 -2437 151 @
1007 -2363 36 @
627 -2471 0 @
1350 -2873 130 "Tower"
1560 -2885 704 @
1146 -766 41 "Water Pump"
1258 1076 -379 "Water Tunnel"
1369 2406 -418 @
1359 -395 -376 @
1346 -43 -376 @
1318 376 -376 @
1311 715 -376 @
1327 1355 -396 @
1352 1738 -418 @
1366 2091 -418 @
1158 1073 -380 @
-546 1083 -380 @
-811 1831 -380 @
-831 1832 -182 @
890 1077 -380 @
516 1079 -380 @
153 1080 -380 @
-242 1083 -380 @
-540 1399 -380 @
-550 1824 -380 @
1360 -407 59 "Well"
1360 -407 -220 @
