/////////////////////////////////////////////////////////
// Map name       Grave Robbery Beta1                  //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    12-05-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1702 -12 348 "Allied Base"
-2212 989 128 "Allied Sneak Pad"
-347 2982 -71 "Allied Sneak Pad Exit"
723 4109 -2147 "Ank"
4013 2218 -2111 "Axis Base"
4075 3010 -2111 @
3836 2833 -1887 "Axis Base Corridor"
3914 2214 -1887 @
4060 5083 -1983 "Axis Sneak Pad"
-3149 4836 54 "Axis Sneak Pad Exit"
-942 422 152 "Broken Stairs Overlook"
-1052 876 152 @
-855 429 -103 "Broken Stairs Path"
-737 935 152 @
880 722 -455 @
-1 1329 -15 "Command Post"
4073 3183 -2111 "East Hallway"
4033 4065 -2303 @
4257 5084 -2063 @
3817 5094 -1983 @
3997 5485 -1983 @
-3370 36 344 "Escape"
155 2904 -2175 "Escape Ladder"
91 2878 -984 @
-2766 1 350 "Escape Truck"
-2965 188 344 "Escape Truck MG42"
-400 3306 -527 "Forward Spawn"
-193 3567 -543 @
-428 3672 -141 @
-346 4534 -543 @
-1440 5285 -543 "Forward Spawn Corridors"
-974 5957 -566 @
-351 4738 -543 @
-635 3671 -127 "Forward Spawn Ladders"
-775 4025 188 @
2631 2206 -1895 "Grate"
3292 5761 -1695 "Health and Ammo Cabinets"
448 3192 -2175 "Lower Ladder Room"
-173 2962 -2156 @
676 3201 -2224 "Main Tomb Hall"
3218 3097 -1929 @
2597 3106 -2005 @
3415 3214 -1983 @
3792 4068 -2303 @
3640 5096 -2107 @
3164 5185 -2261 @
2137 5158 -1965 @
966 4106 -2143 @
733 5079 -2303 @
3308 6430 -2079 "North Stairs"
2172 6165 -1695 @
1188 6431 -1311 @
152 6436 -927 @
-992 6166 -543 @
-1058 1438 189 "Obelisk"
2020 2567 -979 "Pump Room"
2297 2207 -1888 @
2591 2541 -1891 @
738 2774 -927 "Pump Room Corridor"
1895 2571 -967 @
218 2360 -668 "Reservoir"
8 1496 -703 @
739 2436 -455 @
209 2509 -639 "Reservoir Entrance"
2949 2185 -1911 "Sewers"
2814 2549 -1911 @
3254 2882 -1911 @
3412 2881 -1887 "Sewers Exit"
896 1106 -455 "Side Gate"
925 1380 -455 "Side Gate Hallways"
1436 1995 -463 @
1446 2562 -128 @
572 2973 -71 @
426 1392 -63 @
1446 2562 -463 "Side Gate Switch"
3308 6022 -2079 "Stairs Corridors"
3142 5411 -2191 @
3986 5618 -1983 @
2097 5473 -1695 "Supplies Room"
3084 5759 -1695 @
3220 5351 -1695 @
2174 5922 -1695 @
2948 5903 -1695 @
2953 5982 -1928 "Supplies Room Ladder"
163 2996 -71 "Swinging Bridge"
-1928 2245 192 "Tomb Entrance"
-2282 -33 310 "Tomb Entrance Courtyard"
-2859 312 280 @
-2717 213 256 @
-2218 849 128 @
-2066 987 128 @
-2224 1133 128 @
-2376 982 128 @
-2858 2029 -15 @
-1920 1867 192 @
-1511 1461 160 @
-1260 874 184 @
-1698 465 316 @
-3208 398 344 @
-1921 2761 240 "Tomb Entrance Hall"
-1234 4277 104 @
-1905 4387 0 @
-2550 4156 0 @
-2361 4351 0 @
-2542 4128 282 @
-1097 4285 344 "Tomb Entrance Lookout"
-775 4025 389 @
-1920 5184 -251 "Tomb Floor"
-1904 4620 0 "Tomb Floor Room"
-2422 5174 -191 @
-1920 5184 -591 @
-1596 5272 -543 @
-1596 5272 -207 @
-2520 4337 264 "Tomb Gate Switch"
-2879 2443 -15 "Tomb Wall"
-2897 2849 -15 "Tomb Wall Corridor"
-3353 4019 -55 @
-3149 4836 -119 @
-2631 5177 -191 @
-3353 4115 -39 "Tomb Wall Ventilation"
-3265 4596 22 @
90 2858 -703 "Upper Ladder Room"
-181 3303 -703 @
212 2727 -703 @
840 5685 -2303 "Ventilation Exit"
1965 5467 -1695 "Ventilation Tunnel"
1580 5693 -1695 @
1372 5559 -1887 @
942 5675 -2119 @
