/////////////////////////////////////////////////////////
// Map name       Great Wall of China                  //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3810 -1160 64 "Allied Command Post"
3950 1163 384 "Allied Decoder"
3734 1155 384 "Allied MG42 Construction"
3911 1271 384 @
3641 -106 392 "Allied Spawn"
3923 -69 392 @
3623 -576 392 @
3944 -652 392 @
3383 -1111 64 "Allied Supplies Tower"
3638 -1154 64 @
3929 -1435 124 @
3807 -1312 64 @
3355 -1447 96 @
3939 -97 220 "Allied Tower"
3616 -97 64 @
3604 -662 248 @
3943 -570 128 @
3673 -533 64 @
3625 -106 220 "Allied Tower MG42"
-87 -388 384 "Axis Command Post"
5 -486 576 "Axis MG42 Construction"
50 -664 576 @
-3599 -1279 640 "Axis Spawn"
-701 -1097 66 "Axis Truck"
3523 1276 384 "Decoder Door"
3420 1129 202 "Decoder Ladder"
2174 -355 384 "East Tower"
2015 -512 384 @
2181 -675 576 @
2162 -669 384 @
2354 -674 384 @
2177 -758 357 "East Tower Ladder"
2177 -758 124 @
3380 1281 384 "Great Wall of China"
2811 1141 384 @
2193 887 384 @
2188 301 384 @
2179 -242 384 @
1914 -508 384 @
1349 -506 384 @
798 -503 384 @
186 -518 384 @
-353 -522 384 @
-915 -778 384 @
-1520 -1041 384 @
-2153 -1273 397 @
-2833 -1271 515 @
-3507 -1277 632 @
1688 -449 200 @
-81 -666 384 "Health and Ammo Cabinets"
-3541 610 72 @
3599 -1415 64 @
-3237 250 72 "House Bedroom"
-3584 259 80 @
-3569 116 80 @
-3146 120 72 @
-3548 957 72 "House Kitchen"
-3170 963 96 @
-3557 861 72 "House Living Room"
-3182 853 72 @
-3127 615 72 @
-3235 354 72 @
-3577 363 72 @
-3394 611 72 @
-3029 614 70 "House Yard"
-2819 614 70 @
-3503 -1098 64 "North of Wall"
-2823 -1034 64 @
-2227 -1092 196 @
-1587 -874 79 @
-997 -618 155 @
-378 -348 64 @
-3587 -13 64 @
-3136 27 64 @
-3688 114 64 @
-3697 263 64 @
-3686 474 64 @
-3701 600 64 @
-3685 809 64 @
-3703 966 64 @
-3583 1199 64 @
-3162 1197 64 @
-3020 985 64 @
-2555 596 64 @
-2658 916 69 @
-3007 121 64 @
-2752 269 64 @
-2047 651 64 @
-2043 1316 64 @
-1932 560 64 @
-1411 541 64 @
-883 554 64 @
-768 649 64 @
-780 1314 64 @
58 1389 64 @
191 1124 64 @
295 745 64 @
254 384 64 @
511 269 64 @
712 282 64 @
821 292 64 @
1083 389 64 @
1376 646 64 @
1513 924 64 @
1736 1274 64 @
2689 1296 64 @
2097 1128 64 @
1989 299 64 @
1997 -240 261 @
1906 -337 260 @
1689 -341 116 @
1210 -354 64 @
798 -336 64 @
172 -344 64 @
1400 -457 80 @
808 599 72 "Pier"
806 402 72 @
1574 1370 1 "Pond"
1359 987 25 @
987 535 19 @
483 420 22 @
493 751 1 @
362 1186 7 @
205 1430 18 @
808 749 16 @
685 596 -3 @
687 418 2 @
1254 752 -6 @
-1422 -1186 64 "South of Wall"
-1916 -1385 64 @
-950 -1098 64 @
-356 -709 64 @
-413 -1385 71 @
-107 -1064 192 @
183 -690 64 @
795 -708 80 @
1212 -687 64 @
2339 305 64 @
1890 -697 64 @
1603 -746 64 @
2160 -997 64 @
2460 -726 64 @
2352 -247 64 @
2342 777 64 @
2860 1006 64 @
3388 909 64 @
3871 1009 64 @
3505 -96 64 @
3622 51 64 @
3885 48 64 @
3500 -654 64 @
3348 -448 91 @
3882 -749 64 @
3811 -1014 64 @
3355 -1008 64 @
3259 -1097 64 @
3251 -1385 64 @
3628 -1012 64 @
-888 661 72 "Temple"
-1424 664 72 @
-1913 660 72 @
-1943 1308 72 @
-889 1313 72 @
1207 -524 64 "Wall Underpass"
2166 298 64 @
84 -515 384 "West Tower"
-104 -509 384 @
-261 -504 384 @
-93 -705 576 @
-275 -348 576 @
-121 -367 576 @
-95 -762 399 "West Tower Ladder"
-95 -762 135 @
