/////////////////////////////////////////////////////////
// Map name       Greenland                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    02-05-2008                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1428 1854 150 "^1Documents"
-1908 -1846 160 "^1Transmitter"
-229 -1187 352 "^3Allied Spawn"
-1383 550 136 "^3Ammo Cabinets"
-1257 550 136 "^3Axis Spawn"
-1847 1699 150 "^3Barn"
-1917 1591 369 @
-1850 1676 369 @
-1941 1595 150 @
-1718 1699 368 "^3Barn Balcony"
-1919 1484 368 @
870 2159 488 "^3Dinghy"
-769 544 132 "^3Greenland Station"
-1258 364 132 @
-1375 356 132 @
881 2079 139 "^3North Arch"
-359 365 73 "^3North Greenland"
-1566 550 132 @
-1398 709 119 @
-1267 707 126 @
-784 857 129 @
370 2079 135 @
1334 2073 125 @
1738 1846 138 @
1396 1654 230 @
1543 363 99 @
270 1381 224 @
534 468 97 @
-1718 1699 145 @
-1919 1484 148 @
-1822 326 67 @
871 1382 724 "^3North Hill"
-229 -1187 512 "^3Out Of Order"
-1331 22 108 "^3Railroad Tracks"
1575 42 104 @
560 143 104 @
-328 78 108 @
-786 63 104 @
-1834 70 108 @
758 -2036 168 "^3Ruins"
-697 -1244 558 "^3South Hill"
-1163 -1333 627 @
-229 -1187 207 "^3South Greenland"
-1358 -302 92 @
-1960 -1381 117 @
-2292 -1866 104 @
-1907 -2096 143 @
-1722 -1843 159 @
-1142 -1844 163 @
304 -1993 172 @
784 -1650 150 @
1265 -2029 164 @
2267 -1581 369 @
1559 -257 68 @
574 -249 66 @
-293 -269 91 @
-775 -263 85 @
-1839 -234 105 @
2551 -1553 588 "^3The n00b Spot"
