/////////////////////////////////////////////////////////
// Map name       Guns                                 //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3772 -2043 672 "Allied Guard Tower"
4244 -4676 672 "Allied Offices"
4256 -4293 672 @
4423 -3933 672 @
4073 -3922 672 @
4113 -3540 672 @
4609 -3374 672 @
4108 -4281 672 "Allied Spawn"
4130 -4678 672 @
3372 -4749 672 @
3348 -4187 672 @
4116 -3410 672 "Allied Warehouse"
4495 -3369 672 @
4372 -2607 488 @
3788 -2609 488 @
3369 -2876 488 @
3392 -3392 672 @
3395 -2609 672 @
4498 -2623 672 @
4360 -2461 488 "Allied Warehouse Yard"
3790 -2459 488 @
3770 -2193 488 @
3931 -2049 488 @
3748 -1904 488 @
3392 -1621 488 @
3516 -1251 488 @
4398 -874 488 @
4114 -839 504 @
-3316 648 536 "Axis North Warehouse"
-3170 649 536 @
-3832 642 536 @
-3595 738 536 @
-3164 1800 536 @
-3186 1357 536 @
-3161 979 536 @
-3122 -766 720 "Axis Spawn"
-3841 -786 720 @
-3835 356 720 @
-3833 -45 720 @
-3857 -444 720 @
-3546 -772 720 @
-3176 -785 536 "Axis Warehouse"
-3551 -798 536 @
-3831 -767 536 @
-3833 -446 536 @
-3826 -59 536 @
-3858 349 584 @
-3322 365 536 @
-3139 340 536 @
-3160 -257 536 @
-3654 -79 630 @
-3629 363 536 @
-3330 506 536 "Axis Warehouse Alley"
-3143 499 536 @
-3619 505 536 @
-3757 523 536 @
2275 1898 572 "Command Post"
4390 -728 488 "East Attackway"
4315 -210 488 @
3843 184 488 @
2547 136 488 @
1850 293 488 @
2029 504 488 @
1847 167 488 @
2020 -62 488 @
2515 -89 488 @
1972 -1098 520 "Health and Ammo Cabinets"
-1096 642 701 @
-320 1505 696 "Main Bunker"
-634 913 696 @
-490 -397 708 @
-452 -585 708 @
-690 -521 708 @
126 540 700 "Main Bunker Bridge"
-300 568 701 @
-74 561 704 @
-635 776 696 "Main Bunker East Platform"
-451 582 696 @
-445 283 696 @
-484 -247 696 @
-429 953 696 @
-1720 -612 536 "Main Bunker Storage Area"
-1820 -82 536 @
-1820 167 536 @
-1279 -389 536 @
-1605 -341 536 @
-1257 -137 536 @
-1259 232 536 @
-1298 616 536 @
-1442 1195 536 @
-1313 1746 536 @
-1240 968 536 @
-847 -525 700 "Main Bunker West Platform"
-882 -1457 700 @
-985 -1142 700 @
-968 -746 700 @
-1279 -620 700 @
-1163 -238 701 @
-1140 451 701 @
-1107 822 701 @
-1107 1547 701 @
-1088 1090 701 @
-1086 195 701 @
-1094 -87 701 @
-909 -1324 700 @
-1405 -609 676 "Main Bunker West Stairs"
-1594 -613 580 @
686 -799 488 "Main Entrance"
351 -746 488 "Main Entrance Attackway"
-131 -707 488 @
-340 -889 488 @
-324 -264 488 @
-320 356 488 @
-51 555 488 @
-311 872 488 @
-32 1039 488 @
-43 1624 528 @
6 1488 540 @
22 1287 503 @
37 1832 536 @
1214 -68 696 "Main Entrance Balcony"
742 -74 696 @
831 2 696 @
-254 -694 724 "Main Entrance Lookout"
-399 2664 696 "North Gun"
-1527 2304 536 "North Gun Alley"
-2123 1580 536 @
-1376 3005 536 @
-1370 2157 536 @
-626 3198 536 @
-1109 3215 536 @
-162 3213 536 @
1 2880 536 @
10 2247 536 @
-7 2508 536 @
-1327 1948 536 @
-855 1923 536 @
-1149 1944 536 @
-1424 3192 720 "North Gun Corner"
136 1801 552 "North Gun Hut"
351 1806 552 @
356 1291 552 @
123 1287 552 @
140 1495 552 @
171 1161 493 "North Gun Hut Alley"
454 1170 494 @
464 1787 536 @
464 1254 500 @
-622 3065 696 "North Gun Platform"
-177 3043 696 @
-106 2741 696 @
