/////////////////////////////////////////////////////////
// Map name       mp_assault                           //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1917 980 128 "Airplane Yard"
1889 2227 128 @
2905 2717 128 @
2466 2713 128 @
1985 2675 128 @
3510 2698 128 @
3523 1736 128 @
3746 1330 128 @
3807 519 128 @
3815 -228 128 @
3652 -623 128 @
3265 -622 128 @
3526 2075 128 @
3224 2684 128 @
3689 -833 576 "Airplane Yard Overlook"
3236 -758 576 @
3715 1474 512 "Airplane Yard Terrace"
3639 2656 512 @
3694 1740 512 @
3636 2046 512 @
4128 -865 576 "Allied Command Post"
4192 -614 128 "Allied Spawn"
3930 -229 128 @
3965 1271 128 @
3955 528 128 @
-4080 3213 128 "Axis Assault Way"
-3835 3467 128 @
-3060 3571 128 @
-3799 1339 128 @
-3615 1516 128 @
-3862 1812 128 @
-1745 845 128 @
-1590 685 128 @
-1599 136 128 @
-3861 1566 128 "Axis Assault Way MG42"
-1610 832 520 "Axis Assault Way Tower"
-4402 4038 720 "Axis Command Post"
-3051 4890 128 "Axis Garage"
-3066 5113 128 @
-4099 3756 128 @
-3090 3760 128 @
-4382 4054 496 @
-3814 3912 128 @
-4100 3505 128 "Axis Garage MG42"
-3126 3671 768 "Axis Garage Overlook"
-3807 3862 752 @
-2946 4862 128 "Axis Spawn"
-2949 5117 128 @
-388 254 128 "Barb Wire Barricade"
-396 99 131 @
-411 685 128 @
-393 922 130 @
2720 3724 896 "Communication Tower"
2757 3363 896 @
1668 2568 -189 "Depot Door"
3211 3121 896 "East Tower"
3329 2994 896 @
3622 3402 896 @
3215 2993 896 "East Tower MG42"
820 899 200 "Half Track"
924 1784 148 "Main Assault Way"
1214 2030 128 @
1208 914 128 @
869 1132 128 @
586 908 128 @
852 715 128 @
-289 120 128 @
-260 320 128 @
-279 677 128 @
-291 976 128 @
-505 108 128 @
-715 186 128 @
-714 687 128 @
-525 922 128 @
-520 665 128 @
-504 273 128 @
-1393 696 128 "Portal"
-1353 -174 128 @
-1147 -10 128 @
-1395 138 128 @
-946 -174 128 @
-879 198 128 @
-880 694 128 @
-1148 612 128 @
-960 834 128 @
-1153 -165 130 "Portal Flag"
-897 1 128 "Portal Gate Switch"
-682 -2 520 "Portal Tower"
2242 2955 512 "Towers Platform"
1806 2945 544 @
2014 2748 544 @
2887 2786 512 @
3556 2787 512 @
2721 3356 512 @
2738 3730 614 @
3566 3413 520 @
3227 3021 512 @
2662 4651 937 @
1820 4079 886 @
2018 3198 575 @
-1158 779 92 "Trap"
-1147 840 -383 "Underground Warehouse"
-879 1705 -383 @
180 2284 -511 @
932 1822 -175 @
1661 2379 -191 @
1665 2495 -383 @
2409 2854 136 "Warehouse"
2395 3130 136 @
2911 2850 136 @
3166 2935 160 @
3387 3236 160 @
2949 3658 136 @
3171 3205 160 "Warehouse Radio"
1671 2835 -127 "Warehouse Stairwell"
1928 2881 32 @
2208 2960 136 @
1911 2926 232 @
2217 2965 328 @
1928 2935 416 @
