/////////////////////////////////////////////////////////
// Map name       Hindenburg B3                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
5214 7386 257 "Airfield"
4848 7177 254 @
5592 7175 256 @
6598 7180 256 @
7453 7169 255 @
8567 7169 254 @
8866 7361 257 @
9127 7169 255 @
9639 7169 259 @
5819 8381 254 @
5620 8360 254 @
4956 8270 255 @
4713 8475 254 @
4528 8347 254 @
4286 8359 254 @
4713 7995 256 @
3811 7169 257 @
4229 7169 254 @
2689 7169 254 @
2188 7175 234 @
2445 7328 254 @
5207 7125 259 "Airfield Gate"
4715 8255 254 "Airfield MG42"
4998 5538 260 "Airfield Road"
5204 5311 302 @
5415 5344 260 @
5414 6237 260 @
4828 6763 303 @
4819 6396 303 @
5214 6857 255 @
2420 7092 262 "Airfield Side Entrance"
8851 7151 257 "Airfield Side Gate"
1617 1231 305 "Allied Spawn"
2106 1209 608 @
1786 1425 608 @
2507 1250 456 @
2056 1921 304 @
2476 1400 456 @
2633 1261 305 @
1782 1547 608 "Allied Spawn Roof"
1767 2284 608 @
2075 2280 608 @
2547 1252 608 "Assault Ramp"
2760 1184 651 @
3196 1138 651 @
3317 1124 586 "Assault Ramp Route"
3761 1146 322 @
3318 1128 322 @
4735 6392 304 "Axis Spawn"
4739 6773 304 @
3815 6386 304 @
3812 6780 304 @
4234 6782 304 @
4240 6391 304 @
2159 7012 255 "Barracks Area"
2415 6887 258 @
2717 7050 255 @
3810 6866 278 @
3817 7050 257 @
4234 6869 278 @
4240 7050 254 @
4732 6869 278 @
4856 7040 258 @
3722 6791 278 @
3723 6386 278 @
3810 6308 278 @
4227 6298 278 @
4740 6308 278 @
5609 7050 257 @
6585 7050 258 @
7469 7050 255 @
8576 7050 254 @
8811 6902 254 @
9145 7050 254 @
9639 7049 255 @
6054 5136 315 @
8164 5155 275 @
7137 5169 259 @
6242 5155 260 @
4603 5124 315 @
3870 5146 262 @
4837 5536 257 @
5565 6235 256 @
2946 5182 250 @
3457 5171 259 @
2383 5168 241 @
1749 5155 225 @
5785 5130 315 @
5625 5334 255 @
5812 8384 385 "Blimp"
5187 4753 325 "Bridge"
5181 4531 325 @
5207 4271 325 @
5418 4219 494 "Bridge Controller"
5191 4107 329 "Bridge Corridor"
5148 3848 329 @
5228 3844 329 @
6458 2951 315 "Burning Flames"
4384 2595 322 "City Main Arch"
5191 2855 322 "City Spawn"
3560 3041 304 "City Spawn Alley"
3725 3023 304 @
4042 3037 304 @
4442 3036 304 @
4786 3035 304 @
4996 3025 304 @
5074 3135 303 @
5087 3299 303 @
5471 3292 303 @
5853 3301 303 @
6119 3304 303 @
6151 3004 303 @
5181 3001 304 @
4392 2811 322 @
3869 1145 322 "City Square"
3787 1758 322 @
3877 2375 322 @
4370 2389 322 @
4916 2374 322 @
5142 2192 311 @
5087 1096 311 @
3753 2387 322 "City Square Buildings"
3725 2846 498 @
3732 2532 586 @
3261 2834 303 "City Wall"
3194 2751 476 @
3208 3053 303 @
3494 2549 586 "City Wall Overlook"
5146 2389 322 "Command Post"
4865 4990 488 "Decoder"
3558 3159 304 "Factory"
3607 3614 304 @
3222 3178 304 @
2259 3185 304 @
1989 3336 304 @
1646 3164 304 @
1811 4109 304 @
1803 4246 304 @
2240 3041 304 "Factory Alley"
1874 2780 304 @
2093 2776 304 @
1614 3070 304 @
1369 2932 304 @
1921 4096 304 "Factory Pier"
2382 4291 304 @
1783 4340 315 @
3255 4311 315 @
1926 4272 304 @
1971 3126 308 "Factory Side Door"
2408 2791 304 "Health and Ammo Cabinets"
6061 4980 315 @
4716 8261 403 "Hindenburg"
4260 8367 403 @
4968 8265 403 @
5634 8362 403 @
4713 8475 403 @
4528 8347 403 @
2723 1256 304 "Main Street"
3169 1153 304 @
3492 1405 304 @
3602 1764 311 @
2750 1969 304 @
2754 1552 304 @
3057 2094 304 @
3071 2416 304 @
3569 2121 304 @
6242 4344 315 "Nothing To See Here!!!"
6838 4358 315 @
7975 4292 534 @
6235 4084 315 @
1791 4418 211 "River"
1970 4416 211 @
2384 4415 216 @
2939 4402 200 @
3274 4414 220 @
4033 4408 217 @
4486 4420 222 @
4825 4416 224 @
4917 4297 220 @
5032 4273 224 @
5206 4276 208 @
5437 4273 212 @
5698 4268 204 @
6081 4275 215 @
6252 4455 221 @
6834 4503 214 @
8136 5047 215 @
7122 5049 217 @
6222 5029 218 @
6041 4772 224 @
5785 4783 205 @
5513 4784 209 @
5190 4780 209 @
5192 4537 205 @
4960 4778 220 @
4696 4778 222 @
4460 4774 223 @
4032 4772 224 @
3880 5057 222 @
3438 5042 204 @
2934 5031 203 @
2951 4718 217 @
1728 5046 224 @
8013 4596 231 @
5343 4021 494 "Side Entrance"
3139 1650 310 "Truck"
6118 3414 315 "Warehouse District"
5855 3407 315 @
5471 3408 315 @
5090 3424 315 @
4972 3313 315 @
4973 3139 315 @
4775 3142 315 @
4420 3146 315 @
4028 3138 315 @
3716 3147 315 @
3713 3612 315 @
4045 4312 315 @
4788 4306 315 @
4474 4325 318 @
5011 4198 315 @
5042 3847 316 @
5032 4037 314 @
5088 4026 494 @
5513 4081 494 @
5351 3818 494 @
5437 4201 315 @
5338 3847 316 @
5696 4189 315 @
6077 4175 315 @
6050 4866 315 @
5797 5007 315 @
5795 4871 315 @
5659 5193 315 @
5393 5197 315 @
5199 5206 315 @
5202 4906 315 @
4966 4842 315 @
4705 4854 315 @
4597 5011 315 @
4038 5023 315 @
4037 4834 315 @
4464 4862 315 @
5105 5031 494 @
5702 4994 468 @
5344 4941 516 @
4946 4925 746 @
4995 5099 746 @
5649 5088 750 @
5566 4922 746 @
5315 5100 746 @
5491 4938 315 @
5526 4944 494 "Warehouse District MG42"
3739 4303 704 "Warehouse District Roofs"
3944 4734 699 @
3975 5064 716 @
4663 5074 718 @
4858 4815 713 @
6152 5064 717 @
5819 5044 713 @
6167 4718 697 @
6160 4233 692 @
5555 4822 714 @
4963 5212 745 @
5341 5211 745 @
5678 5215 745 @
4832 5112 745 @
4828 4927 745 @
5259 4656 686 @
6779 4026 757 @
2739 2414 310 "West City Arch"
2757 2094 310 @
2942 2423 310 @
1602 2713 304 "West City Buildings"
1746 2779 304 @
2204 2778 304 @
2354 2698 304 @
2580 2741 304 @
2624 2427 304 @
1414 2794 677 "West City Roofs"
1842 2916 678 @
2325 2907 684 @
1943 2632 669 @
2480 2655 685 @
2520 2092 711 @
2967 2069 727 @
2981 2763 723 @
3023 2404 566 @
2739 2016 563 @
2270 2627 541 @
1502 1242 306 "West City Streets"
1675 1556 304 @
1675 2292 304 @
1747 2380 306 @
1604 2597 304 @
1375 2844 395 @
1961 2576 303 @
2339 2587 304 @
2108 2370 304 @
2169 1916 304 @
2485 1555 304 @
2567 1964 304 @
2871 4176 304 "Wood Bridge"
2933 4419 325 @
2946 5018 325 @
2947 4736 325 @
