/////////////////////////////////////////////////////////
// Map name       Heart of Gold B8                     //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-2624 3207 256 "CP Corridors"
-3074 3196 -31 @
-2875 3542 32 @
-2623 3203 -31 @
-2641 3406 -31 @
-3036 3417 -31 @
-2851 3409 -31 "Command Post"
-1130 -224 275 "Door"
-5209 421 35 "Garage"
-4608 423 192 @
-5192 592 62 "Garage Road"
-5159 1960 189 @
-5185 2962 192 @
-3862 2927 -21 @
-4612 591 193 "Garage Yard"
-4477 810 193 @
-4885 1977 145 @
-2874 2940 -31 "Gate"
-3679 2938 -31 "Gate Area"
-3081 3078 -30 @
-3243 2749 -31 @
-2623 3086 -31 @
-1352 2966 -13 @
-2630 3081 264 @
-2685 2622 265 @
-3592 2742 197 @
-3474 3124 192 @
-3811 3321 196 @
-1882 2311 265 @
-2630 2008 259 @
-2925 2782 256 "Gate Area Corridors"
-3373 3122 194 @
-1146 2976 258 "Gate Area Overlook"
-1176 1700 261 @
-2837 2372 264 "Gate Spawn"
-2953 2296 264 @
-2942 2651 264 @
-2819 2627 264 @
-2935 2520 -31 "Gate Warehouse"
-2837 2251 264 @
-251 -149 225 "Gold"
-454 -510 273 "Gold Courtyard"
-430 178 276 @
-513 -153 273 @
-957 2990 262 "North Village Alleys"
-450 2605 259 @
-179 2071 263 @
60 2536 263 @
-434 1112 267 @
-938 1181 263 @
-438 -810 268 "South Village Alleys"
-750 -1527 265 @
-1518 290 256 "Track Switch"
-2513 1203 276 "Village Alleys"
-2106 717 276 @
-2515 -146 281 @
611 -159 392 "Village Courtyard"
174 -796 272 @
-2502 -342 268 "Village Park"
-1939 -438 281 @
-1941 -1009 284 @
-1358 1690 224 "Village Road"
-1394 1192 260 @
-1497 582 256 @
-1503 15 256 @
-1479 -470 256 @
-904 -1693 264 @
-624 -1751 278 @
338 -1949 257 @
-1589 -703 257 @
-1832 737 269 @
-1550 -1123 264 @
-1884 -138 264 @
607 -30 392 "Village Spawn"
373 687 432 @
155 694 365 "Village Spawn Alley"
-427 360 288 @
-453 925 268 @
-4344 814 192 "West Village Alleys"
-3558 1380 204 @
-2889 1598 268 @
-3586 2615 196 @
