/////////////////////////////////////////////////////////
// Map name       Divinity TC Base                     //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    10-10-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-2553 -591 144 "Allied Crates"
-2608 -1273 120 @
-2592 -960 368 "Allied Spawn"
-2708 -358 384 @
-2599 -718 368 @
-2732 -1493 368 @
-2687 -1248 368 @
-2552 -592 400 @
1598 1705 148 "Axis Command Post"
2830 1972 64 "Axis Crates"
2802 2252 64 @
2581 2193 64 @
2026 3024 64 "Axis MG42"
3144 2145 128 "Axis Spawn"
3120 1731 128 @
2645 1741 128 @
3124 1740 392 "Axis Spawn Roof"
2646 1732 392 @
2840 2542 392 @
2444 2566 392 @
3120 2062 392 "Axis Spawn Roof MG42"
1755 3084 128 "Axis Supplies"
1379 3059 400 "Axis Supplies Roof"
1789 3112 400 @
2434 2567 64 "Axis Warehouse"
2831 2535 64 @
-2137 32 96 "Bridge"
-2119 695 96 @
-2344 1860 80 "Bridge Bunker"
-2349 2325 80 @
-1953 2397 80 @
-1836 2260 180 "Bridge Bunker Stairs"
-2157 2190 288 "Bridge MG42"
-2125 1131 72 "Bridge Road"
-1967 1738 72 @
-1656 1916 72 @
969 2629 128 "Bunker Entrance"
896 -284 376 "CP Doors"
892 -57 384 "Command Post"
1456 2024 384 "Health and Ammo Cabinets"
1384 3038 128 @
1228 1802 136 @
-1577 1407 128 @
1453 1992 136 "Lower Middle Bunker"
1349 1583 136 @
1767 1731 136 @
1682 1515 136 @
1604 1827 136 @
1695 2154 80 @
-535 -719 96 "Lower Office"
1761 2204 384 "Middle Bunker"
1645 2027 384 @
1002 1384 384 "Middle Bunker Crates"
930 1629 384 @
614 1663 384 @
1510 1974 384 "Middle Bunker MG42"
1745 1764 384 "Middle Bunker Terrace"
1634 1375 384 @
1266 1163 384 @
1186 1814 384 @
1433 1706 384 @
1307 2008 400 @
789 2775 384 "North Radar Entrance"
-173 2323 384 "North Radar Hideout"
31 2693 384 @
789 2772 640 "North Radar Overlook"
450 2664 640 @
559 2991 232 "North Radar Ramp"
461 3012 337 @
436 2422 384 "North Radar Terrace"
878 2383 384 @
1011 2666 384 @
1180 2881 384 @
120 2406 400 "North Radar [01]"
-167 -633 96 "Office Hallway"
58 -312 96 @
551 -660 96 @
620 -155 96 @
-1 -1118 156 "Office Stairs"
36 -832 324 @
1377 356 384 "Radar Hallway"
1649 750 384 @
1574 1046 384 @
450 2664 384 "Radio Equipment"
-28 1984 72 "Service Road"
845 1997 72 @
1100 2211 72 @
1505 2468 72 @
1932 2414 72 @
2084 1826 72 @
1957 1394 72 @
1569 1013 72 @
1268 777 128 @
1032 399 72 @
1024 -111 72 @
1733 2779 64 @
2061 2672 64 @
2400 1960 64 @
2317 2202 64 @
956 733 64 @
2411 1704 70 @
2023 2077 64 @
244 1973 64 @
1193 578 64 @
609 1980 392 "Service Road Bridge"
-29 1983 344 "Service Road Net"
244 1973 344 @
1263 804 240 @
1193 578 240 @
-1128 1981 72 "Service Tunnel"
-557 1991 72 @
-1341 2005 72 "Service Tunnel Gate"
-335 1997 64 @
427 146 384 "South Radar Hideout"
555 806 320 "South Radar Stairs"
752 643 144 @
774 329 384 "South Radar Terrace"
1113 329 384 @
652 652 384 @
502 431 400 "South Radar [02]"
-2704 -361 544 "Upper Allied Spawn"
-2552 -592 581 @
-914 -565 360 "Upper Hallway"
-331 -575 360 @
-82 -518 360 @
497 -522 360 @
904 -395 360 @
-1125 -1108 360 "Upper Office"
-904 -915 360 @
-2212 -1398 96 "Warehouse"
-2136 -885 96 @
-1445 -1010 96 @
-1440 -1375 96 @
-1189 -1336 96 "Warehouse Hallway"
-843 -1233 96 @
-817 -835 96 @
-1595 556 -361 "Water"
-2103 483 -285 @
-2811 538 -229 @
