/////////////////////////////////////////////////////////
// Map name       Industry SWE                         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1007 -3675 424 "Allied MG"
-993 -3869 424 @
-723 -5841 88 "Allied Spawn"
-275 -5864 88 @
-5468 -376 88 "Axis Spawn"
-6541 -235 88 @
-5873 -481 88 @
-6360 -449 88 @
1361 136 88 "Bunker Door"
841 -366 88 "Bunker Road"
1308 -364 88 @
1932 -370 88 @
2457 -369 88 @
1123 -736 89 "City Ruins"
1432 -711 98 @
1943 -726 88 @
1661 -1584 88 @
909 -1134 88 @
938 -1997 47 @
1252 -3380 88 @
1277 -2900 88 @
1620 -2682 88 @
979 -3251 262 @
1049 -3045 109 @
845 -2759 97 @
-665 -828 88 @
-959 -1018 146 @
-718 -1424 88 @
-1094 -1381 88 @
-682 -1178 99 @
86 -1990 88 @
-131 -2611 88 @
-606 -2733 88 @
-1211 -2701 88 @
-1127 -2218 88 @
-1156 -1670 88 @
-80 1090 88 @
287 1077 88 @
186 95 116 @
-101 368 88 @
-75 776 98 @
-1058 -803 97 @
844 -3036 113 "City Ruins MG"
-991 -4039 267 "Climbing The Tree"
-986 -4050 498 @
285 1785 88 "Command Post"
273 2007 88 "Command Post Alley"
109 1605 88 "Command Post House"
228 1269 88 @
225 1290 224 @
183 1782 224 @
341 1686 224 @
566 -78 88 "Command Post Road"
571 650 88 @
583 1165 88 @
578 1527 88 @
584 1843 88 @
569 -359 88 "Crossroads"
-1621 -2658 152 "Factory Crates"
-2350 -2656 152 @
-2722 -2579 88 @
-3002 -2585 88 @
-3130 -352 88 "Factory Hallway"
-2626 -428 88 @
-1812 -367 88 "Factory Road"
-2404 -370 95 @
-1346 -358 88 @
-932 -362 88 @
-471 -358 88 @
-135 -353 88 @
290 -370 88 @
-1579 -392 88 @
-774 -28 152 "Factory Warehouse"
-1197 -42 152 @
-1195 485 152 @
-1184 1006 152 @
-784 1022 152 @
-389 1021 152 @
-357 684 152 @
-363 334 152 @
-355 -33 152 @
-5138 -403 88 "Factory Yard"
-6765 -232 88 @
-6015 162 88 @
-5366 180 88 @
-4210 413 88 @
-4217 944 88 @
-3406 960 88 @
-3319 417 88 @
-3317 -256 88 @
-4357 -377 88 @
-5462 -718 88 @
-5915 -702 88 @
-6456 -705 88 @
-6767 -1440 88 @
-4339 -1207 88 @
-4416 -1755 88 @
-4420 -2301 88 @
-4382 -2990 88 @
-5401 -3840 88 @
-4617 -3242 88 @
-4011 -3610 88 @
-6472 63 88 @
-3341 -1767 88 @
-3283 -977 88 @
-3345 -2627 88 @
-3340 -2082 88 @
-1032 -1271 232 "Field Radio"
-717 -1262 232 @
-1064 -1429 232 @
-691 -1375 232 @
-735 -1479 232 "Field Radio MG"
-4530 -3812 648 "Large Crane"
-4657 -3807 88 @
-1923 -1580 88 "Large Crates"
-2424 -1629 88 @
-1639 -1291 88 @
-2429 -1064 88 @
-2471 -660 88 @
-2012 -658 88 @
-1560 -818 78 @
-1280 -822 88 @
-1278 -1286 88 @
-1289 -1470 88 @
1378 -76 88 "Outside Bunker"
1101 -15 112 @
880 340 88 @
887 701 88 @
1232 691 94 @
1616 679 88 @
1891 363 88 @
1868 -34 96 @
1453 426 88 "Secret Documents Bunker"
1589 211 132 @
1094 225 88 @
1098 505 88 @
1366 264 88 @
1593 412 88 "Secret Documents Safe"
-1768 -3231 88 "Tank Barrier #1"
136 -3129 88 "Tank Barrier #2"
-478 -3227 88 "Tank Road"
-1109 -3219 88 @
-2283 -3226 88 @
-3927 1009 88 @
-3916 111 88 @
-3922 -406 88 @
-3911 -1503 88 @
-3926 -2536 88 @
-3856 -3232 88 @
-3911 -929 88 @
-3157 -3259 88 @
-991 -3453 88 @
562 -2968 88 @
573 -2468 88 @
599 -1898 182 @
598 -1260 183 @
-3906 1236 88 @
-275 -5661 88 "Train Yard"
-785 -5622 88 @
-3738 -5688 88 @
-3910 -4252 88 @
-2602 -4006 104 @
-1313 -4020 88 @
612 -4165 88 @
1805 -6185 88 @
-918 -4186 88 @
602 -3723 88 @
-2598 -3733 104 "Train Yard Hallway"
-1497 -35 88 "Warehouse Yard"
-1833 -41 88 @
-2198 -39 88 @
-2413 1185 88 @
-113 1364 88 @
-137 1963 88 @
-131 1680 88 @
-585 1244 88 @
-983 1246 88 @
-1389 1258 88 @
-1372 713 88 @
-1428 339 88 @
-1422 981 152 @
