/////////////////////////////////////////////////////////
// Map name       Ponza Isle                           //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 27                //
// Last edited    02-08-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2420 -554 1368 "^1Aqueduct House Well Gate"
-798 1206 1488 "^1Axis Helipad"
641 -133 1647 "^1Damaged Aqueduct"
384 -128 1642 @
-1425 1519 1490 "^1Damaged Bridge"
-1698 1234 1543 @
-1080 589 1456 "^1Helipad MG40"
-3248 -113 827 "^1Well Gate"
3102 907 704 "^2Allied Dock"
3102 907 512 @
3487 932 512 @
3487 932 704 @
3466 -1659 512 "^2Allied Tower"
3520 -1294 512 @
3460 -1554 512 @
3773 -1661 512 @
3658 -1771 512 @
2360 -298 1552 "^2Aqueduct House"
2237 -128 1552 @
2352 51 1552 @
2598 -132 1552 @
-1758 -1539 1216 "^2Axis Balcony"
-2079 -1884 1216 @
-1899 -1760 1216 @
-2454 -1658 1216 @
-2114 -1182 1600 "^2Axis Church"
-2113 -674 1552 @
3087 1122 512 "^3Allied Dock"
3488 1095 512 @
2974 902 528 @
3527 1430 496 @
3134 1416 496 @
3102 907 888 "^3Allied Dock House Roof"
3487 932 888 @
3520 -1294 888 "^3Allied Tower Plateau"
3460 -1554 704 @
3773 -1661 704 @
3669 -1995 704 @
3466 -1994 704 @
3730 -1773 704 @
3313 -1853 704 @
3316 -1661 704 @
3466 -1659 1944 "^3Allied Tower Roof"
3466 -1659 736 "^3Allied Tower Stairwell"
3466 -1659 1770 @
3466 -1901 566 @
3659 -1771 702 @
3513 -1893 1248 @
3514 -1084 512 "^3Allied Tower Well"
3366 -542 366 @
641 -133 1312 "^3Aqueduct"
1106 -124 1655 @
384 -128 1312 @
104 -133 1638 @
1666 -127 1664 @
-134 -135 1312 @
1142 -128 1312 @
1410 -134 1312 @
-623 -123 1312 @
-623 -123 1628 @
-925 -127 1621 @
3192 -374 1768 "^3Aqueduct Beginning"
2781 -392 1703 @
-1180 -130 1520 "^3Aqueduct End"
1803 -128 1664 "^3Aqueduct House"
2248 -295 1680 @
2244 51 1680 @
2227 307 1680 "^3Aqueduct House Balcony"
