/////////////////////////////////////////////////////////
// Map name       King of the Hill                     //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    25-07-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2 3631 336 "^1Allied Capture Point"
1911 -2824 565 "^1Secret Documents"
3418 1204 878 "^1Security Door"
474 2566 352 "^2Allies Spawn"
-569 -1882 352 "^2Axis Spawn"
-382 -504 1052 "^3Antenna Bunker"
-718 -496 1056 @
-569 -1882 560 "^3Axis Spawn Roof"
-2240 -1531 736 "^3Bridge"
-2236 -2160 736 @
-2509 -2712 736 "^3Bridge Bunker"
1215 -2816 595 "^3Castle"
1442 -2813 576 @
1335 -3098 576 @
2157 -2814 576 @
1909 -3181 576 @
1927 -2450 576 @
1664 -3309 576 @
1911 -2824 768 @
946 -2811 368 "^3Castle Ramp"
1229 -2816 459 @
946 -2811 595 "^3Castle Wall"
3586 945 1032 "^3East Tower"
3633 953 1200 @
3666 1201 952 @
-385 -329 340 "^3Elevator"
-385 -329 1046 @
-565 -2914 385 "^3Garage"
-551 -3308 408 @
-565 -2914 568 "^3Garage Roof"
-551 -3308 568 @
3586 945 880 "^3Health and Ammo"
-2248 -1176 888 "^3Hills"
-7 -1157 688 @
7 443 672 @
3631 834 1211 @
-1044 318 709 @
-1832 578 784 @
-3722 671 1216 @
-2629 359 972 @
-3299 595 1071 @
-385 -329 1250 @
-718 -496 1216 @
-727 -741 1106 @
-713 -280 1099 @
-865 -502 1053 @
-68 -519 1185 @
-370 -783 1075 @
965 -502 1221 @
1810 -1015 1202 @
3265 -807 1256 @
3784 -1552 1063 @
2801 320 1114 @
1604 29 1038 @
-574 -1232 906 @
-1691 -374 1213 @
-3466 -1357 1369 @
474 2566 544 "^3Mansion"
730 2579 400 @
484 2140 352 @
117 2554 361 "^3North Valley"
482 2052 352 @
-6 830 287 @
-427 515 425 @
518 578 458 @
-1024 590 473 @
-1809 790 486 @
-3390 1027 768 @
-2608 831 545 @
-3767 1346 1003 @
2 3328 317 @
-494 3654 355 @
114 2169 351 @
1531 2585 349 @
479 3542 355 @
751 3516 352 @
3230 1233 731 @
3425 1440 822 @
2647 766 609 @
1624 661 344 @
-2916 3092 344 @
-2944 2026 284 @
-3443 2584 476 @
-2423 2548 351 @
-1521 3123 324 @
-1201 3451 391 @
-1883 3453 325 @
-1507 3759 510 @
-1076 3081 181 @
-1376 2740 267 @
-1060 2443 232 @
-798 2744 218 @
-1101 2111 257 @
-982 1666 234 @
-456 2114 176 @
-553 1699 232 @
-566 2512 267 @
-1059 2737 280 "^3North Valley Buildings"
-994 2110 232 @
-894 2111 408 @
-553 2104 232 @
-1513 3453 408 "^3North Valley Bunker"
-2941 2562 336 "^3North Valley House"
-2941 2562 568 "^3North Valley House Roof"
-382 -504 1286 "^3Rotating Antenna"
-166 -1872 352 "^3South Valley"
-1015 -1900 277 @
-560 -2710 352 @
-1465 -2750 407 @
-2240 -1531 582 @
-2236 -2160 577 @
-12 -1417 352 @
-161 -2884 352 @
-550 -3370 352 @
-153 -3305 352 @
468 -3590 352 @
929 -2200 278 @
2291 -2816 338 @
1904 -3343 406 @
1929 -2283 285 @
967 -3281 354 @
1360 -3604 517 @
1665 -3415 423 @
557 -2838 372 @
-1262 -2893 325 @
-2238 -2715 736 @
-2507 -2865 737 @
-2807 -2693 712 @
-2507 -2318 644 @
3374 -1606 541 @
3794 -1970 829 @
-3260 -1788 696 @
-1465 -2750 660 "^3South Valley MG Tower"
0 -3581 416 "^3Tanks"
-7 -1157 336 "^3Tunnel"
7 443 336 @
-379 -495 336 @
-6 -354 336 @
-3709 1047 1024 "^3West Tower"
-3709 1047 1240 @
