/////////////////////////////////////////////////////////
// Map name       King Of The Flag                     //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 15                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-635 1011 392 "Allied Base"
-792 898 392 @
-1054 887 368 @
0 1057 392 @
-131 1133 392 @
-9 899 410 @
-442 1027 388 @
-235 905 408 @
864 891 394 @
406 891 392 @
-190 1247 520 @
-20 1251 520 @
-23 1140 520 @
-627 913 520 @
646 1162 436 @
-113 1258 399 "Allied Flag"
696 957 392 "Allied MG42"
-12 -1151 408 "Ammo Cabinet"
6 1139 392 @
-9 -1077 408 "Axis Base"
115 -1165 408 @
16 -920 425 @
448 -1033 404 @
621 -1025 408 @
790 -915 408 @
1047 -903 439 @
624 -932 536 @
201 -1263 536 @
48 -1271 536 @
45 -1140 536 @
-511 -929 408 @
-956 -923 408 @
-1159 -923 413 @
235 -928 423 @
-653 -1212 436 @
116 -1261 410 "Axis Flag"
-692 -1026 408 "Axis MG42"
642 -959 408 "Health Cabinet"
-634 928 392 @
901 823 382 "Neutral Area"
422 817 357 @
-9 812 354 @
-239 811 351 @
-443 990 122 @
-463 1536 106 @
-619 820 350 @
-776 834 351 @
-1059 825 347 @
621 753 345 @
-632 -747 342 @
-982 -808 353 @
-1228 -832 401 @
-474 -796 350 @
7 -802 340 @
250 -808 339 @
452 -992 118 @
454 -1573 97 @
627 -831 347 @
781 -832 344 @
1070 -841 398 @
1781 64 81 @
-1845 49 96 @
