/////////////////////////////////////////////////////////
// Map name       Library B3                           //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 21                //
// Last edited    22-02-2012                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2177 995 -47 "^1Command Post"
1013 3729 -211 "^1Documents"
-195 -2364 -147 "^1Forward Flag"
1727 -1658 -175 "^1Main Gate"
1519 186 -110 "^1Tank Barrier"
-682 1420 -99 "^1Transmitter"
-238 -2521 -147 "^1Window Barrier"
-2016 -3090 24 "^2Allied First Spawn"
-2267 -3670 24 @
452 -3408 56 "^2Allied Flag Spawn"
445 -1763 -175 "^2Axis First Spawn"
-708 2851 -81 "^2Axis Spawn"
-545 3446 -75 @
-1895 -2661 192 "^3Allied Spawn Alley"
-1752 -3083 113 @
550 1519 32 "^3Bridge"
546 658 8 "^3Bridge Stairs"
1981 1781 -183 "^3CP Corridor"
1621 1828 -63 @
2016 103 -183 "^3CP Entrance"
1953 366 -47 @
1953 366 -183 @
2354 104 -215 "^3CP Terrace"
2548 378 -215 @
2670 982 -215 @
2364 999 -223 @
-708 2851 -215 "^3Cellar"
-533 2403 -83 @
153 767 -103 "^3Coffeehouse"
775 334 -39 @
1098 400 -95 "^3Coffeehouse Terrace"
2177 995 -183 "^3Command Post Hall"
1952 477 -183 @
1952 477 -47 @
2112 1518 -183 @
2042 1497 -47 @
444 -2037 -184 "^3Courtyard"
-193 -2072 -171 @
1822 -2028 -175 @
457 -3132 -119 @
1455 -3345 -141 @
1599 -3020 -175 @
1159 -1990 -171 @
231 -2383 -171 @
457 -3132 56 "^3Courtyard Balcony"
1599 -3106 128 "^3Courtyard Roofs"
1453 -3443 0 @
2315 -578 -175 "^3Dock"
2344 -957 -175 @
2336 -80 -175 @
2130 1633 -191 "^3Elevator Corridor"
2829 2344 -191 @
-195 -2364 128 "^3Forward Flag Roof"
-238 -2521 38 @
1237 3547 -126 "^3Generator"
856 -243 -95 "^3Gun"
-199 780 -95 "^3Hideout"
-169 -3531 -95 "^3House"
452 -3408 -103 @
-165 -3733 -31 "^3House Backyard"
1160 -1843 -171 "^3Ladder"
1160 -1843 0 @
887 -1270 0 "^3Ladder Balcony"
1905 4215 -55 "^3Library"
1654 3774 -199 @
414 4314 -51 @
1023 3980 -199 @
783 3718 -199 @
1289 3718 -199 @
-66 4062 -75 "^3Library Office"
425 4012 -59 @
-173 -1782 -175 "^3Lower Sideway"
-590 -2095 -15 @
-1026 -1959 -15 @
2826 2483 -191 "^3Lower Storage"
2408 2838 -191 @
2668 3331 -191 @
2424 3786 -191 @
1665 3532 -199 @
1197 1003 -95 "^3MG-Nest"
2003 -1662 -164 "^3Main Corridor"
2021 -2031 -163 @
2124 -1204 -163 @
-58 3443 -91 "^3Office"
-60 2905 -91 @
-62 2659 -91 "^3Office Backyard"
-374 2405 -91 @
405 3456 -71 "^3Office Entrance"
485 3678 45 @
-1480 -3648 192 "^3Roadway"
-643 -3157 -9 @
-598 -2766 32 @
-234 -2831 -149 @
-799 -3697 77 @
-269 -3223 208 "^3Roadway Balcony"
373 -1367 -167 "^3Sideway"
463 -875 -167 @
2560 -572 -202 "^3Submarine"
2557 -1132 -241 @
2553 -961 -210 @
2555 -75 -208 @
990 3061 -127 "^3Tank Alley"
987 2236 -99 @
1744 -1230 -185 "^3Tank Courtyard"
887 -1270 -171 @
638 -882 -171 @
887 -598 -171 @
1961 -577 -171 @
2043 -952 -171 @
1467 -237 -175 @
2015 -51 -171 @
1528 480 -104 "^3Tank Road"
613 1520 -99 @
1228 1370 -99 @
1630 1691 -59 @
1370 1022 -99 @
-237 1408 -99 "^3Transmitter Yard"
507 1519 -99 @
-1298 -2654 192 "^3Upper Sideway"
-791 -3164 192 @
-836 -2792 192 @
2408 2838 -55 "^3Upper Storage"
2668 3331 -55 @
2155 4212 -55 @
2424 3786 -55 @
2013 1659 -47 @
2560 -572 -421 "^4Ocean"
2818 -573 -288 @
2355 -1139 -286 @
2754 -1126 -284 @
2555 -1288 -292 @
2715 -964 -285 @
2354 104 -343 @
2559 117 -290 @
2724 -78 -281 @
2548 378 -340 @
2698 377 -286 @
2670 982 -312 @
3103 984 -299 @
2364 999 -329 @
