/////////////////////////////////////////////////////////
// Map name       Lighthouse 2                         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 26                //
// Last edited    10-12-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
797 -503 756 "^1Anti Ship Gun"
752 667 688 "^1Command Post"
-564 -28 432 "^1Comms Bunker"
-120 318 1092 "^1Compound Gate"
-315 -658 1077 "^1Compound Wall"
-940 -108 2680 "^1Light"
-1105 -30 2648 @
-1239 -232 2648 @
-1091 -354 2648 @
601 962 690 "^1Main Entrance"
796 -316 416 "^3Ammo Bunker"
600 -552 368 @
601 -107 368 @
831 267 528 @
567 -319 368 "^3Ammo Bunker Door"
426 -553 384 "^3Ammo Bunker Pier"
165 -1279 256 @
356 -324 384 @
831 431 640 "^3Ammo Bunker Stairs"
-1795 1321 263 "^3Beach"
-1010 1421 254 @
-265 1443 255 @
89 1463 237 @
1143 1084 252 @
1433 512 228 @
1446 -228 230 @
1223 -1037 236 @
823 -1333 243 @
-1988 -1169 238 @
-2269 -912 223 @
-2326 -323 285 @
-2321 239 287 @
-2367 848 264 @
-434 -107 672 "^3Command Bunker Corridor"
-865 226 672 @
-1316 298 832 @
-433 216 672 @
-714 -517 432 "^3Command Bunker Ladder"
-704 -517 589 @
-712 -304 962 @
-1355 539 440 @
-1335 750 1100 @
-1355 572 852 @
-298 -277 436 "^3Command Bunker Stairwell"
-672 -336 432 @
-688 -429 580 @
-432 -254 672 @
-870 -484 580 "^3Command Room"
-1309 17 580 @
-851 -321 432 @
-966 -479 432 @
-1299 -100 432 @
-914 -9 432 @
-1117 -90 440 @
-1309 17 432 @
-1114 69 432 "^3Command Room Ammo"
-870 -484 432 "^3Command Room Health"
-677 503 1092 "^3Compound"
-569 588 1092 @
-699 836 1092 @
-538 742 1092 @
-1194 818 1092 @
-978 503 1092 @
-1333 287 1092 @
-1472 386 1088 @
-1453 680 1088 @
-700 -569 1088 @
-342 -431 1136 @
-383 317 1092 @
-178 546 1088 @
-198 16 1088 @
-712 -304 1091 @
-1456 -554 1088 @
-1070 -547 1248 @
-1420 -202 1248 @
-1516 672 1288 @
-1206 878 1288 @
-712 892 1288 @
-136 30 1288 @
-705 -631 1288 @
-1466 -231 1088 @
-1040 -562 1088 @
-354 21 1088 @
-61 -181 1088 @
-58 -563 1088 @
