/////////////////////////////////////////////////////////
// Map name       Lighthouse                           //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    09-10-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
796 -316 416 "Ammo Bunker"
600 -552 368 @
601 -107 368 @
831 267 528 @
567 -319 368 "Ammo Bunker Door"
426 -553 384 "Ammo Bunker Pier"
165 -1279 256 @
356 -324 384 @
831 431 640 "Ammo Bunker Stairs"
60 -272 1664 "Antenna Top"
797 -503 756 "Anti Ship Gun"
-1795 1321 263 "Beach"
-1010 1421 254 @
-265 1443 255 @
89 1463 237 @
1143 1084 252 @
1433 512 228 @
1446 -228 230 @
1223 -1037 236 @
823 -1333 243 @
-1988 -1169 238 @
-2269 -912 223 @
-2326 -323 285 @
-2321 239 287 @
-2367 848 264 @
-434 -107 672 "Command Bunker Corridor"
-865 226 672 @
-1316 298 832 @
-714 -517 432 "Command Bunker Ladder"
-704 -517 589 @
-712 -304 962 @
-298 -277 436 "Command Bunker Stairwell"
-672 -336 432 @
-688 -429 580 @
-432 -254 672 @
752 667 688 "Command Post"
-870 -484 580 "Command Room"
-1309 17 580 @
-851 -321 432 @
-966 -479 432 @
-1299 -100 432 @
-1114 69 432 @
-914 -9 432 @
-1309 17 432 "Command Room Ammo"
-870 -484 432 "Command Room Health"
-564 -28 432 "Comms Bunker"
-677 503 1092 "Compound"
-569 588 1092 @
-699 836 1092 @
-538 742 1092 @
-1194 818 1092 @
-978 503 1092 @
-1333 287 1092 @
-1472 386 1088 @
-1453 680 1088 @
-700 -569 1088 @
-342 -431 1136 @
-19 -554 1088 @
-383 317 1092 @
-178 546 1088 @
-198 16 1088 @
-712 -304 1091 @
-1456 -554 1088 @
-1070 -547 1248 @
-1420 -202 1248 @
-1516 672 1288 @
-1206 878 1288 @
-712 892 1288 @
-136 30 1288 @
-705 -631 1288 @
-1466 -231 1088 @
-1040 -562 1088 @
-678 585 1100 "Compound Barracks"
-693 756 1100 @
-1196 721 1100 @
-978 586 1100 @
-1332 375 1100 @
-1362 680 1100 @
-678 585 1248 "Compound Barracks Roof"
-693 756 1248 @
-1196 721 1248 @
-978 586 1248 @
-1332 375 1248 @
-1362 680 1248 @
-120 318 1092 "Compound Gate"
-315 -658 1077 "Compound Wall"
-1828 -1622 232 "Dinghies"
-703 -872 1072 "Hut Outside Compound"
-704 -855 1200 "Hut Roof"
-940 -108 2680 "Light"
-1105 -30 2648 @
-1239 -232 2648 @
-1091 -354 2648 @
-1083 -441 2504 "Lighthouse Balcony"
-1346 -246 2504 @
-1139 66 2504 @
-841 -70 2504 @
-1089 -187 2493 "Lighthouse Machinery"
-1083 -100 2368 @
-1127 -404 2890 "Lighthouse Roof"
-1291 -236 2888 @
-1099 -7 2895 @
-929 -86 2883 @
-1087 -187 3068 "Lighthouse Roof Plague"
-1086 -226 1576 "Lighthouse Stairwell"
-1089 -187 2116 @
-1089 -187 2234 @
-1089 -187 2378 @
-1025 -109 1088 @
-292 -124 432 "Lower Bunker Corridor"
349 -208 385 @
601 962 690 "Main Entrance"
341 1073 658 @
619 1197 688 @
217 856 768 "Main Entrance Ammo"
720 429 688 "Main Entrance Area"
597 667 688 @
135 314 1088 @
-71 545 1088 @
-75 36 1088 @
563 24 866 @
448 23 1088 @
949 437 768 @
829 280 690 @
811 -186 688 @
200 690 1088 @
431 316 944 @
829 1050 768 "Main Entrance Guard Post"
148 1044 768 @
853 850 768 "Main Entrance Health"
508 1316 432 "Main Entrance Ladder"
829 1050 944 "Main Entrance Rooftop"
573 937 944 @
148 1044 944 @
217 856 944 @
853 850 944 @
933 631 896 @
448 23 880 "Main Entrance Vent"
-64 37 880 @
-769 225 880 @
-3319 2157 155 "Ocean"
-3293 1545 147 @
-3290 763 147 @
-3288 171 147 @
-3286 -403 147 @
-3284 -1056 147 @
-2273 -1666 151 @
-1817 -2001 150 @
-1111 -2040 150 @
-471 -1940 153 @
124 -1533 154 @
867 -1593 153 @
1550 -1230 151 @
1900 -325 149 @
1904 643 149 @
1366 1690 159 @
593 2079 163 @
387 2321 158 @
124 2067 156 @
-397 2002 155 @
-746 1967 146 @
-587 2476 146 @
-2726 2823 141 @
873 1753 178 @
-2728 -1000 209 @
-2703 -2178 169 @
-3415 -1809 174 @
-2775 1291 181 @
-2287 2407 166 @
-2632 1799 172 @
-1610 680 1070 "Outside Compound"
-1616 377 1078 @
-707 -704 1073 @
-57 -703 1042 @
-1054 -693 1069 @
-1440 -700 1058 @
-1614 -574 1058 @
-1596 -233 1078 @
-918 -864 1047 @
398 2071 272 "Pier"
333 1499 264 @
806 1295 264 @
-571 1960 304 "Pipeline"
-585 1559 310 @
-468 -1473 204 "Ropes"
-477 -974 917 @
-2727 -356 272 "Ship Wreck"
-2734 209 239 @
-2727 796 260 @
-2724 2159 221 @
-2830 -1684 179 @
-2025 1796 229 @
-1450 -566 1248 "Tower Climbing Ropes"
-1081 -513 1558 @
-1081 -513 2096 @
-1081 -513 2359 @
