/////////////////////////////////////////////////////////
// Map name       [LNA] Trickjump                      //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 15                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2307 3268 1596 "Base ^1#1"
1179 3562 1372 @
1371 4050 1372 @
1008 3570 1344 "Base ^1#2"
970 4034 1036 @
329 4024 1116 @
402 3468 1413 @
-221 3609 328 "Battery ^1#1"
-606 3008 170 @
-113 2537 420 @
-710 852 96 "Battery ^1#2"
6 1383 72 @
-410 56 553 @
-1240 37 542 @
-706 1226 168 @
2140 2258 412 "Caen"
1667 2294 402 @
2312 2126 286 @
-3549 3132 440 "Fuel Dump ^1#1"
-2864 2849 749 @
-2726 2858 790 "Fuel Dump ^1#2"
-1694 2663 1151 @
-2765 3021 983 @
-2753 3072 169 "Fuel Dump ^1#3"
-2974 3595 470 @
-1874 4052 160 @
2460 3024 652 "Fuel Dump ^1#4"
2885 3624 365 @
2747 4003 788 @
2890 4009 1908 "Fuel Dump ^1#5"
3072 3133 1308 @
2412 3270 1596 @
421 3385 1432 "Fuel Dump ^1#6"
324 2970 1424 @
887 3318 1160 @
1568 2967 1536 @
2473 4021 262 @
997 4026 74 @
971 3092 192 @
337 3127 276 @
918 3312 1537 @
-4064 1554 1231 "Gold Rush ^1#1"
-4033 488 1304 @
-1901 1439 968 @
1044 1406 546 @
3522 1283 220 @
3045 1273 266 @
3289 1276 226 @
-3062 1281 1156 @
-2436 1403 1030 @
-1552 1361 955 @
-502 1336 760 @
207 1381 707 @
-4063 298 1344 "JUMP ^1#3"
-2524 -141 1344 @
-811 -156 1344 @
1420 -126 1344 @
-413 -545 1373 @
-3940 -555 1395 @
-1969 -929 1419 @
1491 -926 1405 @
3314 -916 1432 @
7138 -923 1344 @
-1158 1758 352 "Oasis ^1#1"
-1194 2048 72 @
-1167 1819 220 @
-2151 1763 420 @
-2151 1753 536 "Oasis ^1#2"
-1125 1784 536 @
-1967 1975 536 @
-2328 2007 536 @
-3299 1773 536 @
-4029 1695 536 @
-4065 1628 1082 @
2303 2041 284 "Oasis ^1#3"
1836 2039 72 @
2236 1661 260 @
1665 2129 248 @
1658 1644 244 @
1555 2862 1548 "Oasis ^1#4"
1532 2309 1467 @
1370 2281 1620 @
1368 1933 1454 "Oasis ^1#5"
1466 2122 1672 @
1980 1958 1415 @
1884 2052 1636 @
2142 2037 1470 "Oasis ^1#6"
1675 2329 1184 @
2626 2517 1676 @
1752 2946 1557 @
2895 2967 1376 @
2597 4035 1036 @
1290 2075 571 "Oasis ^1#7"
1185 1698 260 @
990 1698 500 @
212 1676 468 @
-3540 3248 267 "Radar ^1#1"
3518 1177 168 "Radar ^1#2"
2903 1172 82 @
3273 1142 131 @
3015 860 232 @
2930 899 77 @
2917 824 226 "Radar ^1#3"
3038 730 224 @
3619 191 232 @
3622 1556 576 @
3621 1626 584 "Radar ^1#4"
3569 2824 747 @
2469 2817 111 @
2418 1653 107 @
2381 2342 276 @
-1669 1179 688 "Radar ^1#5"
-1825 535 817 @
-1937 1418 168 @
-860 1379 168 @
-1418 1393 168 @
-2666 1462 432 @
-2281 1277 497 @
-3658 1070 240 @
-2824 67 353 @
-3651 444 439 @
-135 2539 108 "Radar ^1#6"
-956 2675 109 @
-1110 1743 256 @
-963 1995 193 @
337 2928 276 "Radar ^1#7"
372 2014 276 @
567 2905 642 @
1089 2106 815 @
-1763 4060 152 "Rail Gun ^1#1"
-1786 3686 96 @
-1220 3937 316 @
-224 3715 301 @
2299 2350 276 "Supply Depot"
2280 3263 276 @
2304 3015 656 @
1596 2292 402 @
1910 2733 397 @
1854 2487 656 @
2201 2321 656 @
1666 2172 656 @
