/////////////////////////////////////////////////////////
// Map name       City of Lost Children                //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
167 2091 96 "Allied CP Corridors"
821 2093 96 @
1328 2355 96 @
1002 2213 96 @
1127 2099 96 @
1530 1974 88 "Allied CP Courtyard"
1212 2105 88 @
1321 2254 80 @
992 2005 96 "Allied Command Post"
1186 -972 -63 "Axis CP Corridors"
828 -795 -61 @
819 -270 -63 @
378 -147 -63 @
834 29 -23 @
1185 -1121 354 "Axis CP Stairwell"
1183 -1097 -61 @
839 -943 -63 "Axis Command Post"
2157 -786 376 "Barrier #1"
1189 -1260 384 "Barrier #1 Alley"
1858 -1091 384 @
-1092 -996 -63 "Behind Second Barrier"
-1083 -857 -63 @
-1277 -722 -63 @
-1162 2178 72 "Boat"
-642 2618 320 @
-1133 2610 320 @
-1054 2884 307 @
-765 2874 314 @
-675 2907 -127 @
-888 3896 72 @
-1169 3071 72 @
-1119 3505 72 @
-635 3443 72 @
-586 2921 72 @
-590 2463 72 @
-594 2041 72 @
-702 1648 72 @
-1072 1645 72 @
-889 2437 192 @
-882 2389 -127 @
-883 3195 -119 @
-1389 320 192 "Boat Access Alley"
-1475 781 192 @
-1027 870 192 @
-1442 1156 192 @
-1596 2143 64 "Boat Bridge"
-1277 2176 91 @
-63 2180 -55 "Boat Guard House"
-18 2264 88 @
68 2094 96 @
-76 2172 96 "Boat Guard MG"
-871 2567 320 "Boat's Radio"
1192 -945 384 "Covered Street"
1031 -603 376 @
1214 -359 384 @
1511 817 384 @
1565 1060 384 @
1497 501 384 @
1009 451 384 @
819 214 384 @
414 -140 384 @
1308 922 384 @
851 287 192 "Covered Street Access"
1528 1858 136 "Covered Street Corridors"
1106 1430 328 @
1312 1016 384 @
1200 -608 384 "Covered Street MG"
1463 853 -129 "Dead"
1451 496 -172 @
1771 701 -183 @
2027 1086 -152 @
2327 1131 -161 @
2201 726 -158 @
2890 841 -135 @
2809 502 -175 @
-1658 3741 64 "Dock"
-2047 4151 64 @
-1652 3297 64 @
-2083 2290 64 @
-1623 2345 64 @
-1662 1909 64 @
-1695 1464 64 @
-1913 1321 64 @
-408 1466 -63 @
-511 2902 -119 @
-831 1334 -63 @
-1480 1333 -63 @
-1638 1202 64 @
-1317 3060 87 @
-889 4309 66 @
-155 3434 64 @
8 4273 64 @
-466 2082 -63 @
-455 2444 -95 @
-160 2177 -63 @
-873 1587 -174 @
-606 3535 -171 @
-841 4004 -146 @
-1219 3471 -179 @
-1263 2223 -172 @
-1192 1811 -167 @
-1709 3533 84 "Dock MG"
-1806 3437 64 "Dock Warehouse"
-1827 3643 64 @
-2070 3689 64 @
-1916 1468 64 "Health and Ammo Cabinets"
2738 -217 384 @
2651 -734 376 "Jeunet Street"
3272 -345 384 @
2976 -568 384 @
1440 -721 376 @
1830 -861 376 @
2588 -1553 384 @
2707 -493 640 "Jeunet Street Overlook"
2971 -493 640 @
670 432 376 "Old City Area"
184 994 416 @
-347 846 -63 @
-861 865 -63 @
227 -158 -63 @
218 -138 385 @
414 -674 384 @
-750 -1112 -63 @
-328 -1096 -85 @
591 -977 -63 @
-614 -902 -126 @
-794 -515 -63 @
-1193 -81 192 @
-969 244 192 @
-496 -1122 193 @
-440 1118 -63 "Old City Wall"
3266 -186 384 "Old Pool Alley"
2936 -335 512 @
2706 464 384 @
3092 670 384 @
2719 -123 384 @
2976 842 384 "Old Pool Bridge"
2550 847 392 @
2019 830 392 @
1702 833 392 @
-855 -761 -63 "Second Barrier"
-641 -1125 257 "Second Barrier Overlook"
-1220 185 192 "Second Boat Access"
-1086 -689 -79 "Warplans"
2016 1185 74 "You Are Going To Die"
2276 1182 74 @
2258 606 74 @
1767 600 74 @
1377 568 74 @
1380 832 74 @
