/////////////////////////////////////////////////////////
// Map name       Airstrip 2 ET                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3365 -1316 968 "Air Traffic Control Tower"
3421 -3273 66 "Base Entrance"
3689 -3297 66 @
3711 -3537 66 @
3383 -3539 66 @
3570 -3045 66 @
2864 -1624 968 "Command Post"
3096 -1288 968 "Control Tower"
2886 -1449 968 @
2674 -1605 968 @
3084 -1633 968 @
3288 -1574 968 @
3264 -1024 968 @
2648 -1353 968 @
2721 -971 968 @
3018 -909 968 @
2765 -1366 65 "Control Tower Bunker"
2952 -1264 56 @
2881 -1042 48 @
3470 -667 -62 @
2770 -1102 48 @
3488 -1112 -63 @
3462 -881 -63 @
3288 -1626 1112 "Control Tower Roof"
3317 -1021 1112 @
2698 -993 1112 @
2661 -1352 1112 @
2975 -1349 1112 @
3327 -1357 1112 @
3001 -1032 1112 @
2817 -1582 1112 @
2608 -1584 1112 @
3039 -896 1176 @
3375 -1228 1176 @
3007 -1719 1176 @
3169 -1243 1112 @
3029 -1362 816 "Control Tower Stairs"
3061 -1365 192 @
2565 -853 64 "Control Tower Yard"
2873 -881 64 @
3264 -837 64 @
3526 -831 64 @
3482 -1265 64 @
3512 -1711 64 @
3134 -1807 64 @
2520 -1799 64 @
2620 -1365 64 @
2634 -1090 64 @
3479 -901 64 @
-1408 -992 56 "Dock Tunnel"
-768 -37 80 @
-1408 -1763 64 @
-1298 -2046 64 @
-1430 -2286 64 "Dockhouse Door"
-820 -2782 64 "Docks"
-1012 -2616 -114 @
-1336 -2424 56 @
-1637 -2315 64 @
-1191 -2186 64 @
-983 -2209 64 @
-827 -2408 64 @
-820 -3107 64 @
4196 -2183 66 "Hangars Runway"
4651 -2172 66 @
4991 -2097 66 @
4902 -1558 66 @
5016 -873 66 @
4132 -1332 64 @
4145 -736 68 @
4080 -30 64 @
4239 549 66 @
3717 541 64 "Hangars Service Area"
3725 -147 64 @
3767 -486 64 @
3797 -957 64 @
3783 -1427 64 @
3780 -1845 64 @
1649 -962 64 "Health and Ammo Cabinets"
5752 -1472 136 "Main Hangar"
5171 -1463 66 @
1366 427 66 "North Airstrip"
1092 323 66 @
1696 330 66 @
1074 1202 448 "North Anti Aircraft Gun"
2428 1019 65 "North Axis Barracks"
2804 1021 65 @
2796 1595 65 @
2437 1634 65 @
2406 1292 65 @
2764 1293 65 @
2393 1650 256 "North Barracks Roof"
2821 1662 256 @
2833 983 256 @
2405 978 256 @
2422 1330 256 @
2828 1310 256 @
493 1469 66 "North Gun Bunker"
1246 1492 66 @
1376 995 66 @
1371 597 66 @
602 1216 448 "North Gun Roofs"
933 1601 448 @
1513 1593 448 @
1505 1011 448 @
1129 749 448 @
1634 656 576 @
1589 721 323 "North Gun Roofs Ladder"
1589 721 -163 @
1442 1538 256 "North Gun Stairwell"
3080 136 56 "North Rocket Depot"
2689 -198 64 @
2656 542 64 @
3458 541 64 @
3476 -191 64 @
2678 151 64 @
3094 532 64 @
3091 -237 64 @
2154 575 464 "North Tower"
712 138 66 "North West Airstrip"
-71 93 64 @
345 63 64 @
897 415 64 @
966 1080 64 @
446 1036 64 @
345 1472 66 @
-807 1759 64 @
-195 1741 64 @
-456 700 66 @
-419 1233 66 @
-426 1458 456 "North West Towers"
408 541 456 @
2245 1605 64 "Outside North Barracks"
1906 1608 72 @
2417 1811 64 @
2829 1797 64 @
2990 1635 64 @
2987 1214 64 @
2985 977 64 @
2799 810 64 @
2435 792 64 @
2229 987 64 @
2229 1262 64 @
1882 567 66 @
2229 308 64 @
2503 532 64 @
2660 707 64 @
3491 711 64 @
3038 707 64 @
-29 -1141 64 "Outside South Barracks"
-361 -1136 64 @
-711 -1134 64 @
-858 -1316 64 @
-869 -1725 64 @
-603 -2410 64 @
-657 -1902 64 @
-22 -1892 64 @
158 -1671 64 @
159 -1294 64 @
655 -1061 64 @
644 -1799 64 @
659 -2200 64 @
-301 -2180 64 @
