/////////////////////////////////////////////////////////
// Map name       Ludendorff Bridge                    //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    25-04-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
15189 10115 1152 "Allied Barricade"
4100 10316 1152 "Allied Command Post"
5875 10116 1152 "Allied Defences"
3110 10097 1152 "Allied Side"
2306 10114 1152 @
3484 10568 1344 "Allied Tower"
3473 9689 1344 @
3572 10106 1152 "Allied Wall"
4986 10111 1152 "Axis Barricade"
16116 10319 1152 "Axis Command Post"
14378 10104 1152 "Axis Defences"
17248 10118 1152 "Axis Side"
18077 10114 1152 @
16734 10498 1344 "Axis Tower"
16740 9719 1344 @
16663 10117 1152 "Axis Wall"
10085 10215 1165 "Centre Flag"
17467 10861 834 "East Bank"
16769 11324 842 @
16697 8856 874 @
17589 9326 869 @
14890 10110 1181 "East Flag"
13183 10114 1168 "East Support Explosives"
13183 10114 736 "Eastern Bridge Support"
10608 10119 1152 "Ludendorff Bridge"
12494 10103 1152 @
13683 10114 1152 @
9564 10110 1152 @
7721 10108 1152 @
6573 10105 1152 @
14890 10110 539 "River"
10085 10215 549 @
5418 10108 550 @
4986 10111 553 @
14378 10104 557 @
15189 10115 548 @
10608 10119 564 @
12494 10103 559 @
13683 10114 535 @
9564 10110 557 @
7721 10108 556 @
6573 10105 565 @
7042 10930 562 @
7063 9201 544 @
13185 9251 542 @
13155 10971 556 @
5034 11433 585 @
5615 8511 557 @
14634 11605 556 @
14455 9093 560 @
5875 10116 557 @
16116 10319 719 "Under The Bridge"
4100 10316 636 @
3110 10097 841 @
17248 10118 832 @
3504 11394 809 "West Bank"
2767 10970 898 @
2771 9241 914 @
3436 8819 895 @
5418 10108 1181 "West Flag"
7043 10114 1188 "West Support Explosives"
7043 10114 736 "Western Bridge Support"
