/////////////////////////////////////////////////////////
// Map name       maccupiccu_beta2                     //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 27                //
// Last edited    05-07-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2469 -4303 -1280 "^1Allied Assault Ladder"
2429 -3998 -681 @
2433 -3787 -344 @
-2704 -4326 -1280 @
-2713 -3998 -712 @
-2713 -3721 -252 @
545 -3679 64 "^1Axis East Ladder Defense"
2198 594 68 "^1Axis East MG42 Nest"
-424 -3686 64 "^1Axis West Ladder Defense"
-2185 584 68 "^1Axis West MG42 Nest"
-579 -1970 86 "^1Charge Booster"
-2355 -7829 91 "^1Escape Truck"
-2766 4168 928 "^1Moon Symbol"
-2766 3990 940 "^1Moon Symbol Pyramid Door"
27 -3908 66 "^1Old City Door"
2814 4165 928 "^1Sun Symbol"
2817 4000 938 "^1Sun Symbol Pyramid Door"
-2127 -7826 72 "^2Allied Camp"
-2588 -7647 75 @
20 -7499 72 @
32 3900 -142 "^2Axis Tomb Spawn"
28 3214 -142 @
1733 -2278 160 "^2Old City Spawn"
31 -7186 72 "^3Allied MG42"
-3008 -6623 -1276 "^3Allied Tunnel"
-2880 -7636 -1276 @
-2588 -7647 -1138 "^3Allied Tunnel Ladder"
-2588 -7647 -76 @
631 2444 139 "^3Axis Tunnel Exit"
-553 2447 130 @
35 3014 -142 "^3Axis Tunnels"
631 2444 -142 @
-553 2447 -142 @
29 5029 -109 @
32 4074 -142 @
23 -6878 72 "^3Bridge"
21 -4275 68 @
33 -5928 64 @
31 -5077 64 @
33 -4536 61 @
33 -5928 -744 "^3Bridge Beam"
33 -5928 -192 @
31 -5077 -744 "^3Bridge Ladders"
31 -5077 -192 @
31 -5077 -1058 @
29 -3921 -791 "^3Bridge Tunnel"
23 -3910 -146 @
29 -2477 -127 @
23 -3221 -127 @
27 -121 -127 @
25 -788 -127 @
27 -1453 -127 @
34 -2066 -127 @
33 -4536 -791 "^3Bridge Tunnel Entrance"
-3002 -6242 -1280 "^3Canyon"
33 -5928 -1215 @
31 -5077 -1215 @
2417 -4722 -1280 @
2092 -4460 -1280 @
3147 -5720 -1280 @
2962 -4305 -1280 @
2268 -6343 -1280 @
-3176 -4333 -1280 @
-2759 -4710 -1280 @
-2338 -4270 -1280 @
-3326 -5681 -1280 @
1084 -4949 -1280 @
-1441 -4984 -1280 @
-1574 -6356 -1280 @
33 -103 928 "^3Central Pyramid"
25 -788 448 @
668 -73 528 @
39 617 416 @
-679 -106 432 @
31 -90 584 "^3Central Pyramid Ladder"
3922 -3950 121 "^3East Cliffs"
3917 -5795 47 @
2695 1221 448 "^3East Pyramid Area Access"
2832 1988 448 @
29 -2477 68 "^3Health and Ammo"
254 2447 160 "^3Main Pyramid Area Access"
-210 2446 160 @
-2766 4168 788 "^3Moon Symbol Pyramid"
-2766 4168 155 @
-2761 3786 768 @
2434 -3374 20 "^3North Cliffs"
3598 -3368 13 @
1338 -3398 -11 @
-2713 -3385 28 @
-3872 -3371 -18 @
-1225 -3376 53 @
-429 -4104 4 @
-1208 -3816 53 @
-977 -4010 52 @
1268 -3753 -14 @
1046 -4009 37 @
521 -4121 6 @
1730 -3557 -44 @
33 -4536 -501 @
2410 -3133 64 "^3Old City"
3613 -3155 64 @
1331 -3166 64 @
-2710 -3162 64 @
-3914 -3159 64 @
-1228 -3172 64 @
-978 -3798 64 @
-986 -3384 64 @
1038 -3801 64 @
1052 -3395 64 @
-402 -3298 70 @
457 -3333 70 @
16 -2629 60 @
-269 -2490 68 @
307 -2492 68 @
294 -2262 68 @
-267 -2272 68 @
32 -3556 68 @
-578 -2203 68 @
-575 -1612 64 @
-840 -1970 64 @
-304 -1966 68 @
-1117 -2546 64 @
1191 -2490 64 @
1717 -3089 64 @
722 -2959 70 @
-650 -2961 70 @
23 -3221 68 @
27 -1453 68 @
-579 -1970 302 @
1726 -1364 64 @
1540 2292 64 @
1585 1332 64 @
1843 1086 68 @
2675 588 68 @
2211 198 68 @
1783 541 64 @
1384 -99 68 @
3656 1097 64 @
-1533 2302 64 @
-1523 1351 64 @
-1808 1089 68 @
-1694 539 64 @
-2186 132 68 @
-2646 579 68 @
956 -1082 64 @
42 1363 68 @
-940 845 64 @
-1385 -80 68 @
34 -2066 68 @
-3717 1109 64 @
248 2048 68 @
-204 2066 70 @
-864 2318 64 @
-559 2168 64 @
