/////////////////////////////////////////////////////////
// Map name       Maniac Mansion                       //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 15                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1873 -2341 -959 "Door Switch"
-2506 6474 -2855 "Escape Truck"
103 11 272 "Flag 1"
3518 -1727 -1159 "Flag 10"
4596 723 -1627 "Flag 11"
2018 2408 -1991 "Flag 12"
2039 6464 -2419 "Flag 13"
1393 393 616 "Flag 2"
1012 133 -95 "Flag 3"
2235 311 64 "Flag 4"
126 911 712 "Flag 5"
-456 2153 224 "Flag 6"
-486 285 224 "Flag 7"
-1110 -1723 -135 "Flag 8"
289 -1826 -847 "Flag 9"
1795 6459 -2419 "Gold"
82 480 -353 "Maniac Mansion"
86 596 296 @
989 509 63 @
1217 489 577 @
1232 318 720 @
677 122 -38 @
1406 19 -154 @
2246 240 -79 @
2264 360 446 @
2139 451 104 @
1787 447 496 @
620 819 365 @
230 873 538 @
187 1134 712 @
179 1855 96 @
-346 2323 176 @
-474 1840 219 @
-483 480 224 @
-476 43 224 @
-655 -356 92 @
-463 -983 -368 @
-474 -1473 80 @
-841 -1720 80 @
-861 -1702 44 @
-1271 -1721 16 @
-1395 -2411 16 @
-465 -2423 -901 @
256 -2027 -847 @
589 -1789 -817 @
1894 -1898 -1019 @
3198 -1775 -1159 @
3839 -1785 -1159 @
3550 -1944 -903 @
2053 -2352 -971 @
4620 500 -1594 @
4180 720 -1547 @
3126 700 -1591 @
2095 677 -1782 @
2030 2123 -1991 @
2010 2808 -2063 @
2006 3647 -2111 @
2013 6209 -2407 @
1551 6462 -2430 @
1686 6462 -2906 @
-2238 6458 -2824 @
