/////////////////////////////////////////////////////////
// Map name       Marketgarden R2                      //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 30                //
// Last edited    11-07-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-7835 -2447 965 "^1Allied Command Center"
-2660 21 1152 "^1Allied Command Post"
-4390 -1795 1176 "^1Allied Re-Supply Cabinets"
666 -1747 1192 "^1Axis Command Post"
2884 -2322 1152 "^1Axis Re-Supply Cabinets"
7641 -1922 1232 "^1Bridge Detonator"
6865 -246 1273 "^1Bridge MG42"
-4201 -2154 1152 "^1Canal MG42"
-5496 -3059 1152 "^1Command Center Gates"
-6573 -2166 1089 "^1Command Center MG42"
129 565 1424 "^1Forward Deployment Area"
5759 -738 1272 "^1Pill Box MG42"
7842 -1919 1216 "^1Water Tower Door"
-5328 604 1152 "^2Banner Room Spawn"
-4801 642 1152 @
6816 -536 1264 "^2Bridge Spawn"
-6995 -1560 992 "^2Command Center Spawn"
-6628 -1445 1027 @
1595 -2527 1144 "^2South Arch Spawn"
-5472 187 1184 "^3Banner Room"
-5540 -101 1408 @
-4433 635 1152 "^3Banner Room Arch"
-4687 640 1152 @
-5538 -212 1408 "^3Banner Room Hallway"
-5740 -1193 1408 @
-5435 607 1184 @
-5459 354 1184 @
6836 -53 1264 "^3Bridge"
6664 -243 1264 @
7125 -240 1264 @
7729 -375 1264 @
6821 -744 1264 @
6475 -533 1264 @
6102 -715 1265 @
5547 -739 1258 @
5745 -566 1264 @
6913 -381 1800 @
5758 -733 1331 @
4860 -516 1183 @
5102 -30 1214 @
4772 -1 1172 @
7718 -772 1264 @
8068 -560 1257 @
8363 -381 1264 @
8488 -715 1264 @
8301 0 1264 @
5993 134 1280 @
5823 -860 1088 "^3Bridge Ladder"
4222 -395 1168 "^3Bridge Street"
3019 -2317 1152 @
2933 -1519 1168 @
3055 -2836 1152 @
4509 -1606 1152 @
3967 -1356 1152 @
3784 -943 1152 @
3969 -745 1152 @
3212 -142 1152 @
2945 -777 1168 @
4205 -2333 1160 "^3Bridge Street Garden"
4242 -3068 1152 @
4829 -3062 1152 "^3Bridge Street Garden Alley"
-3805 560 902 "^3Canal"
-3913 438 899 @
-3917 -1600 896 @
-3788 -1491 896 @
-3515 -1694 910 @
-3510 -892 931 @
-3901 -2158 904 @
-3518 -3291 897 @
-3920 -2426 904 @
-3517 -2434 904 @
-3909 -3296 910 @
-3904 1422 923 @
-3516 1422 893 @
-3511 799 907 @
-3520 2702 898 @
-3529 335 893 @
-3501 -459 892 @
-3900 -472 902 @
-3723 -24 887 @
-3504 -4013 903 @
-3927 -4002 902 @
-3914 -1022 881 @
-3918 1033 888 @
-3921 331 1152 "^3Canal Overpass"
-3529 335 1152 @
-3501 -459 1200 @
-3900 -472 1200 @
-3911 559 960 "^3Canal Stairs"
-3916 -1499 960 @
-3914 -1022 1104 @
-3918 1033 1104 @
-1067 -1595 960 "^3Canal Tunnel"
-1794 -1631 960 @
-1799 -894 928 @
-3346 -894 938 @
-866 -1598 1199 "^3Canal Tunnel Ladder"
-866 -1598 960 @
-6468 -1569 1144 "^3Command Center Stairs"
-5738 -1356 1376 @
-6465 -1431 1192 @
-601 -796 1301 "^3Dead End Alley"
-3359 -1699 1152 "^3East Canal Street"
-3346 -894 1184 @
-3387 -3293 1152 @
-3401 -2436 1152 @
-2682 -549 1152 @
-2666 -156 1160 @
-2953 51 1152 @
-3405 1424 1152 @
-3391 801 1152 @
-3016 1003 1152 @
-2594 1402 1152 @
-2996 1813 1152 @
-2512 903 1152 @
-2580 1979 1152 @
-3392 357 1152 @
-3318 127 1216 @
-3323 -278 1216 @
-3391 -457 1200 @
-3391 -4022 1152 @
8579 -908 1280 "^3East Embankment"
8668 -761 1264 @
8671 -376 1264 @
8726 143 1264 @
8614 4 1264 @
8825 -911 1264 @
8670 -1072 1264 @
8446 -1926 1228 @
8622 -1768 1240 @
8660 -908 1264 "^3East Guard Post"
