/////////////////////////////////////////////////////////
// Map name       Monte Cassino                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1362 -5205 -464 "Allied Bunker"
-862 -5214 -464 @
-672 -5488 -462 @
-662 -5802 -456 @
-1364 -5794 -464 @
-997 -5791 -464 @
-1030 -5736 -136 @
-687 -5245 -136 @
-580 -5729 -128 @
-687 -5880 -128 @
-1362 -5206 -136 @
-1354 -5788 -136 @
-1293 -5471 199 "Allied Bunker Roof"
-1014 -5255 199 @
-737 -5394 199 @
-704 -5780 199 @
-1024 -5782 199 @
-1342 -5778 199 @
-734 -5264 199 "Allied Bunker Roof MG42"
-1292 -5281 199 @
-731 -5735 -136 "Allies Transmitter"
-2309 -420 205 "Ammo Bunker"
-2270 -146 205 @
1918 -134 180 "Axis Startpoint 1"
1791 101 180 @
1778 464 180 @
2378 464 180 @
2349 98 180 @
2283 -292 180 @
-3096 1165 180 "Axis Startpoint 2"
-2952 926 180 @
-2947 557 180 @
-3558 563 180 @
-3528 934 180 @
-3463 1319 180 @
-3287 937 180 @
1209 274 493 "Axis Tower"
941 -79 348 @
1434 -93 348 @
1443 593 348 @
932 607 348 @
1188 265 352 @
1001 1879 180 "Axis Watertank"
905 2126 461 @
-447 576 180 "Church"
-1331 499 196 @
-1275 585 196 @
-977 965 116 @
-754 1271 68 @
-158 1530 -11 @
150 948 68 @
-1045 771 196 @
-150 1359 -11 "Church Cellars"
334 1651 -11 @
175 1835 -11 @
14 1601 -11 @
287 959 68 @
643 1051 -11 @
475 1723 -11 @
857 1661 -11 @
-1820 459 205 "Church Storage Access"
-1572 213 196 @
-1423 501 196 @
699 -1792 229 "Command Post"
-449 466 180 "Depot Yard"
-207 -72 180 @
-369 -290 186 @
-205 -515 186 @
-55 -302 180 @
-173 -832 180 @
582 -853 213 @
-1041 -852 229 @
-2160 -149 205 @
-2330 -559 180 @
-2175 -478 180 @
-2272 77 180 @
-3763 -746 180 @
-2988 1165 180 @
-2126 2292 180 @
-1174 2157 276 @
-1281 696 196 @
-1747 630 180 @
-1266 374 202 @
-279 575 180 @
-184 1315 228 @
-894 1471 180 @
489 2046 180 @
808 1617 235 @
1317 2009 180 @
1176 1631 180 @
2055 1334 244 @
1810 -138 180 @
1784 -9 180 @
2581 -568 180 @
1581 624 180 @
1457 740 180 @
936 734 180 @
794 624 180 @
800 -93 180 @
919 -223 180 @
1420 -219 180 @
1564 -108 180 @
2765 1613 180 @
2111 2034 180 @
-250 1143 417 @
-1747 -118 180 @
2456 1716 258 "Depot Yard Offices"
2062 1432 244 @
1847 1752 244 @
1703 1484 244 @
1670 1521 484 @
1547 -5662 -479 "East Fueltank"
972 -4794 -490 "East Ramp"
902 -4466 -130 @
576 -957 229 "Eastside Bunker"
977 -1821 229 @
720 -1583 229 @
292 -1764 229 @
1103 -1784 229 @
1351 -1650 229 @
1526 -1788 237 @
1298 -1657 377 @
701 -1766 379 @
1301 -1786 373 "Eastside MG42"
1313 -1860 217 "Eastside Window"
-703 -5265 -464 "Health and Ammo Cabinets"
1247 1051 -103 @
-643 -1550 229 @
929 -4255 -113 "Hills"
1641 -4465 -86 @
319 -4270 -99 @
-5 -4516 -97 @
-360 -4049 -101 @
-1397 -4061 -122 @
-2152 -3948 -128 @
-2747 -3767 -84 @
-3301 -3970 -109 @
-2348 -2152 196 @
-2090 -2364 196 @
-1896 -2163 196 @
-2251 -1946 196 @
-2057 -1940 196 @
-1801 -1932 196 @
-175 -2150 196 @
-618 -1955 196 @
-1037 -1957 196 @
-1351 -1952 196 @
291 -1938 196 @
688 -1920 196 @
992 -1922 196 @
1130 -1877 196 @
1312 -2032 221 @
1600 -1922 242 @
2349 -2452 318 @
2376 -4016 -41 @
1539 -1875 237 @
-2866 -1918 211 @
-172 -1948 196 "Main Entrance"
-158 -1596 196 "Main Entrance Hallway"
-151 -977 182 @
-3279 1166 132 "Old Secret Entrance"
