/////////////////////////////////////////////////////////
// Map name       Midnight Raid                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-09-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-775 1665 996 "Allied Spawn"
291 1535 1191 "Axis Spawn"
581 1097 1269 @
593 1551 1269 @
1011 1102 1269 "Axis Spawn Catwalk"
719 1089 1269 @
282 1732 1114 "Barracks"
283 1990 1114 @
278 2153 1106 "Barracks Corridor"
280 3601 1106 @
1513 3599 1106 @
1526 3050 1018 @
-2365 -2871 1046 "Command Post"
3009 1702 980 "Depot Yard"
3176 1574 982 @
3510 1592 961 @
3036 2347 980 @
3156 2462 963 @
3598 2364 1017 @
3461 2512 987 @
3575 1689 1006 @
2834 2254 980 @
2861 1641 984 @
2557 1379 994 @
2138 1215 1008 @
1834 1348 1004 @
1505 1635 1003 @
1542 2233 1010 @
1266 2142 1047 @
994 2501 1106 @
1281 2835 995 @
1628 3054 1002 @
1513 2910 996 @
2935 2921 984 @
3429 3015 990 @
2912 1247 998 @
1541 1229 1008 @
1011 1102 989 @
719 1089 1132 @
731 1548 1154 @
624 1805 1330 @
3399 1187 986 @
2174 2738 971 @
1804 2541 1002 @
2490 2524 972 @
2161 1449 1002 "Door 1"
2169 2438 994 "Door 2"
2500 2262 1002 "East Fuel Drums"
2499 1655 1002 @
3172 1230 1273 "East Guard Tower"
1295 -2356 1386 "East Hill Guard Post"
2430 -1911 1398 "East Hill MG Nest"
2615 -1674 1416 "East Hills"
2171 -2101 1426 @
1509 -2307 1393 @
2679 -1348 1342 @
1061 -2999 982 "East Hills Path"
2036 -2941 1021 @
2919 -2611 1043 @
3131 -1928 1059 @
3075 -1286 1087 @
3006 -815 1003 @
543 -2265 994 @
-1463 -978 960 "Frozen Pond"
3179 2345 984 "Fuel Depot Garage"
3470 2342 984 @
3171 1694 984 @
3470 1704 984 @
3179 2345 1175 "Fuel Depot Garage Roof"
3470 2342 1139 @
3171 1694 1151 @
3470 1704 1137 @
3111 2855 1271 "Gate Controls"
3012 -640 1032 "Health and Ammo Cabinets"
1286 2528 1040 "Large Generators"
-934 -1735 968 "Main Entrance"
-834 -1720 1177 "Main Entrance Guard Post"
-688 -1731 969 "Main Entrance Tunnel"
128 -1706 969 @
-1063 -1139 958 "Main Road"
-1097 -168 998 @
-1220 732 1033 @
-1302 1358 1041 @
-1402 2158 1019 @
-1048 -2232 950 @
2648 -27 996 "Outside Fuel Depot"
2773 116 990 @
3080 144 978 @
3237 7 971 @
3302 -376 1050 @
3252 -568 1047 @
3136 922 990 @
2143 756 1034 @
1247 885 1000 @
730 805 1095 @
671 114 1052 @
1459 81 1053 @
1042 -1142 1025 "Outside Tank Depot"
724 -1128 1007 @
331 -979 1016 @
408 -672 1003 @
565 -521 999 @
1148 -525 1063 @
1305 -619 1140 @
1086 -1824 1048 @
432 -1712 992 @
1815 -1474 1057 @
2471 -852 1037 @
-414 -2285 1194 "Rock Breach"
168 -2291 1094 @
3009 -469 1032 "Supplies Garage"
3104 3 1032 @
2792 -20 1032 @
2999 -639 1198 "Supplies Garage Roof"
3009 -469 1222 @
3104 3 1194 @
2792 -20 1202 @
708 -966 1032 "Tank Depot"
1034 -956 1032 @
1179 -650 1032 @
570 -659 1027 @
708 -966 1199 "Tank Depot Roof"
1034 -956 1189 @
1179 -650 1239 @
567 -657 1208 @
-1762 2410 1008 "Truck Bridge"
-2100 -2177 1046 "Well"
-2100 -2177 808 @
1818 1640 1002 "West Fuel Drums"
1858 2215 1002 @
1201 1245 1273 "West Guard Tower"
-2051 629 1172 "West Hills"
-1792 -163 1366 @
-1891 -1196 1180 @
-1776 -1711 1228 @
-2098 -2173 1158 @
-2350 -2586 1124 @
-2623 -2868 1109 @
-2365 -3133 1116 @
-2091 -2871 1126 @
-1550 -2255 1041 @
