/////////////////////////////////////////////////////////
// Map name       C2 Missile B4                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 22                //
// Last edited    22-02-2012                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
261 -3437 240 "^1Command Post"
178 -1056 172 "^1Door Control"
6347 -682 -302 "^1Escape Truck"
3714 -3647 62 "^1Gate Controls"
1006 -2826 -15 "^1Power Supply"
7808 -2883 -330 "^1Rocket Controls"
3850 218 300 "^2Bunker Spawn"
3524 -294 300 @
41 1095 512 "^2Forward Spawn"
4467 -3859 332 "^2Gate Spawn"
4140 -4452 310 @
8741 -1070 -63 "^2Rocket Hall Spawn"
8864 -1207 -63 @
8304 -1240 -63 @
6621 -1834 -313 "^3Back Path"
6588 -1418 -311 @
6230 -1391 -311 @
6621 -1834 -95 "^3Back Path Overlook"
6588 -1418 -95 @
-248 1580 508 "^3Barracks"
-626 1579 525 @
-626 1579 348 "^3Barracks Storage"
2113 -2218 64 "^3Basement"
2691 -2229 64 @
2218 -2826 64 @
2910 -2769 56 @
1534 -4294 240 "^3CP Office Stairs"
1018 -3335 240 "^3CP Offices"
469 -3438 240 @
1355 -4297 240 @
921 -4283 240 @
1032 -4395 215 @
813 -4398 240 @
537 -3026 239 @
2113 -2218 200 "^3East Loading Bay"
2218 -2826 200 @
74 583 500 "^3Flag Room Overlook"
282 1718 356 "^3Flag Room Stairs"
-614 1094 348 @
7361 -3045 -319 "^3Forklift"
2910 -2769 264 "^3Gate Bunker"
2691 -2229 224 @
3146 -2772 64 "^3Gate Courtyard"
3120 -2390 56 @
3755 -2390 62 @
3748 -2893 58 @
3758 -3262 56 @
3418 -3831 54 @
3740 -4000 64 @
2909 -3407 224 @
2600 -3679 67 @
4295 -3862 80 "^3Gate Offices"
3899 -3995 80 @
3739 -4446 80 @
4140 -4452 80 @
3392 -4844 80 @
3398 -4514 80 @
2989 -4838 80 "^3Gate Storage"
2583 -4218 48 @
5290 -1584 -151 "^3North Cave"
6059 -1402 -318 @
537 -3026 0 "^3Power Supply Room"
1009 -3124 0 @
1235 -2844 0 @
7049 -2129 -319 "^3Rocket Courtyard"
7367 -2722 -319 @
6933 -3038 -319 @
7073 -3750 -301 @
7366 -3418 -311 @
7668 -3051 -319 @
8101 -2873 -322 @
8361 -2739 -159 @
7808 -2601 -281 @
7972 -1768 -319 @
8534 -1917 -287 @
7490 -1711 -83 @
6986 -2025 -125 @
7063 -1747 -102 @
3480 -2369 64 "^3Rocket Gate"
3877 -3266 56 "^3Rocket Gate Yard"
3896 -2890 70 @
3878 -2383 60 @
3757 -2281 58 @
3485 -2099 68 @
3112 -2288 72 @
5279 -1744 -199 @
5535 -1975 -290 @
5077 -3207 -63 @
7482 -1549 -63 "^3Rocket Hall"
7949 -1567 -51 @
8534 -1917 -57 @
8551 -2754 -159 @
4467 -3859 40 "^3Rocket Tunnel High"
5079 -3395 -55 @
6295 -3583 -95 @
6706 -3027 -95 @
6672 -2057 -95 @
5847 -1971 -327 "^3Rocket Tunnel Low"
6706 -3027 -319 @
6657 -2137 -319 @
219 -1725 48 "^3Small West Storage"
-571 -1527 -31 @
7059 -3948 -239 "^3South Cave"
6306 -3786 -102 @
1730 607 492 "^3Storage Corridors"
2391 531 492 @
3202 218 300 @
2501 228 332 @
1207 -2335 80 "^3Storage Courtyard"
990 -2307 82 @
479 -2148 56 @
375 -1723 60 @
369 -1451 53 @
925 -1535 42 @
1968 -2220 56 @
1989 -2822 60 @
1822 -3691 68 @
1837 -3990 74 @
916 -855 172 "^3Storage Door"
2222 -688 172 "^3Storage East"
2559 -135 172 @
3353 -299 276 @
1687 438 172 "^3Storage Hall"
1783 176 174 @
2033 -690 172 @
1490 -106 172 @
1162 171 172 @
800 -93 172 @
1152 -470 172 @
913 -632 172 @
916 -855 490 @
1731 403 490 @
277 399 212 @
69 -515 490 @
76 369 496 @
180 -775 172 @
1158 -118 -34 "^3Storage Hall Pit"
-249 350 500 "^3Storage Hall Tunnel"
-78 -516 500 @
1115 1700 172 "^3Storage North"
1670 597 172 @
908 -1227 99 "^3Storage Ramp"
356 -1246 93 @
276 613 212 "^3Storage Tunnel"
1029 914 172 @
-781 227 188 "^3Storage West"
-686 -897 144 @
143 -2746 176 "^3West Loading Bay"
1006 -2826 176 @
-691 -1102 144 "^3West Loading Tunnel"
-571 -1527 141 @
-29 -2750 176 @
931 -4400 217 "^7DRAGONS!!!"
