/////////////////////////////////////////////////////////
// Map name       Mitchell Down                        //
// Locations by   Rummie                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    27-03-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1824 2392 808 "2nd Floor Hall"
-1552 2136 808 @
-1256 1944 808 @
-1064 2336 808 @
-1170 2183 816 @
-781 2524 816 @
-3269 -2486 456 "Allied Command Post"
309 -3555 760 "Allied Spawn"
304 -2888 480 "Allied Truck"
2628 2795 464 "Axis Base"
2170 2797 464 @
1484 3083 513 @
1480 3442 464 @
1876 3446 464 @
1041 3941 456 @
1013 3473 456 @
1120 2946 456 @
1113 2491 456 @
1340 2261 728 @
2241 3297 888 @
1715 3496 944 @
2255 3790 888 @
1956 3902 728 @
326 3416 456 "Axis Base Road"
318 3934 489 @
2029 3524 888 "Axis Command Post"
800 2424 704 "Axis Gangway"
800 2936 704 @
800 3880 704 @
1106 2267 728 @
792 3400 752 "Axis Gatehouse"
-1528 -1152 1312 "Bell Tower"
-1528 -1152 656 "Bell Tower Ladder"
-1520 -1152 944 @
-1520 -1152 1192 @
-1363 2142 456 "Boiler Room"
-787 2272 416 @
-3170 -695 799 "Bridge Tower"
-1640 -672 424 "Church"
-1632 -1680 424 @
-1624 -1176 424 @
-1240 -1168 424 @
-1232 -640 424 @
-1192 -1680 424 @
-840 -1680 424 @
-864 -1168 424 @
-872 -640 424 @
-464 -640 424 @
-464 -1144 424 @
-464 -1752 424 @
-48 -1752 424 @
-48 -1152 424 @
-24 -632 424 @
296 -824 424 @
296 -1568 424 @
-1044 -1136 1296 "Church Roof"
59 -1142 1296 @
288 -2152 424 "Church Street"
-432 -2160 424 @
-1256 -2160 424 @
-1222 -2690 760 "Church Street Roof"
-1792 2056 808 "Corner Office"
-3174 -3260 456 "Courtyard"
-2104 -3184 424 "Dritte Allee"
-2088 -1416 424 @
-2088 -872 424 @
-2099 -2557 456 @
-2092 -3189 776 "Dritte Allee Roof"
-2424 2336 424 "Fabrik Burk"
-1304 2710 456 @
-1676 2824 456 @
-3437 1377 456 @
-3575 3968 456 @
-2812 3949 456 @
-1431 3635 456 @
-3691 2131 456 @
-1313 3349 456 @
-1280 2504 424 "Fabrik Burk Garage"
-798 2583 456 @
-1630 3033 808 "Fabrik Burk Vent"
-1823 2774 808 @
-3328 -1344 424 "Graveyard"
-1056 -3152 424 "Grotto"
-1686 3344 456 "Hangar"
-1594 3618 456 @
-1626 3159 821 @
-2716 3490 437 @
-2806 3813 616 @
-3311 3708 456 @
984 -2160 424 "Hotel"
720 -2688 488 @
-2814 3819 448 "Little Boy Bomb"
-1608 2136 424 "Machine Shop"
-2456 -656 424 "Main Bridge"
-2504 -168 424 @
-2496 368 424 @
-2504 872 424 @
-2488 1344 424 @
609 1810 448 "Mine Field"
-3130 3925 456 "North Factory Door"
616 1496 424 "Old East Bridge"
624 1008 424 @
624 624 424 @
624 264 424 @
624 -128 424 @
616 -608 424 @
-132 2330 456 "Outside Water Tower"
264 2583 456 @
1816 304 224 "River"
1144 296 224 @
272 304 224 @
-560 320 224 @
-1584 376 224 @
-2496 360 224 @
-3936 368 224 @
-3368 368 224 @
5 753 247 @
632 1005 236 @
616 621 262 @
611 262 255 @
620 -123 242 @
-2515 -170 240 @
-2473 862 225 @
-1609 1743 661 "River Bank"
-1150 1788 688 @
-1432 3648 264 "Sewer"
-1144 3456 264 @
-504 3456 264 @
0 1472 264 @
0 1984 264 @
0 2440 264 @
0 2920 264 @
8 3440 264 @
544 3456 264 @
1008 3464 264 @
1472 3448 264 @
1880 3456 264 @
2056 3808 264 @
2352 4040 264 @
1472 3080 264 @
1672 2792 264 @
2168 2784 264 @
2624 2784 264 @
-1592 3611 272 @
0 1048 264 "Sewer Grate"
-3136 2200 456 "South Factory Door"
-1632 2496 592 "Stairwell"
-1392 2176 808 "Storage Room"
-3198 2482 456 "Tank Garage"
-3200 3331 456 @
-1691 -3193 776 "Town Houses"
-1511 -2846 464 @
-208 1544 424 "Water Tower"
-208 1544 712 @
-208 1544 1048 @
