/////////////////////////////////////////////////////////
// Map name       MLB Bayraid                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-2118 -51 -299 "Ammo Cabinets"
-1865 19 -139 "Amplifier"
2385 1970 -275 "Axis Guardpost"
1964 1984 -275 @
1987 1981 -411 @
2397 1955 -411 @
-2909 930 -715 "Beach"
-2658 937 -715 @
-2779 1104 -715 @
-2907 1245 -715 @
-2863 1179 -555 @
-2669 1170 -555 @
-2140 53 -299 "Beach Bunker"
-2137 190 -299 @
-2016 327 -299 @
-2010 -51 -299 @
-1856 -72 -299 @
-1450 -72 -299 @
-1658 119 -299 @
-1691 124 -139 @
-1476 -15 -139 @
-1656 -85 -38 @
-1820 -85 -11 @
-2029 -5 -139 @
-1844 190 -139 @
-2505 -72 20 @
-2449 333 20 @
-1101 319 20 @
-1434 323 20 @
-1074 24 180 @
-2242 -56 -139 @
-2482 -19 180 @
-1335 317 180 @
-1301 475 35 "Beach Bunker North Hills"
-1472 458 1 @
-1817 487 -145 @
-1719 844 -254 @
-1228 1056 -143 @
-2215 667 -322 @
-2412 461 -125 @
-2679 499 -37 @
-2087 -1683 -464 "Beach Bunker Path"
-1911 -1067 -446 @
-1728 -622 -472 @
-1745 -203 -218 @
-2002 -218 -313 @
-2230 -226 -147 @
-2558 -835 -297 @
-2275 69 -603 "Beach Bunker Stairwell"
-2248 63 -299 @
-2499 63 -683 @
-2506 350 -715 @
-2756 243 159 "Beach Bunker West Hills"
-2904 -802 -33 @
-2792 -448 53 @
-2716 -108 114 @
-1661 -10 -299 "Beach Command Post"
-2618 91 -715 "Beach Corridor"
-2750 823 -715 @
-2749 434 -715 @
1453 863 -63 "Desert Hills"
1519 -1616 -253 @
1545 -2345 -162 @
1355 -2100 -126 @
1385 -933 -161 @
1367 -291 -108 @
1333 321 -62 @
1965 1018 -68 @
1984 440 -116 @
1927 -94 -39 @
1937 -394 -94 @
2031 -833 -139 @
