/////////////////////////////////////////////////////////
// Map name       MLB Beach                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-3524 1471 194 "Allied Alternate Spawn"
-2735 1488 178 @
-2660 -1047 179 "Allied Side"
-3451 -1041 195 @
5250 891 384 "Ammo Cabinets"
3305 -1633 1102 "Assault Ramp"
3364 -1578 1272 @
4480 -2016 728 "Basement"
4108 -870 728 @
4603 -573 728 @
4609 -453 728 "Basement Storage"
4130 -356 728 @
4137 316 728 @
4363 161 944 @
4230 -261 936 @
6517 1648 1248 "Battery"
7000 1198 1232 @
6695 940 1232 @
7270 1673 1232 @
6842 1685 1248 @
7288 1313 1232 "Battery Corridor"
7647 795 1232 @
7631 198 1216 @
7864 53 1216 @
7446 198 1216 "Battery Office"
7622 -231 1216 @
7578 -354 1015 "Battery Office Ladder"
7609 -371 512 @
444 -2444 721 "Beach"
1140 -1177 709 @
1233 -311 594 @
1170 549 570 @
992 1070 598 @
476 2128 563 @
113 2768 622 @
-88 3013 658 @
-268 3238 618 @
-2152 1503 181 @
-2404 2014 184 @
-2693 2427 212 @
-2074 806 191 @
-2095 72 198 @
-2184 -1033 196 @
-2381 -1604 190 @
-2684 -2162 211 @
-2971 -2775 236 @
-3108 3025 318 @
199 -2825 734 @
-120 -3004 771 @
496 2577 625 @
630 1656 585 @
1425 1025 1011 @
1856 55 1128 "Beach Bunker Trenches"
2287 -389 1072 @
2282 -617 1064 @
2390 90 1048 @
1904 632 1128 @
1928 323 1048 @
1527 -290 1112 "Beach Bunkers"
2114 -401 1112 @
1853 -63 1112 @
1905 755 1112 @
1547 991 1112 @
2021 1220 800 @
2098 883 1112 @
1838 1223 1008 @
222 3833 800 "Bunker Service Corridor"
1457 3838 800 @
1990 3154 800 @
2006 1376 800 @
2021 2048 800 @
893 2490 1012 "Bunker Yard"
1052 2658 1078 @
930 2826 1015 @
789 3261 970 @
1534 2318 1112 @
1218 1942 1076 @
2392 2805 1105 @
2076 2421 1061 @
2384 1992 1157 @
2230 880 1104 @
1887 1348 1058 @
1514 1480 1069 @
2436 857 1092 @
2623 1193 1165 @
2664 534 1208 @
2313 -838 1089 @
2704 -542 1087 @
2697 168 1104 @
2372 374 1120 @
3230 -1172 1064 @
1945 -646 1086 @
1594 -641 1120 @
1320 -1109 1120 @
1605 -1571 1120 @
2429 -2601 1176 @
2112 -2593 1176 @
1834 -2039 1101 @
3078 -2551 1176 @
2930 -1502 1077 @
3266 -1936 1115 @
3286 -821 1063 @
3053 -194 1095 @
2419 1591 1117 @
1168 2300 1082 "Bunker Yard MG Nest"
2932 1012 1208 "Command Bunker"
2667 670 1208 @
2538 827 1208 @
3083 802 1208 @
2789 822 1208 @
2665 1045 1208 @
2927 703 1208 "Command Post"
8025 43 1204 "Elevator Shaft"
8051 56 512 @
-67 3125 768 "Front Bunker"
-169 3258 768 @
109 3833 768 @
103 3219 768 @
-25 3537 768 @
81 3017 768 "Front Bunker Door"
-141 3275 912 "Front Bunker Roof"
-74 3132 912 @
109 3140 912 @
-16 3601 1040 @
56 3242 912 @
209 2992 954 "Front Bunker Walls"
362 2816 950 @
632 2679 988 @
884 2655 1036 @
272 3199 800 "Front Bunker Yard"
319 2977 800 @
568 2819 800 @
3142 293 576 "Generator Bunker"
3210 974 576 @
2872 803 576 @
3229 398 576 @
3751 59 576 @
3361 44 576 @
3989 -879 728 @
3487 -347 800 @
3481 -1003 800 @
3809 -1058 728 @
3678 256 576 "Generator Protection Net"
3325 298 576 @
2714 1832 1208 "Health Cabinets"
1825 -2913 768 "Health and Ammo Cabinets"
7596 4316 1232 @
7104 909 512 "Large Generators"
7813 68 512 @
7622 -230 512 @
7294 -123 512 @
7117 138 728 @
340 -2851 768 "Lower Bunker"
457 -2602 768 @
1156 -3160 768 @
2194 -2786 1176 "Lower Bunker 2nd Floor"
2436 -2787 1176 @
3067 -2711 1176 @
1301 -3153 768 "Lower Bunker Barracks"
1363 -2877 768 @
1674 -2912 768 @
1849 -3136 768 @
178 -3079 768 "Lower Bunker Door"
1368 -2371 768 "Lower Bunker Hallway"
1369 -2748 768 @
1585 -1567 880 "Lower Bunker Ramp"
1984 -2985 768 "Lower Bunker Stairwell"
2025 -3241 1176 @
1960 -3175 824 @
2173 -2936 1176 @
1559 -1933 768 "Lower Bunker Storage"
1367 -2250 768 @
3605 2075 872 "Lower Main Base"
3507 1709 728 @
3998 898 728 @
3785 967 728 @
3995 785 728 "Lower Main Base Corridor"
4002 326 728 @
4005 -347 728 @
2532 2824 1184 "Main Base"
2855 2428 1173 @
2737 1982 1180 @
2547 1996 1184 @
2858 1838 1176 @
2596 1626 1208 @
2934 1149 1193 @
3453 1759 1264 @
3589 2255 1280 @
3413 2446 1280 @
