/////////////////////////////////////////////////////////
// Map name       MLB Bergheim Beta 09                 //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    12-05-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-73 5415 -511 "Allied Camp"
-3000 -4090 -271 "Axis Command Post"
2930 -5388 -533 "Caves"
4039 -4662 -554 @
4777 -2148 -513 @
3949 -3395 -552 @
5005 -3423 -543 @
3193 -113 -535 "City Hall"
2181 -23 -535 @
615 246 -535 @
1631 2484 -303 "Command Post"
-43 -5994 -275 "Factory MG Nest"
-1780 5836 -537 "Forest House"
-1557 -2624 -471 "Fortress Courtyard"
-1007 -3954 -279 @
-814 -4281 -279 @
-1710 -4542 -271 @
-2139 -2818 -471 @
-1489 -3354 -380 @
-2995 -4816 -271 @
-3603 -4515 -271 @
-3836 -4130 -279 @
-3997 -3821 -308 @
-5868 -3013 -287 @
-3338 -2924 -471 @
-2983 -2610 -471 @
-3479 -3047 -471 @
-4133 -3089 -463 @
-4391 -2957 -460 @
-3006 -3361 -471 @
-2670 -3015 -471 @
-3827 -3155 -471 @
-4046 -3326 -440 @
-3990 -3556 -358 @
-3440 -4933 -279 @
-3591 -4112 -279 @
-2588 -5356 -292 @
-1466 -5312 -279 @
-842 -4514 -279 @
-1029 -4883 -281 @
-778 -5172 -279 @
-2117 -5141 -290 @
-3167 -5344 -288 @
-4251 -5061 -279 @
-4881 -4249 -279 @
-2881 -5595 -271 @
-2358 -5374 -280 @
-2149 -3155 -271 "Fortress Flag"
3002 -2206 -539 "Fortress Forward Gate"
-2172 -3456 -279 "Fortress Headquarters"
-3459 -3790 -271 @
-2638 -4151 -271 @
-2474 -3049 -271 @
-3453 -4509 -271 @
-2986 -4672 -271 @
-1892 -4536 -271 @
-2949 -3789 -271 @
-3463 -2925 -287 "Fortress House"
-4134 -2933 -463 @
-4129 -2946 -287 @
-3828 -2917 -287 @
-3000 -4088 -41 "Fortress Roofs"
-3454 -4509 -69 @
-2986 -4680 -73 @
-1889 -4536 -52 @
-3588 -4118 -175 @
-3613 -3791 -24 @
-3860 -3818 -44 @
-3821 -3550 -62 @
-3469 -3783 -15 @
-2637 -4139 -16 @
-2170 -3462 16 @
-2149 -3151 18 @
-2476 -3042 -59 @
-3823 -4130 -173 @
-3833 -3154 -182 @
-4130 -2950 -100 @
-3824 -2920 -105 @
-3460 -2933 -129 @
-2949 -3789 -40 @
-1037 -2790 -472 "Fortress Side Gate"
-6045 -3008 -287 "Fortress Spawn"
-3838 -3317 -463 "Fortress Supplies Room"
-3827 -3552 -287 @
-3606 -3798 -287 @
-1128 -3327 -175 "Fortress Towers"
-607 -4500 -128 @
-693 -4510 -279 @
-907 -5013 -127 @
-634 -5317 -127 @
-1460 -5441 -279 @
-3166 -5476 -279 @
-3251 -5602 -127 @
-2592 -5493 -279 @
-2516 -5606 -127 @
-1037 -2790 -303 "Fortress Walls"
-1557 -2624 -303 @
-900 -3818 -127 @
-607 -4255 -127 @
-3413 -5600 -127 @
-4362 -5168 -127 @
-2353 -5589 -127 @
-3010 -3011 -445 "Fountain"
5049 -951 -535 "Health and Ammo Cabinets"
-3841 -3824 -287 @
1518 2771 -519 @
3925 3152 -347 "Inn"
3965 3622 -527 @
3949 3341 -527 @
3722 3147 -527 @
4209 3153 -527 @
4637 3421 -527 @
3925 3152 -527 "Inn Flag"
-1831 7275 -536 "North Forest Road"
4832 5277 -533 @
4805 6114 -542 @
3936 7035 -548 @
1815 7358 -548 @
3921 6128 -532 "North Ruins"
5650 6243 -540 @
-105 -2445 -541 "Outside The Fortress"
-805 -3711 -319 @
-749 -2795 -542 @
-856 -2066 -354 @
-736 -3328 -434 @
-458 -4250 -293 @
-3187 -5917 -338 @
-3412 -5916 -338 @
-4517 -5371 -305 @
-5591 -4535 -273 @
