/////////////////////////////////////////////////////////
// Map name       MLB Carnage                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1178 9450 -999 "Allied Assault Boat"
1184 8684 -1015 @
1861 3264 -847 "Ammo Cabinets"
7713 4441 -575 @
11116 5008 -167 @
9382 6357 32 "Axis Base"
8766 6349 32 @
8692 6804 32 @
8289 6897 64 @
8294 6298 -143 @
8289 6628 -143 @
9659 6175 -143 @
9244 6169 -143 @
8656 6173 -143 @
8601 6527 -143 @
7997 6541 -143 @
8005 6175 -143 @
7696 6124 -143 @
9580 6982 -143 @
9450 6747 -143 @
9402 7213 -143 @
9141 7207 -143 @
9513 7449 -63 @
8734 7980 -143 @
7147 8346 -143 @
7169 7405 -135 @
7529 7082 -143 @
7210 6745 -135 @
6859 7049 -143 @
6900 7813 -143 @
6290 7823 20 @
7113 8712 -143 @
6757 8881 -143 @
8169 8747 -143 @
7850 9866 32 @
8451 9871 32 @
9206 9905 32 @
9014 8695 88 @
8765 9040 88 @
8383 8433 88 @
8219 8137 -143 @
8031 8306 64 @
6713 6860 -575 @
7157 7113 -559 @
7879 10043 64 "Axis Base Back Bunker"
8447 10042 32 @
11200 5996 -159 "Axis Base Corridor Stairs"
11195 6516 64 @
11206 6868 -63 @
8286 5989 -159 "Axis Base Gate"
7195 7257 -159 "Axis Base Hatch"
7399 7068 -167 @
7182 6870 -159 @
6981 7075 -167 @
9239 6996 -191 "Axis Base Lower Corridor"
9520 6172 -575 @
9657 7448 -63 "Axis Base North Corridor"
11206 7450 -63 @
8384 8295 88 "Axis Base Red Room"
8163 8299 88 @
10802 6094 64 "Axis Base South Corridor"
11062 6523 64 @
9879 6016 64 @
8743 8165 -143 "Axis Base Storage"
8750 8816 -143 @
8830 8709 88 @
9389 6998 -143 "Axis Base Teamdoor"
8281 6013 64 "Axis Base Walls"
8121 6480 64 @
7588 6011 64 @
8434 6481 64 @
8713 6033 64 @
9275 6020 64 @
9726 6016 64 @
7953 6024 64 @
8129 6155 64 @
8447 6185 64 @
11001 6068 64 "Axis Basement MG42"
4283 6017 -1215 @
5290 9382 -687 "Battery"
5290 9079 -687 @
4862 9330 -647 @
5284 8949 -687 "Battery Bunker"
5662 8807 -687 @
4497 8962 -687 @
4707 8698 -687 @
5780 9661 -687 @
5791 9443 -683 @
6303 9256 -687 @
