/////////////////////////////////////////////////////////
// Map name       MLB D-Day                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-3040 -1304 344 "Allied Assault Boat"
-3719 -1291 360 @
-2865 1197 344 @
-3597 1194 360 @
1859 -623 832 "Axis Basement MG"
3395 -56 672 "Base Small Warehouse"
3490 -362 672 @
2951 -1476 642 "Base Warehouse"
3012 -1339 828 @
3001 -1200 848 "Base Warehouse Platform"
2651 -1207 848 @
2643 -847 848 @
3261 -862 848 @
2062 -1455 694 "Base Yard"
2809 -1461 640 @
3250 -42 656 @
2085 -716 642 @
1871 -1055 646 @
1891 -1248 650 @
1849 -396 712 @
1810 -24 709 @
1803 217 647 @
1801 503 645 @
1551 636 641 @
1535 775 640 @
1724 1056 642 @
1831 1229 648 @
2178 997 643 @
2808 1207 645 @
2458 996 760 @
2488 -1214 645 @
2506 -838 645 @
2626 -694 754 @
3272 -702 761 @
3297 -247 771 @
3309 -451 764 @
3271 166 780 @
2980 179 776 @
2883 314 776 @
2879 595 777 @
1352 -1688 632 "Beach"
1345 -1471 563 @
1560 -1270 580 @
1653 -938 601 @
1502 -700 596 @
1675 -458 618 @
1574 -46 610 @
1388 411 575 @
1378 637 576 @
1129 1180 506 @
1136 903 484 @
978 1429 481 @
1211 1725 540 @
-1890 -764 404 @
-2287 -1122 377 @
-2258 -377 365 @
-2610 -699 334 @
-2499 -2606 352 @
-2437 -1705 359 @
-2529 -1297 349 @
-2357 113 352 @
-1878 603 348 @
-1373 1098 359 @
-1364 1707 354 @
-2151 1714 346 @
-2411 2332 422 @
-2768 2585 450 @
4448 743 480 "Command Post"
4212 737 480 "Command Post Bunker"
4359 855 480 @
4610 876 480 @
4736 784 480 @
4930 2101 224 "Documents"
5101 2213 192 "Documents Room"
5086 1931 192 @
4751 1908 248 @
4708 2213 192 @
1602 490 680 "Front Bunker"
1653 216 680 @
5677 1411 480 "Health and Ammo Cabinets"
5241 1048 256 "Lower Bunker"
5503 1135 256 @
5782 1315 256 "Lower Bunker Barracks"
4862 785 480 "Lower Bunker Corridors"
5570 1088 480 @
4893 1170 480 @
4259 1795 320 "Lower Bunker Main Hall"
4453 1314 256 @
4563 1784 256 @
4737 1801 256 @
5066 1799 256 @
5289 1802 256 @
5244 1157 256 @
5260 1384 256 @
5255 1565 256 @
4921 1442 320 @
4393 2214 320 "Lower Bunker Office"
4565 1890 256 @
5370 1538 293 "Lower Bunker Radio Room"
5370 1270 256 @
5666 1312 256 @
4329 1176 320 "Lower Bunker Stairs"
4705 1180 448 @
4507 1178 384 @
3296 2074 256 "Lower Bunker Warehouse"
4012 2070 320 @
1230 1254 664 "Main Bunker"
1211 1612 664 @
1826 1314 664 @
1517 1328 664 @
1735 1824 872 @
1977 1988 872 @
1625 1757 664 @
1916 1569 664 @
2093 1986 872 "Main Bunker Barracks"
2422 1841 872 @
2625 1635 896 "Main Bunker Catwalks"
2683 1743 896 @
3073 717 896 @
3057 1221 896 @
2819 1361 832 @
3066 1023 896 @
2685 1868 896 "Main Bunker Corridors"
2829 1990 872 @
3052 2162 776 @
3281 2117 784 @
2808 1356 648 @
3054 1753 648 @
1142 1430 664 "Main Bunker MG42"
2430 1185 872 "Main Bunker Radio Room"
2457 1300 872 @
2424 1718 872 "Main Bunker Storage"
2511 1638 880 @
2467 1407 872 @
2328 1188 872 @
2181 1143 664 @
2044 1560 664 @
2045 1500 864 @
1730 1719 872 "Main Bunker Terrace"
1897 1565 872 @
1821 1340 792 @
1522 1354 792 @
-2872 2309 299 "Ocean"
-2621 1734 273 @
-2842 1520 280 @
-3560 1561 298 @
-3967 1207 282 @
-3567 722 276 @
-2904 760 286 @
-2368 1189 300 @
-2958 72 298 @
-3015 -587 320 @
-3058 -873 290 @
-3720 -899 288 @
-4205 -1285 299 @
-3737 -1765 310 @
-3044 -1722 295 @
-2973 -2330 307 @
-2260 -728 368 "Radio"
3697 1027 896 "Radio Bunker"
3221 1013 936 @
3414 473 896 @
3516 -320 904 @
3432 -372 904 @
3370 -509 904 @
3370 -228 904 @
3489 122 904 @
3291 489 896 "Radio Bunker Platform"
3126 325 896 @
3057 587 896 @
4040 740 484 "Radio Bunker Stairwell"
3976 700 692 @
3821 1021 896 @
1368 1056 570 "Sea Wall Breach"
1792 -695 642 "Sea Wall Gate"
1458 -1471 696 "South Front Bunker"
1494 -1378 696 @
1709 -1564 696 @
1906 -1450 696 @
1542 -1655 696 "South Front Bunker Door"
2744 1826 1112 "Upper Main Bunker"
2559 2039 1112 @
2821 2002 1120 @
4313 2207 296 "Ventilation Shaft"
4193 2077 296 @
4258 1867 296 @
4116 2071 296 @
