/////////////////////////////////////////////////////////
// Map name       MLB Daybreak                         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
278 -5985 152 "Ancient Castle"
-1167 -5846 684 @
-1286 -4793 654 @
-854 -6289 555 @
-1230 -6807 659 @
2792 -4154 -92 @
3220 -4656 -132 @
2740 -5057 -84 @
2345 -4646 -55 @
2044 -3272 35 @
2910 -3355 -31 @
3881 -3418 -28 @
5076 -3541 -51 @
3700 -5157 -103 @
3781 -5522 -124 @
-991 -4149 535 @
-478 -2763 607 @
-978 -3408 546 @
-603 -3841 378 @
-416 -3273 344 @
-272 -4286 382 @
115 -3772 339 @
1378 -6643 -12 @
278 -6124 -430 "Ancient Castle Tunnels"
269 -6790 -431 @
1745 -6749 -431 @
2159 -5801 -431 @
3778 -5148 -431 @
3779 -5797 -431 @
-226 -3809 344 "Ancient Castle Wall"
6989 -897 -192 "Are You Lost Noob?"
-5117 3437 32 "Armory"
-4608 3427 32 @
-4702 3346 32 @
-4860 3477 32 @
-5062 3701 32 @
-4974 3586 32 @
-4702 3458 40 "Armory MG42"
-2094 6905 576 "Command Post"
-2595 6374 192 "Dam Access Area"
-2844 6547 192 @
-3204 5765 128 @
-2632 5149 176 @
-2859 5007 160 @
-2679 5795 128 @
-2586 6641 192 "Dam Access Gate"
-3193 4356 -60 "Dam Basin"
-3209 5259 -72 @
-3204 4836 -65 @
-3751 4362 -59 @
-4185 4355 -59 @
-4335 3947 -77 @
-4677 4219 -76 @
-4940 4375 -128 @
-5203 4150 -61 @
-5524 4102 -76 @
-5430 4349 -74 @
-5305 4583 -66 @
-5284 4952 -63 @
-5265 5334 -52 @
-5128 5876 -55 @
-5124 5388 -62 @
-4958 5007 -108 @
-4646 4706 -72 @
-4643 5426 -47 @
-4692 5847 -76 @
-4402 5812 -75 @
-3774 5805 -73 @
-3730 5389 -104 @
-4935 5659 -260 @
-7389 7050 0 "Detonator"
-5114 3282 32 "Explosives"
-6237 7282 576 "Explosives Keycard"
-6550 7363 576 @
-6119 7648 576 @
1301 7790 64 "Generator"
996 7457 64 "Generator Gates Area"
971 7122 64 @
114 7465 64 @
922 7800 112 @
535 7919 128 @
-6695 7939 0 "Health and Ammo Cabinets"
-2687 4587 432 @
2813 2412 64 @
-5436 -4965 -383 @
4539 -1372 -122 "Main Base"
4608 -2161 16 @
4985 -2108 16 @
5516 -2101 16 @
5354 -1349 16 @
4867 -1310 16 @
4282 -2072 16 @
3986 -2102 16 @
3542 -2002 16 @
3194 -2112 16 @
2740 -2093 16 @
3261 -1460 16 @
3915 -1397 -95 @
3539 -2311 16 "Main Base Gate"
4289 -2234 72 "Main Base MG42"
5649 -2242 272 "Main Base Walls"
5109 -2227 272 @
4686 -2223 272 @
4310 -2245 272 @
3902 -2226 272 @
3584 -2234 272 @
3262 -2233 272 @
2595 -2234 272 @
2345 -2253 272 @
5361 -2227 272 @
2870 -2220 272 @
3144 1401 -214 "Near The Train Bridge"
2853 562 -282 @
1884 -296 -297 @
1589 289 -300 @
2479 1787 -228 @
1814 1772 -269 @
1574 1218 -316 @
1045 1282 -320 @
1037 1783 -296 @
1015 2329 -228 @
580 2441 -268 @
182 2407 -264 @
1048 744 -289 @
1040 240 -265 @
1000 -574 -194 @
295 250 -286 @
-99 2256 -191 @
4534 1571 -39 "Old Telephone Station"
5914 281 -101 @
5787 -828 -66 @
3440 84 -87 @
4120 1173 -103 @
3990 1505 -140 @
3974 1282 -145 @
4573 1448 -231 @
4433 1175 -15 @
3669 -988 -85 @
4287 -978 -136 @
4916 -1185 -158 @
3553 -2585 16 "Outside Main Base"
3935 -2355 16 @
3170 -2357 16 @
2411 -2363 43 @
2377 -2864 16 @
2979 -2956 16 @
4100 -2983 16 @
5042 -2981 16 @
4280 -2380 16 @
4601 -2312 16 @
5415 -2368 16 @
5041 -2392 16 @
2852 -2372 16 @
-5133 6129 4 "Outside Rocket Base"
-5152 6000 26 @
-4676 6040 0 @
-4487 5967 0 @
-4316 6063 0 @
-3325 5767 0 @
-3196 5367 0 @
-3607 5664 4 @
-3795 5937 0 @
-5055 3845 32 "Outside The Armory"
-5519 3969 32 @
-5078 4012 32 @
-4768 4010 32 @
-4289 3775 32 @
-4239 3453 32 @
-4492 3420 32 @
-4717 3593 32 @
-4839 3633 32 @
-4554 3814 32 @
2554 4708 64 "Outside The Fortress"
3012 4976 64 @
3349 4576 64 @
3349 4156 64 @
3487 3485 64 @
1119 5154 64 @
1072 4642 64 @
424 4744 64 @
-122 4877 64 @
-372 4709 64 @
-665 4935 80 @
-1208 3947 64 @
-911 4160 64 @
-243 3551 64 @
-636 3388 64 @
1482 4754 64 @
1489 5162 64 @
2204 4740 208 @
2024 4646 64 @
