/////////////////////////////////////////////////////////
// Map name       MLB Egypt                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3100 4032 -1215 "Allied Last Attempt Spawn"
3123 3437 -1215 @
3850 6313 -1007 "Allied Temple Exit Spawn"
4260 6316 -1007 @
3912 5821 -1007 @
5446 6748 -1157 "Barrier"
4875 7046 -1221 @
6490 6829 -1167 @
5848 6679 -1059 @
192 6970 -999 "Boat Barrier"
391 6635 -1195 @
-801 5732 -1267 "Boat Barrier Area"
-806 6637 -1170 @
-9 6678 -1236 @
414 7288 -999 @
805 6618 -1307 @
14 5780 -1255 @
-3755 7407 -1239 "Brick Wall"
-6038 -5298 -1016 "Cannon Ammo"
-6200 5393 -1183 "Canyon Barrack"
-2945 -5214 -1151 "Courtyard Floor Crack"
7635 4588 -519 "Flood Gate"
6736 4563 -519 @
6283 4545 -519 @
5271 4525 -519 @
5073 4354 -519 @
5132 4286 -399 @
5284 4267 -519 @
5700 3621 -519 @
5402 3752 -519 @
5350 4261 -271 @
5244 4273 -271 @
6352 4884 -1205 @
6010 3608 -601 @
6481 5951 -1158 "Flood Gate Approach"
6448 5366 -1215 @
7155 6588 -1228 @
6721 6559 -1174 @
5311 4292 -399 "Flood Gate Controls"
5154 4367 -965 "Flood Gate Storage"
5199 3768 -974 @
6109 5935 -1255 "Flood Gate Tunnels"
4997 5187 -1456 @
4873 3893 -1650 @
5082 4377 -1183 @
5076 3774 -1387 @
5124 4526 -495 "Generator"
996 2741 -1714 "Gold Bars"
-1969 -3551 -1151 "Gun"
-1974 -1066 -1791 "Inner Pyramid"
-2961 -693 -1807 @
-2964 110 -1783 @
-3137 727 -1804 @
-2619 1173 -1791 @
-1990 1276 -1791 @
-1368 1195 -1791 @
-1366 475 -1791 @
-997 12 -1783 @
-1512 -44 -1807 @
-1848 339 -1791 @
-2001 659 -1402 @
-1937 942 -1403 @
-1999 1481 -1407 @
-1363 323 -1781 "Inner Pyramid Cave"
-988 158 -1772 @
-124 -5433 -1023 "Inner Temple"
-258 -5630 -799 @
-567 -6049 -799 @
-860 -5442 -1023 @
-1789 -5009 -1023 @
-1318 -5431 -1023 @
-116 -4547 -1023 @
-250 -4336 -799 @
-572 -3948 -799 @
-4350 -4853 -1023 "Main Temple"
-4336 -5635 -1023 @
-5715 -5286 -1023 @
-6029 -5060 -1023 @
-6026 -5531 -1023 @
-6272 -5388 -1023 @
-6497 -5778 -1023 @
-6202 -6022 -1023 @
-5762 -6167 -1023 @
-5597 -5825 -1023 @
-5613 -4704 -1023 @
-6546 -4737 -1023 @
-6214 -4613 -1023 @
-5980 -4343 -1023 @
-6071 -4883 -1231 "Main Temple North Stairs"
-5842 -4714 -1119 @
-6378 -4728 -1311 @
-5837 -4652 -1455 @
-5967 -4613 -1055 @
-6301 -5831 -1311 "Main Temple South Stairs"
-5811 -5843 -1487 @
-5852 -5825 -1135 @
-2923 -5202 -1488 "Main Temple Tunnels"
-3403 -5222 -1503 @
-4118 -5407 -1503 @
-5073 -5518 -1503 @
-5803 -5710 -1503 @
-5828 -4822 -1503 @
-5802 5501 -1236 "North River Area"
-5078 6717 -1251 @
-3861 6641 -1249 @
-1848 5864 -1210 @
-3195 7117 -1151 @
-4217 7314 -1059 @
-3744 7469 -969 @
-2331 7346 -970 @
-1803 6606 -951 @
-3756 7703 -1393 "North Tunnels"
-2985 7964 -1407 @
-2681 7807 -1551 @
-2055 7256 -1663 @
-1794 6687 -1663 @
-1247 7913 -1663 @
410 7396 -1663 @
-1597 -2487 -1003 "Pyramid"
-980 -2390 -959 @
-675 -2330 -959 @
-685 -2025 -959 @
-2368 -2443 -959 @
-2897 -2450 -1023 @
-2000 2295 -1199 "Pyramid Crypt"
-1948 780 -1199 @
-1682 942 -1199 @
-2302 950 -1199 @
-1981 2012 -1599 @
-1341 1343 -1791 @
-1660 2196 -1599 @
-2344 2197 -1599 @
-2616 1355 -1791 @
-1946 541 -1199 @
-1959 1006 -1199 @
-1977 1446 -1599 "Pyramid Crypt Balcony"
-1990 -2327 -1122 "Pyramid Entrance"
-1049 -1822 -1247 @
-2937 -1834 -1247 @
-1979 -1299 -1615 @
2355 1751 -1151 "Pyramid Pillar Room"
1702 1685 -1151 @
1408 1897 -1151 @
1207 1684 -1151 @
1415 1487 -1151 @
1119 2804 -1151 @
-3095 449 -2162 "Pyramid Water Pit"
424 6213 -1004 "River Ruins"
905 5865 -1015 @
208 5817 -1015 @
-357 2036 -1631 "Sarcophagus Room"
-345 1595 -1631 @
-346 3556 -1631 @
-352 3933 -1631 @
1018 2965 -1727 @
1191 2748 -1727 @
1007 2584 -1716 @
749 2738 -1719 @
2304 2431 -1727 @
2288 3126 -1727 @
1265 2192 -1727 @
1000 1801 -1735 @
1323 1367 -1727 @
1789 1923 -1675 @
-1984 2318 -1602 "Sarcophagus Room Door"
-1987 2511 -1599 "Sarcophagus Room Entrance"
-527 2021 -1599 @
-528 1626 -1599 @
-519 3927 -1599 @
-518 3550 -1599 @
2506 2432 -1727 "Sarcophagus Room Exit"
2506 1758 -1151 @
2768 2658 -1271 @
2450 3117 -1727 "Sarcophagus Room Storage"
2928 3136 -1727 @
1363 1841 -1727 "Scaffolding"
1410 1716 -1133 @
-2788 -6807 -1151 "Side Temple"
-3691 -6975 -1151 @
-4609 -6981 -1151 @
-1945 -4998 -1023 "Temple Courtyard"
-1315 -5564 -1023 @
-2036 -5634 -1023 @
-1278 -6582 -1151 @
-2771 -6597 -1151 @
-2892 -5523 -1151 @
-3243 -5184 -1151 @
-2944 -4917 -1151 @
-2658 -5186 -1151 @
-4124 -4867 -1023 @
