/////////////////////////////////////////////////////////
// Map name       MLB Hotchkiss                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1164 -1204 128 "Ammo Cabinets"
1380 1604 800 @
15 245 128 "Barricade"
345 56 128 "Barricade Supplies"
-306 538 128 "Command Post"
-492 532 128 "Command Post Building"
-314 663 128 @
-117 519 128 @
110 479 128 @
698 738 480 @
341 725 480 @
1258 280 480 @
-311 277 480 @
981 629 480 @
976 284 480 @
979 466 480 @
-1822 -1059 616 "Crane"
1245 -525 480 "Detonator"
1195 -1041 480 "Detonator MG Nest"
790 527 176 "Explosives"
596 415 128 "Explosives Room"
649 327 128 @
938 306 144 @
477 417 120 "Explosives Vent"
393 410 -109 @
2949 -923 320 "Factory Control Room"
2853 -336 320 @
2994 -343 320 @
3898 978 320 "Factory East Corridor"
3145 15 320 @
3452 -9 320 @
3104 -340 320 @
4283 2240 322 "Factory Elevator"
4297 2236 764 @
4297 2236 1006 @
3927 1796 320 "Factory Elevator Entrance"
4092 2239 320 @
3945 2409 320 @
4604 1882 320 @
-1179 -1330 128 "Factory Entrance"
-922 -1212 128 @
-649 -1205 128 @
-640 -1543 128 @
-655 -1796 128 @
-659 -2282 128 @
-847 -2023 128 @
-615 -3694 128 @
-1250 -2009 128 @
-1333 -2483 128 @
-1362 -3646 192 @
-1233 -3647 64 @
-1318 -3325 64 @
-1100 -3216 352 @
-1100 -2656 352 @
-636 -2442 128 @
-156 -2179 128 "Factory Entrance Crates"
-645 -2015 128 "Factory Entrance Gates"
127 -1426 128 "Factory Entrance Halls"
774 -1411 128 @
-352 -2014 128 @
-396 -1836 128 @
-157 -2062 128 @
-509 -1537 128 @
-1653 -2349 576 "Factory Entrance Roofs"
-1383 -1180 443 @
-1643 -1162 576 @
-1855 -1167 474 @
-1959 -1924 417 @
-1845 -1605 479 @
-1963 -2330 415 @
-1309 -1974 402 @
-1306 -2366 400 @
-654 -2357 434 @
-959 -2029 584 @
-659 -1191 437 @
-656 -1520 436 @
-702 -2049 461 @
-1346 -1205 128 "Factory Entrance Storage"
-1932 -1208 128 @
-1932 -1863 128 @
-1940 -2327 128 @
-1364 -2012 128 @
-1359 -2324 128 @
3901 1111 320 "Factory Garage"
3313 1438 320 @
3381 1159 320 @
3934 1660 320 @
1908 1370 320 "Factory Lower Main Hall"
2114 643 320 @
2931 655 320 @
3097 975 320 @
3141 1441 320 @
2854 2055 320 @
2945 1722 320 @
2533 1315 320 @
2087 1974 320 @
3176 1939 320 @
3277 714 320 "Factory MG Nest"
2290 -1135 320 "Factory Main Corridor"
2579 -1104 320 @
2629 -95 320 @
2561 -719 304 @
2093 526 320 @
2945 504 320 @
3008 283 320 @
2625 134 320 @
2069 -1109 320 "Factory Main Gate"
-107 -1729 432 "Factory Main Gate Area"
-510 -2023 432 @
-493 -1528 432 @
-483 -1175 480 @
760 -1268 129 @
126 -1290 128 @
1206 -1022 147 @
1252 -456 128 @
994 190 144 @
639 192 128 @
307 -188 80 @
350 221 144 @
-19 43 144 @
-242 185 144 @
-536 -551 128 @
-342 -423 136 @
-148 -600 128 @
-342 -782 128 @
702 583 480 @
331 567 480 @
1258 132 481 @
1288 -241 480 @
1054 -523 480 @
1281 -764 480 @
874 -1034 480 @
1163 -1309 480 @
1388 -1034 480 @
1502 -485 415 @
1767 -1138 320 @
2037 -791 320 @
822 513 480 @
934 129 480 @
812 326 480 @
-322 127 480 @
-511 -512 480 @
353 -1272 480 @
2770 -1118 320 "Factory Main Gate MG42"
991 -1490 128 "Factory Main Gate Spawn"
1308 -2064 128 @
384 -1413 480 @
5 -1728 432 @
3030 1972 487 "Factory Main Hall Ladder"
3609 3283 800 "Factory Missile Assembly"
3626 2879 800 @
2533 2205 800 @
3045 3576 800 @
3033 2630 800 @
3045 3652 832 "Factory Missile Vent"
3045 3945 832 @
3043 3958 478 @
3426 3098 320 "Factory North Corridor"
3069 3986 320 @
3450 3885 320 @
3423 2964 320 "Factory North Hall"
2648 2752 456 @
2679 2360 320 @
2846 2245 320 @
2721 2515 480 @
3939 2541 320 @
2753 -93 320 "Factory Radio Room"
2846 -217 320 @
3307 1380 800 "Factory Service Hallway"
3525 2339 960 @
3359 1883 800 @
3391 1702 800 @
4149 2248 992 "Factory Service Room"
4353 1885 992 @
3636 2321 992 @
4462 1882 1000 "Factory Service Vent"
4566 1885 473 @
1732 1375 800 "Factory Supplies Room"
1628 1623 800 @
1343 1432 800 @
3138 291 320 "Factory Toilet"
3143 147 320 @
3393 236 320 @
2925 2032 780 "Factory Upper Main Hall"
2523 2061 800 @
1913 1384 800 @
2079 629 780 @
3143 644 780 @
2497 1094 800 @
3154 1368 800 @
3125 1675 780 @
3017 1878 780 @
1920 2031 780 @
1498 1143 320 "Generator"
1765 1380 320 "Generator Room"
1273 1359 320 @
-3442 -651 64 "Health and Ammo Cabinets"
3926 3237 564 "Missile"
4013 3018 800 "Missile Access"
3746 2873 800 @
2243 2591 456 "Missile Silo Spawn"
2517 2571 456 @
