/////////////////////////////////////////////////////////
// Map name       MLB Temple                           //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1132 11300 1088 "Allied Side"
2656 10381 1235 @
2362 9593 1064 @
2558 9046 1169 @
2676 8055 1313 @
2585 7149 1204 @
2610 6302 1089 @
2657 5822 1208 @
1864 5965 1163 @
650 5743 1240 @
561 9329 1068 @
2172 5944 1055 "Allied Side Cave Entrance"
2809 9499 1081 "Allied Side North Arch"
2806 6669 1058 "Allied Side South Arch"
3024 10091 1243 "Allied Side Village"
3760 10097 1131 @
4390 9598 1080 @
4341 8748 1080 @
4117 7997 1053 @
3859 7043 1043 @
4041 6583 1077 @
3810 5699 1068 @
3089 5719 1055 @
3159 6145 1061 @
3080 7204 1074 @
3060 9035 1114 @
3496 7488 1051 @
5566 6604 1041 "Axis Side"
5555 7131 1026 @
5537 7521 1017 @
5693 8001 1039 @
5751 8521 1052 @
5763 8882 1053 @
5580 9186 1052 @
5772 10030 1237 @
5982 9498 1049 @
5842 5666 1071 @
5310 5003 1111 @
5849 4766 1121 @
6913 5023 1234 @
6479 5321 1227 @
6236 6290 1045 @
6874 6414 1179 @
7283 6214 1257 @
8093 6057 1312 @
8771 7284 1326 @
8380 8291 1308 @
7324 8015 1542 @
6865 8494 1206 @
7229 8995 1326 @
7975 8741 1255 @
7724 8164 1512 @
7423 8126 1564 @
8472 9218 1282 @
7737 9144 1253 @
7083 9137 1230 @
6476 9041 1070 @
6409 8534 1054 @
6337 8081 1042 @
6301 7721 1043 @
6323 7401 1031 @
6315 7004 1074 @
6247 6361 1046 @
6454 9764 1153 @
6984 9803 1223 @
7567 9884 1302 @
7890 9964 1275 @
8322 10023 1268 @
8134 10333 1248 @
8830 10254 1249 @
9443 10286 1305 @
9115 7282 1400 "Axis Side Arch"
9383 8847 1600 "Axis Spawn"
9110 7756 1656 @
9099 7483 1656 "Axis Spawn Wall"
9113 7135 1656 @
9097 6742 1656 @
3989 10453 115 "Canyon"
4629 10116 345 @
4995 9575 306 @
5046 8971 320 @
4887 8230 346 @
4667 7500 285 @
4750 6898 346 @
4940 6169 316 @
4672 5566 334 @
4042 5073 327 @
5093 7332 982 "Canyon Rope Bridge"
4619 7331 970 @
3990 7333 1035 @
5363 9216 104 "Canyon Tunnel"
5607 9168 119 @
5181 9212 104 "Canyon Tunnel Entrance"
3599 2349 832 "Caves"
4141 2266 856 @
4666 2441 832 @
4817 2786 896 @
4822 3305 900 @
5139 3623 875 @
5571 3552 816 @
5838 3963 816 @
5790 4478 816 @
6277 4500 816 @
6748 4669 816 @
6919 5129 810 @
4228 2811 792 @
1056 2588 669 @
1651 2679 738 @
2095 2554 704 @
2576 2646 704 @
3135 2660 781 @
2159 5570 1072 "Caves: Allied Side"
1909 4783 949 @
2436 4375 956 @
3151 4042 920 @
4000 4049 926 @
4493 4066 912 @
5034 3996 896 @
3386 2831 792 "Caves: Scaffolding"
3762 2817 798 @
8301 3303 1008 "Caves: Temple Oasis"
8098 3609 1028 @
8030 3937 856 @
7552 4042 856 @
7614 4659 856 @
7601 5307 856 @
7162 5426 832 @
6919 5764 1254 "Church Ruins"
6905 5596 1249 @
7069 5403 1264 @
6759 5288 1264 @
6543 5769 1228 @
6896 6058 1270 @
6902 5434 1264 "Church Ruins Ladder"
6872 5394 869 @
7433 8369 1582 "Command Post"
11763 7509 1084 "Fort"
11175 7469 1060 @
10659 7525 1063 @
10651 7079 1029 @
10658 6418 1007 @
10603 6000 1080 @
11061 5906 1066 @
11515 5937 1096 @
11453 7620 1312 @
10936 7613 1312 @
10531 7341 1312 @
10522 6940 1312 @
10509 6581 1312 @
10467 5860 1312 @
10855 5844 1312 @
11197 5848 1312 @
11613 5852 1312 @
9758 9212 1453 "Fort Desert"
10272 9383 1270 @
10514 9037 1279 @
10554 8630 1237 @
10313 8313 1210 @
9953 8027 1220 @
9701 7630 1377 @
9590 6840 1486 @
10285 10263 1344 @
10704 9839 1261 @
11079 9494 1261 @
11178 8993 1250 @
11232 8528 1242 @
11290 8124 1195 @
11418 7833 1136 @
10308 7509 1190 @
10281 7110 1186 @
10277 6768 1188 @
9586 6203 1393 @
9647 5810 1366 @
10439 5229 1224 @
10796 5035 1185 @
10637 4588 1193 @
10373 4201 1232 @
9867 4038 1294 @
9476 4034 1332 @
9764 4312 1351 @
11158 4050 1195 @
11392 4563 1172 @
11440 4985 1167 @
11455 5373 1157 @
11023 5663 1115 @
11486 5606 1117 @
10669 3584 1376 @
10066 3366 1376 @
9672 3375 1376 @
10931 7654 1032 "Fort North Arch"
11325 5819 1074 "Fort South Arch"
283 1738 1045 "Gold Bars"
11320 8791 1440 "Roof MG42"
8057 9958 1262 "Supply Cabinets"
5526 612 1160 @
9972 9835 1253 "Tank Barrier #1"
9315 3639 1337 "Tank Barrier #2"
4358 6112 1049 "Tank Bridge"
4822 6134 1056 @
5319 6100 1062 @
3049 6603 1050 "Tank Road: Allied Side"
3619 6286 1057 @
4072 6146 1054 @
5830 6179 1042 "Tank Road: Axis Side"
5933 6624 1032 @
5959 7046 1030 @
5997 7466 1037 @
6033 7874 1042 @
6088 8323 1035 @
6127 8767 1036 @
6223 9178 1052 @
6544 9438 1129 @
7067 9455 1195 @
7522 9481 1241 @
7998 9552 1242 @
8497 9605 1248 @
8944 9856 1248 @
9483 9858 1251 @
10218 9790 1250 "Tank Road: Fort"
10525 9524 1248 @
10796 9154 1248 @
10903 8756 1248 @
10910 8313 1184 @
10773 7981 1142 @
10379 7859 1181 @
10092 7618 1224 @
10060 7083 1232 @
10050 6547 1225 @
10076 6032 1220 @
10190 5636 1229 @
10642 5458 1207 @
11140 5253 1163 @
11083 4817 1153 "Tank Road: Temple"
10901 4344 1183 @
10600 3932 1224 @
10118 3779 1259 @
8347 3681 1449 @
8986 3644 1352 @
4479 1232 1032 "Temple 1st Floor"
3959 1257 1032 @
3967 1607 1032 @
3984 1978 1032 @
4444 1943 1032 @
4773 1956 1032 @
4869 1651 1032 @
5028 1169 1160 @
5102 2057 1160 @
3560 1599 1032 @
3532 1145 1024 @
3101 1082 1032 @
2530 1107 1032 @
1957 1116 1032 @
1892 1685 1032 @
1896 2212 1032 @
2321 2329 1032 @
2961 2365 1032 @
3592 2075 1032 @
875 1223 1032 @
856 807 1032 @
2713 1913 1032 @
2916 1458 1032 @
4236 1156 1032 @
1944 1087 1360 "Temple 2nd Floor"
2487 1098 1360 @
2991 1118 1360 @
2980 1621 1360 @
2950 2284 1360 @
2459 2368 1360 @
1998 2378 1376 @
1905 1927 1360 @
1891 1555 1360 @
2608 1958 1364 @
3464 1596 1368 @
4075 1589 1400 @
4005 2033 1400 @
4453 2006 1400 @
4840 1841 1400 @
5038 1602 1400 @
4980 1355 1400 @
4664 1344 1400 @
4248 1177 1400 @
4001 867 1400 @
4008 457 1400 @
4014 155 1400 @
4367 157 1400 @
948 2287 1057 "Temple Access Breach"
5776 2685 1400 "Temple Balcony"
5948 2712 1400 @
5981 2394 1416 @
5642 2395 1400 @
5642 2095 1400 @
5923 1893 1400 @
5952 1517 1400 @
5976 994 1400 @
5938 638 1416 @
5981 307 1400 @
5621 670 1400 @
5585 1102 1400 @
5586 1510 1400 @
5959 1257 1400 "Temple Balcony MG"
3662 588 1032 "Temple Corridor"
4306 580 840 @
5140 576 1160 @
3226 836 1032 @
3504 866 1070 "Temple Corridor Crack"
3523 1018 1053 @
8974 4390 1376 "Temple Desert"
8557 4071 1369 @
8074 3861 1379 @
7969 3391 1304 @
7468 3546 1368 @
5879 1601 1160 "Temple Doors"
5645 1606 1160 "Temple Entrance"
5703 1163 1160 @
5369 1077 1160 @
5706 2046 1160 @
3565 2306 1024 "Temple Floor Breach"
909 183 1240 "Temple Floor Corridor"
1409 170 1240 @
1936 156 1240 @
2077 445 1240 @
854 427 1160 "Temple Floor Stairs"
9389 4338 1376 "Temple MG Nest"
6255 2220 1112 "Temple North Stairs"
1379 2208 1032 "Temple North Trap"
6268 1897 930 "Temple Oasis"
6279 1300 921 @
6563 1187 924 @
6613 762 1010 @
6331 589 1000 @
8359 697 1087 @
9187 2140 1080 @
6654 2264 1022 @
6371 2532 1080 @
6269 2805 1064 @
7004 3398 1199 @
8677 3376 1307 @
9026 3326 1346 @
9520 2887 1611 @
8362 3313 1266 @
8334 2890 1008 @
278 1983 1032 "Temple Pillar Room"
547 1942 1032 @
521 1583 1040 @
100 1582 1040 @
4439 1598 1028 "Temple Pit"
4355 1196 1192 "Temple Pit Balcony"
4358 424 1320 "Temple Pit Stairs"
6282 983 1080 "Temple South Stairs"
1417 1252 1028 "Temple South Trap"
5994 523 1160 "Temple Terrace"
6003 965 1160 @
6030 1285 1160 @
6044 1597 1160 @
6016 1946 1165 @
5969 2197 1164 @
5988 2461 1160 @
5989 2775 1160 @
878 2029 1032 "Temple Trap Switch"
879 1439 1032 @
741 1728 1032 "Temple Wooden Barrier"
5879 9207 344 "Well"
5879 9207 956 @
