/////////////////////////////////////////////////////////
// Map name       MML Church (v1)                      //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    26-07-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-243 -596 416 "^1Allied Alarm"
-3544 4 16 "^1Axis Truck"
1232 466 160 "^1Holy Relic"
978 969 64 "^1Side Door"
1172 -663 64 "^2Allies Spawn"
1487 -503 32 @
1927 -817 0 @
1681 -939 113 @
1423 -729 0 @
1209 -975 64 @
1901 -504 2 @
-3280 176 -15 "^2Axis Spawn"
1187 2 126 "^3Altar"
1627 -7 -47 "^3Behind Cross"
1156 -347 64 "^3Central Nave"
1480 365 64 @
1181 365 64 @
1486 -341 64 @
-243 -351 64 @
981 620 64 @
646 990 64 @
299 929 64 @
302 561 64 @
270 330 64 @
-116 334 88 @
-502 340 64 @
251 -350 64 @
292 -624 64 @
652 -985 110 @
975 -650 64 @
788 10 68 @
979 -993 64 @
300 -893 64 @
-535 -343 64 @
-879 -354 64 @
-1024 -11 64 @
-880 337 64 @
1275 20 711 "^3Chandelier"
-511 3 698 @
-129 1 715 @
252 9 707 @
635 -642 703 @
644 636 722 @
1806 -3 -47 "^3Convention Hallway"
2076 -817 -15 @
2234 -266 -47 @
2322 241 24 @
1842 615 24 @
-1488 -290 66 "^3Courtyard"
-1140 -4 64 @
-1473 319 64 @
-2103 454 8 @
-3309 487 16 @
-2985 190 -15 @
-3287 -220 -15 @
1492 -4 169 "^3Cross"
1492 -4 410 @
1725 -7 410 "^3East Window"
1697 4 783 @
-889 829 240 "^3Entrance Stairwell"
-938 815 416 @
-1260 717 512 @
-888 457 704 @
-890 -829 240 @
-938 -812 416 @
-1280 -700 512 @
-873 -462 704 @
1156 -347 416 "^3Gallery"
1480 365 416 @
1181 365 416 @
1284 332 704 @
1249 -365 704 @
1486 -341 416 @
1486 -341 704 @
-243 -351 416 @
-243 -351 704 @
981 620 416 @
981 620 704 @
299 929 416 @
299 929 704 @
170 929 416 @
302 561 416 @
302 561 704 @
270 330 704 @
270 330 416 @
-116 334 704 @
-116 334 416 @
-502 340 704 @
-502 340 416 @
251 -350 704 @
251 -350 416 @
292 -624 704 @
292 -624 416 @
975 -650 704 @
975 -650 416 @
979 -993 704 @
979 -993 416 @
978 969 416 @
978 969 704 @
300 -893 704 @
300 -893 416 @
28 -877 416 @
-535 -343 704 @
-535 -343 416 @
-523 -517 416 @
-879 -354 704 @
-879 -354 416 @
-880 337 704 @
-880 337 416 @
-1002 -202 765 @
-1000 197 766 @
-879 490 64 "^3North Entrance"
-1470 454 64 @
-1473 319 576 "^3North Lookout"
170 929 64 "^3North Stairwell"
-205 936 288 @
150 881 704 @
648 1045 393 "^3North Window"
628 1044 777 @
1211 610 192 "^3Organ"
1055 620 496 "^3Organ Pipes"
1195 887 402 @
1195 887 192 "^3Organ Room"
1440 591 123 @
-511 3 1056 "^3Roof Beams"
-129 1 1056 @
252 9 1056 @
788 10 1056 @
1275 20 1056 @
635 -642 1056 @
644 636 1056 @
649 965 1048 @
1628 2 1033 @
637 -996 1066 @
-1006 -4 1039 @
131 556 73 "^3Ruined Hallway"
-504 556 64 @
-254 -478 -253 "^3Sewers"
-1488 -290 -223 @
-1473 319 -215 @
-2103 454 -223 @
-3309 487 -223 @
-815 -11 -223 @
-1481 -448 66 "^3South Entrance"
-877 -494 64 @
-523 -517 64 "^3South Hallway"
-254 -478 64 @
152 -620 64 @
-1488 -290 576 "^3South Lookout"
173 -891 64 "^3South Stairwell"
-65 -872 416 @
182 -901 704 @
651 -1048 395 "^3South Window"
638 -1061 784 @
1373 -931 128 "^3Spawn Stairwell"
1164 -872 704 @
1179 -876 416 @
1170 1083 32 "^3Storage Hallway"
-1024 -11 385 "^3West Window"
-1024 -11 764 @
