/////////////////////////////////////////////////////////
// Map name       MML Helmsdeep                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1562 -1090 704 "Allied F.Ops Patrol Point"
1691 -1211 704 @
562 -1002 576 "Allied Fort Spawn"
320 -1632 576 @
-420 -1351 576 @
-492 -1008 576 @
-261 -1641 576 @
-388 -1633 576 "Allied Fort Spawn Exit"
-1164 -1658 480 @
-894 -1826 192 @
489 -1630 576 @
933 -2042 480 @
660 -2134 252 @
998 -1658 -179 "Allied Medic Patrol Point"
778 -1649 -179 @
2552 -5292 -815 "Axis Command Post"
-1087 2617 -1391 "Axis Medic Patrol Point"
-236 1345 -1182 "Canyon"
-585 953 -1188 @
-1071 991 -1084 @
-1493 -105 -1078 @
-1483 767 -1096 @
-1151 1068 -1092 "Canyon Caves"
-1283 1397 -1160 @
-718 -4842 -319 "Caves Entrance"
821 -5334 -634 @
-462 1148 -423 "Cliff"
-336 1202 -383 @
4081 1087 -1352 "Culvert"
615 -3588 192 "East Hall Stairs"
801 -4965 -447 @
6724 6485 -1683 "East Valley Spawn"
6749 6867 -1672 @
7045 6854 -1727 @
7099 6455 -1679 @
9673 -4521 -1522 "Exit Tunnel"
6385 6070 -1647 "Explosives Storage Point"
-671 -629 148 "Fort Arches"
-527 -608 148 @
-156 -610 148 @
253 -565 148 @
575 -782 196 @
600 -1319 196 @
327 -1748 196 @
35 -1552 196 @
-252 -1747 196 @
-528 -1594 196 @
-482 -1331 196 @
2475 -796 -917 "Fort Back Ramp"
2419 -1268 -662 @
2069 -1772 -369 @
1743 -2308 -66 @
1573 -3277 28 "Fort Back Terrace"
1826 -2374 28 @
1633 -2468 28 @
1616 -2228 28 @
1828 -1686 28 @
1680 -1594 28 @
1704 -1364 28 @
519 -743 -107 "Fort Barracks"
-47 -1277 -179 @
684 -1266 -179 @
662 -1652 -179 @
795 -1754 -179 @
999 -1755 -179 @
321 -1747 -179 @
974 -1857 -175 "Fort Barracks Corridor"
1470 -1549 28 @
638 -640 -83 "Fort Courtyard"
