/////////////////////////////////////////////////////////
// Map name       Mountain Radio                       //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 15                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
124 605 128 "Allies Bunker"
478 384 128 @
644 823 128 @
128 842 128 @
128 376 320 @
276 599 320 @
113 841 320 @
643 376 176 @
118 608 312 "Allies Docs"
186 386 120 "Allies Radio"
513 10 128 "Allies Spawn"
248 13 128 @
648 3357 128 "Axis Bunker"
292 3587 128 @
124 3148 128 @
648 3120 128 @
647 3117 320 @
503 3367 320 @
647 3593 320 @
134 3598 176 @
644 3360 312 "Axis Docs"
584 3581 120 "Axis Radio"
526 3951 128 "Axis Spawn"
249 3944 128 @
130 25 128 "Courtyard"
134 285 128 @
477 280 128 @
748 357 128 @
636 28 128 @
750 825 128 @
109 929 128 @
652 278 128 @
332 1810 128 @
546 1928 128 @
434 2158 128 @
208 2033 128 @
825 1979 320 @
645 940 128 @
16 853 128 @
27 365 128 @
-17 2016 320 @
116 3037 128 @
23 3140 128 @
21 3605 128 @
98 3682 128 @
128 3951 128 @
294 3691 128 @
663 3038 128 @
743 3106 128 @
743 3606 128 @
567 3680 128 @
642 3955 128 @
467 1939 320 "Middle Bunker"
431 2064 320 @
313 2025 320 @
336 1905 320 @
